agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,geometry
1,1,3,0,a,AM,1061.1439,0,0.006992716614683015,0.003971410814170292,1756;1755,2568,"LINESTRING (-96.786728 43.5946704, -96.785368 43.592765)"
2,1,4,0,a,AM,387.1713,0,0.2592345836394477,0.16475450590428836,2135;1981;1113;1114;1115;1764,3705;3704;1370;1371;2628,"LINESTRING (-96.7706759 43.5945269, -96.697496 43.508564, -96.789372 43.579711, -96.6926482 43.5355035, -96.692699 43.533814, -96.757494 43.559331)"
3,1,6,0,a,AM,396.4344,0,0.3741768694906809,0.23991920447482906,2135;1981;1113;1114;1115;1110;1116,3705;3704;1370;1371;2629;1372,"LINESTRING (-96.7706759 43.5945269, -96.697496 43.508564, -96.789372 43.579711, -96.6926482 43.5355035, -96.692699 43.533814, -96.805173 43.522549, -96.708489 43.5772733)"
4,1,7,0,a,AM,357.6772,0,0.027960419015517213,0.01678060907395898,1800;1091;708,2804;3220,"LINESTRING (-96.7820533 43.5947024, -96.7350189 43.5203377, -96.7001511 43.564789)"
5,1,11,0,a,AM,218.7787,0,0.5687899849051821,0.3177066500932256,2135;1981;1113;1114;1115;1108,3705;3704;1370;1371;1386,"LINESTRING (-96.7706759 43.5945269, -96.697496 43.508564, -96.789372 43.579711, -96.6926482 43.5355035, -96.692699 43.533814, -96.7495445 43.5449544)"
6,1,12,0,a,AM,1222.3328,0,0.032624939606978,0.017197016780609073,1756;1755;1728,2568;2566,"LINESTRING (-96.786728 43.5946704, -96.785368 43.592765, -96.795402 43.523813)"
7,1,13,0,a,AM,531.8667,0,0.36765822674414056,0.21307022995649472,1756;2211,2569,"LINESTRING (-96.786728 43.5946704, -96.8271517 43.5087487)"
8,1,14,0,a,AM,172.6805,0,0.04940619133740346,0.028321939092604102,1756;1755;1728;1729,2568;2566;2500,"LINESTRING (-96.786728 43.5946704, -96.785368 43.592765, -96.795402 43.523813, -96.756162 43.523686)"
9,1,16,0,a,AM,159.9928,0,0.0636814848266941,0.0392852703542573,1756;2170,3902,"LINESTRING (-96.786728 43.5946704, -96.708907 43.550314)"
10,1,18,0,a,AM,1166.2461,0,0.22790580983590913,0.14517091361093848,2135;1981;1113;1114,3705;3704;1370,"LINESTRING (-96.7706759 43.5945269, -96.697496 43.508564, -96.789372 43.579711, -96.6926482 43.5355035)"
11,1,19,0,a,AM,197.9069,0,0.429545585716528,0.2618955873213176,1800;1091;1092;1120;2020,2804;1338;2486;3221,"LINESTRING (-96.7820533 43.5947024, -96.7350189 43.5203377, -96.787804 43.5196, -96.6487979 43.5285792, -96.706324 43.533973)"
12,1,20,0,a,AM,522.4287,0,0.05159314377619867,0.03399627097576134,2135;1981,3705,"LINESTRING (-96.7706759 43.5945269, -96.697496 43.508564)"
13,1,21,0,a,AM,184.3215,0,2.2147861665382322,1.3461591050341828,1756;2211;231;2185;509,2569;1136;198;3709,"LINESTRING (-96.786728 43.5946704, -96.8271517 43.5087487, -96.7384541 43.4903616, -96.6945759 43.5502934, -96.735163 43.498721)"
14,1,22,0,a,AM,97.6114,0,0.01438010819689426,0.00834058421379739,1800;1091,2804,"LINESTRING (-96.7820533 43.5947024, -96.7350189 43.5203377)"
15,1,24,0,a,AM,404.6609,0,0.7268800335475378,0.4214294592914854,1756;2211;231,2569;1136,"LINESTRING (-96.786728 43.5946704, -96.8271517 43.5087487, -96.7384541 43.4903616)"
16,2,3,0,a,AM,752.6202,0,1.7414011561818985,1.0781044126786825,1447;1368;474;473;1381;2007,1992;2002;541;1803;3182,"LINESTRING (-96.710858 43.6096011, -96.688008 43.557056, -96.7737832 43.4899052, -96.801876 43.4932167, -96.802156 43.539176, -96.7867483 43.5889936)"
17,2,4,0,a,AM,357.5523,0,0.08373765619400145,0.04162212554381604,1209;1206,1505,"LINESTRING (-96.7073848 43.6126605, -96.7549929 43.5611481)"
18,2,5,0,a,AM,355.0045,0,0.8195795230990104,0.46281541330018644,1445;1450;1424;1761,2006;2598;2601,"LINESTRING (-96.7045905 43.6099834, -96.7179269 43.5345852, -96.660952 43.51484, -96.732869 43.5590354)"
