o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,volume,geometry
1,1,1,1,9.493529796600342e-05,69.98667452167925,"LINESTRING (-96.7063404 43.48254549, -96.7063404 43.48254549)"
1,1,2,2,2.5227643604856285,76.29964187923876,"LINESTRING (-96.7063404 43.48254549, -96.7375223 43.48086448)"
1,1,3,3,5.090240481379284,30.61290748322995,"LINESTRING (-96.7063404 43.48254549, -96.6602782 43.51383671)"
1,1,4,4,5.464877028464811,50.51333393262174,"LINESTRING (-96.7063404 43.48254549, -96.767326 43.50394702)"
1,1,5,5,6.301877565968232,24.04883540587074,"LINESTRING (-96.7063404 43.48254549, -96.7701623 43.51523608)"
1,1,6,6,3.986187383295268,31.080242136015734,"LINESTRING (-96.7063404 43.48254549, -96.676201 43.5109552)"
1,1,7,7,10.07632949758553,19.84536268425397,"LINESTRING (-96.7063404 43.48254549, -96.8115915 43.53137476)"
1,1,8,8,7.478135701040207,39.18655428034131,"LINESTRING (-96.7063404 43.48254549, -96.7375061 43.5458864)"
1,1,9,9,10.38420650948118,16.88616369052721,"LINESTRING (-96.7063404 43.48254549, -96.8221851 43.52329746)"
1,1,10,10,4.471817839870084,49.86312490896817,"LINESTRING (-96.7063404 43.48254549, -96.7380157 43.51555147)"
1,1,11,11,7.228567873929566,43.848941937545256,"LINESTRING (-96.7063404 43.48254549, -96.7273338 43.54574568)"
1,1,12,12,6.255644506825972,28.19640190822386,"LINESTRING (-96.7063404 43.48254549, -96.7362052 43.534467)"
1,1,13,13,8.728545156551899,28.05875824530721,"LINESTRING (-96.7063404 43.48254549, -96.70905 43.56101859)"
1,1,14,14,6.8201556816933095,42.01535598714259,"LINESTRING (-96.7063404 43.48254549, -96.711464 43.54376797)"
1,1,15,15,5.847296190038148,102.19212258868846,"LINESTRING (-96.7063404 43.48254549, -96.7452581 43.5269131)"
1,1,16,16,9.770858467029147,23.863294977869675,"LINESTRING (-96.7063404 43.48254549, -96.7681911 43.55810928)"
1,1,17,17,9.64340755873061,34.52730202789858,"LINESTRING (-96.7063404 43.48254549, -96.6712058 43.5654446)"
1,1,18,18,7.455264650839009,29.984896856105212,"LINESTRING (-96.7063404 43.48254549, -96.7917233 43.50821253)"
1,1,19,19,8.931981932635528,32.54765969406836,"LINESTRING (-96.7063404 43.48254549, -96.7866942 43.53782919)"
1,1,20,20,6.9791735725142185,22.75878633575866,"LINESTRING (-96.7063404 43.48254549, -96.6635714 43.53711037)"
1,1,21,21,7.373475901321718,47.955945988044164,"LINESTRING (-96.7063404 43.48254549, -96.6975179 43.54854738)"
1,1,22,22,4.621900603554315,20.078603288233023,"LINESTRING (-96.7063404 43.48254549, -96.6521748 43.4960893)"
1,1,23,23,7.995891039746006,15.975413911632241,"LINESTRING (-96.7063404 43.48254549, -96.8053034 43.48643221)"
1,1,24,24,7.9132486712032515,55.533250642005974,"LINESTRING (-96.7063404 43.48254549, -96.752947 43.54517242)"
1,1,25,25,6.737276662079896,62.84640295668379,"LINESTRING (-96.7063404 43.48254549, -96.7607271 43.52853515)"
1,1,26,26,5.1926287147019154,21.05057121820552,"LINESTRING (-96.7063404 43.48254549, -96.721541 43.52792378)"
1,1,27,27,5.097387117093055,28.866884297686347,"LINESTRING (-96.7063404 43.48254549, -96.7067076 43.52838662)"
1,1,28,28,4.391311330783869,34.21167975908676,"LINESTRING (-96.7063404 43.48254549, -96.6876374 43.51963418)"
1,1,29,29,6.786812506488781,22.76155947872289,"LINESTRING (-96.7063404 43.48254549, -96.6859654 43.54176507)"
1,1,30,30,8.170041348160535,15.163544346876106,"LINESTRING (-96.7063404 43.48254549, -96.667363 43.55036606)"
1,1,31,31,9.164270524495226,23.06736378225993,"LINESTRING (-96.7063404 43.48254549, -96.81496 43.50670107)"
1,1,32,32,8.12650179700034,20.8761108131752,"LINESTRING (-96.7063404 43.48254549, -96.7904729 43.52275925)"
1,1,33,33,5.55342439435255,25.948105040031237,"LINESTRING (-96.7063404 43.48254549, -96.6737007 43.52652104)"
1,1,34,34,10.629720310445212,30.008742092818945,"LINESTRING (-96.7063404 43.48254549, -96.7998333 43.54993806)"
1,1,35,35,3.061390513515812,39.245619814501076,"LINESTRING (-96.7063404 43.48254549, -96.7121553 43.50975217)"
1,1,36,36,11.275141087831804,14.792177869170029,"LINESTRING (-96.7063404 43.48254549, -96.7250354 43.58303538)"
1,1,37,37,6.33609056556545,16.30627635910134,"LINESTRING (-96.7063404 43.48254549, -96.7246296 43.53796199)"
1,1,38,38,4.0795502217803055,20.930526385540094,"LINESTRING (-96.7063404 43.48254549, -96.7203159 43.51780541)"
1,1,39,39,8.32509436292658,14.185122940673901,"LINESTRING (-96.7063404 43.48254549, -96.8080311 43.49528612)"
1,1,40,40,2.2029738314263922,47.146950651284904,"LINESTRING (-96.7063404 43.48254549, -96.7275889 43.49498959)"
1,1,41,41,5.959398655301985,34.35510445349751,"LINESTRING (-96.7063404 43.48254549, -96.7801873 43.48370497)"
1,1,42,42,4.123714014299542,60.103833954017304,"LINESTRING (-96.7063404 43.48254549, -96.7574349 43.48350413)"
1,1,43,43,2.002152928201247,73.012026372429,"LINESTRING (-96.7063404 43.48254549, -96.6884539 43.49502791)"
1,1,44,44,9.146739924425384,9.494910132470562,"LINESTRING (-96.7063404 43.48254549, -96.6049435 43.51938223)"
1,1,45,45,7.429134427473433,16.001881022642284,"LINESTRING (-96.7063404 43.48254549, -96.6295528 43.51944343)"
1,1,46,46,8.869863199341372,38.571584825560834,"LINESTRING (-96.7063404 43.48254549, -96.7436002 43.55759907)"
