name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,zone_id
Maryland Fire and Rescue Institute Grounds,306,25722910.0,,university,,,"POLYGON ((-76.9274015 38.9842354, -76.9278296 38.9842843, -76.92827029999999 38.9841614, -76.9286386 38.9841722, -76.929434 38.9839471, -76.9301164 38.9838503, -76.9306235 38.9837338, -76.9306838 38.9835609, -76.9294543 38.9831694, -76.9285531 38.9828291, -76.9282355 38.9826623, -76.92792660000001 38.9823687, -76.9277463 38.9821419, -76.9276176 38.9818416, -76.9274545 38.9814613, -76.9273687 38.9814814, -76.9263327 38.9839812, -76.9274015 38.9842354))",POINT (-76.92807490787729 38.98331539876899),50603.9,40
Saint Marks School,498,245385128.0,,school,,,"POLYGON ((-76.9518324 38.9824455, -76.9524404 38.982452, -76.9539497 38.9824687, -76.9538314 38.9816902, -76.9547833 38.9816838, -76.954801 38.981861, -76.954841 38.982137, -76.9548892 38.9824306, -76.9549031 38.9825155, -76.95504699999999 38.983186, -76.9550686 38.9832935, -76.95515880000001 38.9837425, -76.952179 38.9837241, -76.9518324 38.9824455))",POINT (-76.95365195121829 38.98293025624368),44004.0,35
National Archives,347,70417858.0,,library,,,"POLYGON ((-76.9609298 39.0003434, -76.9606872 39.0002546, -76.9607405 39.0001669, -76.96036290000001 39.0000274, -76.9605813 38.9996706, -76.9603146 38.9995718, -76.96027100000001 38.9996426, -76.9601263 38.9995887, -76.9598592 39.0000209, -76.9599833 39.0000673, -76.9598517 39.0002799, -76.959641 39.0002969, -76.9595872 39.0003836, -76.9594637 39.0003373, -76.95925579999999 39.0004605, -76.9590354 39.0008432, -76.9588729 39.0007867, -76.9586432 39.0011851, -76.9585867 39.0011654, -76.95832919999999 39.0016079, -76.958189 39.0015585, -76.957904 39.0020455, -76.95910170000001 39.0024692, -76.9593084 39.0021167, -76.9594348 39.0021617, -76.9596992 39.0017161, -76.95982890000001 39.0017629, -76.96007969999999 39.0013451, -76.96028 39.001418, -76.9609298 39.0003434))",POINT (-76.95949679512121 39.00113801251618),34923.8,1
,390,193112206.0,,stadium,,,"POLYGON ((-76.9472552 38.991363, -76.9471449 38.9913048, -76.9467497 38.9910726, -76.9460086 38.9906398, -76.94641300000001 38.9902012, -76.9473516 38.9907553, -76.9474427 38.9907887, -76.947542 38.9908053, -76.94763589999999 38.9908053, -76.94772709999999 38.9907887, -76.94782360000001 38.9907511, -76.9478987 38.9907011, -76.94796580000001 38.9906323, -76.9480006 38.9905614, -76.9480167 38.9904864, -76.94801409999999 38.9904092, -76.9479899 38.9903279, -76.9479443 38.9902612, -76.9478773 38.9902028, -76.94692070000001 38.9896536, -76.94707339999999 38.989491, -76.9472896 38.9892482, -76.94738479999999 38.989298, -76.947487 38.9893349, -76.9475487 38.9892746, -76.9476243 38.9893149, -76.9479161 38.989475, -76.9480063 38.9895077, -76.94825779999999 38.9896735, -76.94843969999999 38.9898086, -76.9486199 38.9899821, -76.9486886 38.9901065, -76.94874009999999 38.99026, -76.9487658 38.9904401, -76.94874009999999 38.9906802, -76.9486629 38.9908493, -76.9485427 38.9910094, -76.9484054 38.9911362, -76.9482165 38.9912496, -76.9480191 38.991343, -76.9477531 38.9914164, -76.9475642 38.9914297, -76.9472552 38.991363))",POINT (-76.94763259317881 38.9904639918947),26813.6,20
XFINITY Center,28,23544340.0,,yes,,,"POLYGON ((-76.94238609999999 38.9956105, -76.94238609999999 38.9954037, -76.94230880000001 38.9954037, -76.94230880000001 38.9951636, -76.94224010000001 38.9951636, -76.94224010000001 38.9950714, -76.94224010000001 38.9950368, -76.9421715 38.9950368, -76.9421715 38.9949834, -76.9409527 38.9949568, -76.9409527 38.9950235, -76.94081540000001 38.9950301, -76.9407982 38.9951569, -76.9406274 38.995156, -76.940575 38.9951569, -76.9405174 38.9951574, -76.9404919 38.9950282, -76.9404698 38.9950329, -76.94046160000001 38.9949984, -76.9404116 38.9950038, -76.94034310000001 38.9950094, -76.94033469999999 38.9950568, -76.94031750000001 38.9951235, -76.9402918 38.9952036, -76.94026169999999 38.9953128, -76.94026599999999 38.9953904, -76.94026599999999 38.9954971, -76.9402832 38.9955971, -76.9402918 38.9956705, -76.9403004 38.9957439, -76.9403068 38.995781, -76.9401459 38.9957973, -76.9402145 38.9962042, -76.940472 38.9961575, -76.9405579 38.9963042, -76.94067800000001 38.9962976, -76.9406008 38.9958573, -76.9407023 38.9958539, -76.9407982 38.9958506, -76.9407982 38.9959374, -76.9407977 38.9959871, -76.94092689999999 38.995984, -76.94092689999999 38.9960374, -76.9413821 38.9960424, -76.94214289999999 38.9960509, -76.94213999999999 38.9960127, -76.9422314 38.9960085, -76.9422316 38.9959298, -76.9422316 38.995904, -76.9422916 38.995904, -76.9422916 38.9956372, -76.94238609999999 38.9956372, -76.94238609999999 38.9956105))",POINT (-76.94127725774798 38.99554408917809),20619.8,13
Lot 11b,27,23544195.0,,parking,,,"POLYGON ((-76.9371445 38.9943969, -76.93714 38.9942017, -76.9371246 38.9937306, -76.9371246 38.9935342, -76.9371785 38.9935342, -76.9371785 38.9933807, -76.9369387 38.9932912, -76.93659340000001 38.99319, -76.9364478 38.9931619, -76.9362835 38.993149, -76.9353651 38.993149, -76.9353163 38.9932127, -76.93531609999999 38.9942575, -76.9366182 38.9942563, -76.9366148 38.9943529, -76.93680999999999 38.9943539, -76.93681460000001 38.9943976, -76.9371445 38.9943969))",POINT (-76.9362260883332 38.99374003744383),19326.7,22
Lot 4b,188,24793963.0,,parking,,,"POLYGON ((-76.94138049999999 38.9979178, -76.9413466 38.9973753, -76.9418407 38.9971929, -76.9418235 38.9968471, -76.94163570000001 38.9960882, -76.94080510000001 38.9960768, -76.9408021 38.996477, -76.9409813 38.9964724, -76.94098030000001 38.9966081, -76.9408755 38.9966109, -76.9408878 38.9968885, -76.9406931 38.996894, -76.9406737 38.9965726, -76.94060260000001 38.9965723, -76.94060260000001 38.9965176, -76.9404473 38.9965202, -76.9404772 38.9968763, -76.9404808 38.9971659, -76.94034569999999 38.9971679, -76.94035049999999 38.9972729, -76.9402769 38.9972713, -76.9402869 38.9974888, -76.9408574 38.997872, -76.9412859 38.9979758, -76.94138049999999 38.9979178))",POINT (-76.94110419779778 38.99698991111759),18113.4,13
,55,23547877.0,,university,,,"POLYGON ((-76.9501277 38.9902402, -76.9501283 38.9900425, -76.95031349999999 38.9900422, -76.9503137 38.9901308, -76.95057970000001 38.9901339, -76.9505571 38.9901027, -76.95061750000001 38.9900762, -76.9506602 38.9900583, -76.9506611 38.9898301, -76.950121 38.9898309, -76.95012 38.9897454, -76.9501188 38.9896357, -76.9504218 38.989638, -76.9504228 38.9897417, -76.9506623 38.9897413, -76.95066079999999 38.9896402, -76.9508141 38.9896399, -76.9508113 38.9900271, -76.9508604 38.9900932, -76.95094090000001 38.9900591, -76.9510092 38.9901449, -76.9507792 38.990251, -76.9507428 38.9902033, -76.9506952 38.9902252, -76.9508847 38.9904736, -76.95096529999999 38.9905864, -76.951024 38.9906646, -76.9514657 38.9904665, -76.95144380000001 38.9904359, -76.95150750000001 38.9904082, -76.951595 38.9905211, -76.95116830000001 38.9907125, -76.951229 38.990808, -76.9510652 38.9908825, -76.95111439999999 38.990947, -76.95091189999999 38.9910327, -76.95097509999999 38.9911173, -76.95103330000001 38.9910879, -76.9511692 38.9911632, -76.95097699999999 38.9913673, -76.9509563 38.9913579, -76.9508922 38.9913844, -76.9508204 38.9912907, -76.95062919999999 38.9913782, -76.9506694 38.9914328, -76.9507321 38.9915156, -76.95086790000001 38.9914559, -76.950993 38.9915297, -76.9507998 38.9917332, -76.950496 38.9915629, -76.9505391 38.9915144, -76.9505276 38.9914975, -76.95051100000001 38.9914694, -76.9505288 38.9914618, -76.9504357 38.9913329, -76.95034510000001 38.9913743, -76.9503192 38.9913399, -76.9502871 38.9912987, -76.95022609999999 38.9913238, -76.9501435 38.9912091, -76.9500355 38.9911401, -76.95024669999999 38.9909116, -76.9501942 38.9908815, -76.9501214 38.9908401, -76.9501171 38.9908448, -76.9500927 38.9908301, -76.95007150000001 38.9908136, -76.9500852 38.9908392, -76.9500774 38.9908485, -76.9499412 38.9907763, -76.94998099999999 38.9907363, -76.9499264 38.9907034, -76.94983000000001 38.9907045, -76.94982899999999 38.9907979, -76.9496834 38.9907952, -76.94968660000001 38.9907577, -76.94964899999999 38.9907577, -76.9496571 38.9902507, -76.9496559 38.9902267, -76.9495786 38.9902268, -76.9495786 38.9899994, -76.949596 38.9899973, -76.9495962 38.9899547, -76.94969589999999 38.9899536, -76.9497949 38.9899536, -76.9497921 38.990043, -76.9498873 38.9900429, -76.9499685 38.9900433, -76.9499679 38.990238, -76.95000570000001 38.9902386, -76.9501277 38.9902402))",POINT (-76.95045746006522 38.99063505222292),16567.8,19
Clarice Smith Performing Arts Center,2834,,9660599.0,yes,arts_centre,,"MULTIPOLYGON (((-76.9501277 38.9902402, -76.9501283 38.9900425, -76.95031349999999 38.9900422, -76.9503137 38.9901308, -76.95057970000001 38.9901339, -76.9505571 38.9901027, -76.95061750000001 38.9900762, -76.9506602 38.9900583, -76.9506611 38.9898301, -76.950121 38.9898309, -76.95012 38.9897454, -76.9501188 38.9896357, -76.9504218 38.989638, -76.9504228 38.9897417, -76.9506623 38.9897413, -76.95066079999999 38.9896402, -76.9508141 38.9896399, -76.9508113 38.9900271, -76.9508604 38.9900932, -76.95094090000001 38.9900591, -76.9510092 38.9901449, -76.9507792 38.990251, -76.9507428 38.9902033, -76.9506952 38.9902252, -76.9508847 38.9904736, -76.95096529999999 38.9905864, -76.951024 38.9906646, -76.9514657 38.9904665, -76.95144380000001 38.9904359, -76.95150750000001 38.9904082, -76.951595 38.9905211, -76.95116830000001 38.9907125, -76.951229 38.990808, -76.9510652 38.9908825, -76.95111439999999 38.990947, -76.95091189999999 38.9910327, -76.95097509999999 38.9911173, -76.95103330000001 38.9910879, -76.9511692 38.9911632, -76.95097699999999 38.9913673, -76.9509563 38.9913579, -76.9508922 38.9913844, -76.9508204 38.9912907, -76.95062919999999 38.9913782, -76.9506694 38.9914328, -76.9507321 38.9915156, -76.95086790000001 38.9914559, -76.950993 38.9915297, -76.9507998 38.9917332, -76.950496 38.9915629, -76.9505391 38.9915144, -76.9505276 38.9914975, -76.95051100000001 38.9914694, -76.9505288 38.9914618, -76.9504357 38.9913329, -76.95034510000001 38.9913743, -76.9503192 38.9913399, -76.9502871 38.9912987, -76.95022609999999 38.9913238, -76.9501435 38.9912091, -76.9500355 38.9911401, -76.95024669999999 38.9909116, -76.9501942 38.9908815, -76.9501214 38.9908401, -76.9501171 38.9908448, -76.9500927 38.9908301, -76.95007150000001 38.9908136, -76.9500852 38.9908392, -76.9500774 38.9908485, -76.9499412 38.9907763, -76.94998099999999 38.9907363, -76.9499264 38.9907034, -76.94983000000001 38.9907045, -76.94982899999999 38.9907979, -76.9496834 38.9907952, -76.94968660000001 38.9907577, -76.94964899999999 38.9907577, -76.9496571 38.9902507, -76.9496559 38.9902267, -76.9495786 38.9902268, -76.9495786 38.9899994, -76.949596 38.9899973, -76.9495962 38.9899547, -76.94969589999999 38.9899536, -76.9497949 38.9899536, -76.9497921 38.990043, -76.9498873 38.9900429, -76.9499685 38.9900433, -76.9499679 38.990238, -76.95000570000001 38.9902386, -76.9501277 38.9902402)))",POINT (-76.95045746006522 38.99063505222292),16567.8,19
Cole Student Activities Building,6,23502754.0,,university,,,"POLYGON ((-76.94730970000001 38.9887015, -76.9473089 38.9885034, -76.9472099 38.9885036, -76.9472086 38.9881881, -76.94731040000001 38.9881878, -76.9473071 38.9874074, -76.9472049 38.9874077, -76.946934 38.9874084, -76.9467514 38.9874088, -76.9465905 38.9874092, -76.94632319999999 38.9874099, -76.94622649999999 38.9874101, -76.9462269 38.9875091, -76.9462269 38.9875203, -76.94622769999999 38.9877082, -76.9461403 38.9877084, -76.94559390000001 38.9877097, -76.9455947 38.9879105, -76.9458947 38.9879097, -76.9458948 38.9879301, -76.9458949 38.9879713, -76.9458958 38.9881857, -76.9461922 38.9881849, -76.94622440000001 38.9881849, -76.94622409999999 38.9881132, -76.9463015 38.988113, -76.94630239999999 38.9883283, -76.9461931 38.9883286, -76.9461938 38.9885071, -76.9463046 38.9885068, -76.9463047 38.9885225, -76.9462352 38.9885227, -76.9462359 38.9887016, -76.9463531 38.9887013, -76.9464772 38.988701, -76.94647740000001 38.9887363, -76.94709020000001 38.9887347, -76.9470901 38.988702, -76.94730970000001 38.9887015))",POINT (-76.94665363743876 38.98803697629131),15313.8,28
