zone_id,geometry
1809,POINT (-113.025908 33.489183000000004)
2741,POINT (-112.901652 33.174209000000005)
3367,POINT (-112.782757 33.274053)
101,POINT (-112.968492 33.392875)
1860,POINT (-112.84878300000001 33.368265)
1838,POINT (-112.84078400000001 33.443364)
199,POINT (-112.864547 33.326091999999996)
3181,POINT (-112.796333 33.428835)
3442,POINT (-112.75921299999999 33.420944)
2753,POINT (-112.96331399999998 33.483610999999996)
2823,POINT (-112.930168 33.486616999999995)
1011,POINT (-112.96258600000002 33.550667)
1830,POINT (-112.898671 33.465322)
2815,POINT (-112.912006 33.529403)
3340,POINT (-112.85822900000001 33.52129)
1814,POINT (-112.91813300000001 33.500780999999996)
1815,POINT (-112.884029 33.49705)
3415,POINT (-112.85669299999999 33.542149)
103,POINT (-112.83263799999999 33.297878999999995)
1883,POINT (-112.79360600000001 33.367549)
3359,POINT (-112.776472 33.346022999999995)
2824,POINT (-112.798105 33.409273)
2313,POINT (-112.73451599999999 33.400438)
3173,POINT (-112.766967 33.404014000000004)
3441,POINT (-112.755711 33.391290999999995)
3080,POINT (-112.743894 33.37014)
1956,POINT (-112.79692299999999 33.459078000000005)
1786,POINT (-112.726905 33.500764000000004)
2777,POINT (-112.80027 33.443564)
1816,POINT (-112.84858799999999 33.485544)
1790,POINT (-112.76558 33.529716)
1804,POINT (-112.72293799999998 33.516447)
1817,POINT (-112.807294 33.481123)
3342,POINT (-112.770574 33.476061)
3343,POINT (-112.790107 33.479139)
3344,POINT (-112.82338 33.482359)
2822,POINT (-112.84349499999999 33.463034)
1789,POINT (-112.82123100000001 33.542357)
3339,POINT (-112.8205 33.499765000000004)
3351,POINT (-112.80638 33.520883000000005)
3347,POINT (-112.82414399999999 33.522284)
3345,POINT (-112.845896 33.501168)
3131,POINT (-112.807266 33.501102)
2828,POINT (-112.790104 33.501016)
3350,POINT (-112.78951299999999 33.529823)
106,POINT (-112.80456299999999 33.543622)
102,POINT (-112.772171 33.455157)
3172,POINT (-112.77124199999999 33.437290000000004)
1837,POINT (-112.73523 33.465388)
1818,POINT (-112.76404299999999 33.498892)
2679,POINT (-112.629774 32.938027000000005)
2677,POINT (-112.643285 32.900890999999994)
3129,POINT (-112.654299 32.98084)
3202,POINT (-112.71391200000001 32.9639)
2910,POINT (-112.667643 32.943798)
2766,POINT (-112.71233899999999 32.943426)
2846,POINT (-112.670585 32.916585999999995)
2764,POINT (-112.683765 32.962540999999995)
2763,POINT (-112.71113700000001 32.9797)
3128,POINT (-112.637598 33.015724)
3085,POINT (-112.57366699999999 32.949984)
2765,POINT (-112.24399 32.932526)
2841,POINT (-112.44191299999999 32.817409999999995)
1972,POINT (-112.339626 32.923961)
200,POINT (-112.452119 33.500873)
201,POINT (-112.452105 33.486332)
218,POINT (-112.451831 33.4573)
222,POINT (-112.44958899999999 33.396506)
395,POINT (-112.452126 33.515353999999995)
2746,POINT (-112.462125 33.279828)
2813,POINT (-112.40916200000001 33.297702)
221,POINT (-112.455281 33.412348)
2833,POINT (-112.39533999999999 33.173152)
2809,POINT (-112.452998 33.428608000000004)
3135,POINT (-112.45083000000001 33.40319)
144,POINT (-112.57421299999999 33.269419)
393,POINT (-112.452141 33.544393)
394,POINT (-112.452179 33.529854)
2754,POINT (-112.670961 33.160447)
1946,POINT (-112.639853 33.160884)
2758,POINT (-112.677178 33.108452)
2759,POINT (-112.66308500000001 33.030606)
3127,POINT (-112.63513400000001 33.105001)
1958,POINT (-112.632279 33.217896)
1957,POINT (-112.68480600000001 33.204836)
2750,POINT (-112.481967 33.232036)
3433,POINT (-112.56163600000001 33.179373)
2772,POINT (-112.481895 33.205349)
3425,POINT (-112.504065 33.272275)
1928,POINT (-112.47230400000001 33.267723)
125,POINT (-112.60225700000001 33.444140999999995)
131,POINT (-112.58230400000001 33.39925)
132,POINT (-112.58224399999999 33.385112)
140,POINT (-112.491543 33.422819)
1858,POINT (-112.47018700000001 33.422872999999996)
1900,POINT (-112.60918600000001 33.333121999999996)
2887,POINT (-112.582333 33.409858)
2889,POINT (-112.564862 33.428759)
2909,POINT (-112.58106399999998 33.427639)
2816,POINT (-112.528419 33.427733)
2818,POINT (-112.54767700000001 33.428507)
128,POINT (-112.59933500000001 33.366848)
123,POINT (-112.660002 33.420668)
3311,POINT (-112.59938899999999 33.374038)
124,POINT (-112.651077 33.366458)
1888,POINT (-112.651276 33.384886)
129,POINT (-112.66016 33.395723)
1907,POINT (-112.69693899999999 33.334396000000005)
1874,POINT (-112.685336 33.387178999999996)
1887,POINT (-112.668659 33.3849)
1894,POINT (-112.685584 33.363029)
121,POINT (-112.714952 33.364342)
2737,POINT (-112.702771 33.400313)
1895,POINT (-112.66838899999999 33.363049)
3400,POINT (-112.667748 33.407112)
1850,POINT (-112.68730500000001 33.421878)
1902,POINT (-112.636908 33.351985)
1906,POINT (-112.651801 33.337385999999995)
127,POINT (-112.616574 33.381282)
1889,POINT (-112.633975 33.384879999999995)
1890,POINT (-112.59938899999999 33.384572)
3174,POINT (-112.61717800000001 33.413618)
126,POINT (-112.61701799999999 33.398617)
1896,POINT (-112.63358000000001 33.366665999999995)
1868,POINT (-112.633661 33.403647)
3316,POINT (-112.65082199999999 33.404559000000006)
2821,POINT (-112.636358 33.420428)
3315,POINT (-112.634001 33.408475)
1898,POINT (-112.62016899999999 33.366724)
2819,POINT (-112.606078 33.417843)
3314,POINT (-112.599227 33.398752)
3401,POINT (-112.59971200000001 33.40996)
1797,POINT (-112.622854 33.534984)
122,POINT (-112.658468 33.442471999999995)
1855,POINT (-112.622924 33.509817)
1796,POINT (-112.64793600000002 33.536547999999996)
117,POINT (-112.642137 33.509487)
1819,POINT (-112.69251299999999 33.480855)
119,POINT (-112.69416299999999 33.457798)
2886,POINT (-112.69473400000001 33.439594)
2729,POINT (-112.697999 33.426581)
1832,POINT (-112.66006000000002 33.471856)
1820,POINT (-112.693739 33.500586)
115,POINT (-112.694461 33.512516999999995)
1793,POINT (-112.70416200000001 33.537271999999994)
1805,POINT (-112.665201 33.507159)
1795,POINT (-112.66788799999999 33.536415000000005)
1794,POINT (-112.68725 33.536375)
1845,POINT (-112.62381599999999 33.437838)
1813,POINT (-112.623775 33.487334999999995)
1891,POINT (-112.530102 33.38492)
134,POINT (-112.530272 33.414021999999996)
2837,POINT (-112.58097099999999 33.353244000000004)
3312,POINT (-112.535339 33.309888)
3426,POINT (-112.51232900000001 33.356010999999995)
1876,POINT (-112.565004 33.399303)
1892,POINT (-112.564843 33.384771)
2734,POINT (-112.564174 33.413427)
2740,POINT (-112.56438100000001 33.372599)
3313,POINT (-112.582082 33.374849)
133,POINT (-112.582146 33.366888)
3175,POINT (-112.58641499999999 33.415884999999996)
138,POINT (-112.547416 33.384915)
2393,POINT (-112.543543 33.370642)
1897,POINT (-112.53868100000001 33.360003999999996)
135,POINT (-112.54758899999999 33.399440000000006)
2888,POINT (-112.54768999999999 33.413113)
1877,POINT (-112.530171 33.399524)
145,POINT (-112.517494 33.334646)
