name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,400002,,572,100004,,,,,,connector with poi,-1,"LINESTRING (-111.9236149 33.4284178 ,-111.92652061999999 33.42865924)"
,400003,,778,100004,,,,,,connector with poi,-1,"LINESTRING (-111.924806 33.4293144 ,-111.92652061999999 33.42865924)"
,400004,,804,100004,,,,,,connector with poi,-1,"LINESTRING (-111.9280683 33.4293778 ,-111.92652061999999 33.42865924)"
,500000,,568,100005,,,,,,connector with poi,-1,"LINESTRING (-111.9221543 33.4279785 ,-111.9221543 33.4279785)"
,600000,,3,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9442814 33.4254737 ,-111.94170140285715 33.42598325428572)"
,600001,,29,100006,,,,,,connector with residential,-1,"LINESTRING (-111.943347 33.4254811 ,-111.94170140285715 33.42598325428572)"
,600002,,41,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9400776 33.4264624 ,-111.94170140285715 33.42598325428572)"
,600003,,42,100006,,,,,,connector with residential,-1,"LINESTRING (-111.940778 33.4264585 ,-111.94170140285715 33.42598325428572)"
,600004,,47,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9400679 33.4273849 ,-111.94170140285715 33.42598325428572)"
,600005,,48,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9400797 33.4254922 ,-111.94170140285715 33.42598325428572)"
,600006,,140,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9399641 33.4264662 ,-111.94170140285715 33.42598325428572)"
,600007,,189,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9412674 33.4261177 ,-111.94170140285715 33.42598325428572)"
,600008,,190,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9412736 33.4254885 ,-111.94170140285715 33.42598325428572)"
,600009,,192,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9442762 33.426894 ,-111.94170140285715 33.42598325428572)"
,600010,,329,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9446893 33.4254741 ,-111.94170140285715 33.42598325428572)"
,600011,,334,100006,,,,,,connector with residential,-1,"LINESTRING (-111.9412594 33.4264482 ,-111.94170140285715 33.42598325428572)"
,600012,,358,100006,,,,,,connector with residential,-1,"LINESTRING (-111.944695 33.4254749 ,-111.94170140285715 33.42598325428572)"
,600013,,407,100006,,,,,,connector with residential,-1,"LINESTRING (-111.945 33.4264311 ,-111.94170140285715 33.42598325428572)"
,600014,,584,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9428647 33.4249455 ,-111.94170140285715 33.42598325428572)"
,600015,,602,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9403003 33.4252246 ,-111.94170140285715 33.42598325428572)"
,600016,,629,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9396364 33.4252043 ,-111.94170140285715 33.42598325428572)"
,600017,,630,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9403503 33.4248897 ,-111.94170140285715 33.42598325428572)"
,600018,,631,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9408995 33.4251447 ,-111.94170140285715 33.42598325428572)"
,600019,,632,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9409802 33.4245472 ,-111.94170140285715 33.42598325428572)"
,600020,,660,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9396448 33.4257591 ,-111.94170140285715 33.42598325428572)"
,600021,,709,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9447301 33.4260399 ,-111.94170140285715 33.42598325428572)"
,600022,,766,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9396988 33.4261603 ,-111.94170140285715 33.42598325428572)"
,600023,,770,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9431126 33.4259531 ,-111.94170140285715 33.42598325428572)"
,600024,,771,100006,,,,,,connector with poi,-1,"LINESTRING (-111.942665 33.4264914 ,-111.94170140285715 33.42598325428572)"
,600025,,772,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9403808 33.426002 ,-111.94170140285715 33.42598325428572)"
,600026,,773,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9409537 33.4258189 ,-111.94170140285715 33.42598325428572)"
,600027,,774,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9409049 33.4267899 ,-111.94170140285715 33.42598325428572)"
,600028,,775,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9410657 33.4271188 ,-111.94170140285715 33.42598325428572)"
,600029,,815,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9413434 33.4267077 ,-111.94170140285715 33.42598325428572)"
,600030,,885,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9439797 33.426675 ,-111.94170140285715 33.42598325428572)"
,600031,,888,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9432661 33.4273883 ,-111.94170140285715 33.42598325428572)"
,600032,,913,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9398961 33.427163 ,-111.94170140285715 33.42598325428572)"
,600033,,914,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9399411 33.4249177 ,-111.94170140285715 33.42598325428572)"
,600034,,952,100006,,,,,,connector with poi,-1,"LINESTRING (-111.9418783 33.4249253 ,-111.94170140285715 33.42598325428572)"
,700000,,444,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9375866 33.4261909 ,-111.9368847647059 33.42570965294118)"
,700001,,549,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9361198 33.4247288 ,-111.9368847647059 33.42570965294118)"
,700002,,573,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9356533 33.4274366 ,-111.9368847647059 33.42570965294118)"
,700003,,574,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9353213 33.4273596 ,-111.9368847647059 33.42570965294118)"
,700004,,577,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9359326 33.4251373 ,-111.9368847647059 33.42570965294118)"
,700005,,592,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9384454 33.4249338 ,-111.9368847647059 33.42570965294118)"
,700006,,628,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9395473 33.4246614 ,-111.9368847647059 33.42570965294118)"
,700007,,757,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9373262 33.4250752 ,-111.9368847647059 33.42570965294118)"
,700008,,758,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9370488 33.4246679 ,-111.9368847647059 33.42570965294118)"
,700009,,762,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9353206 33.4247365 ,-111.9368847647059 33.42570965294118)"
,700010,,763,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9352797 33.4251597 ,-111.9368847647059 33.42570965294118)"
,700011,,765,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9391558 33.4269134 ,-111.9368847647059 33.42570965294118)"
,700012,,809,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9391671 33.4252055 ,-111.9368847647059 33.42570965294118)"
,700013,,819,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9366946 33.4259464 ,-111.9368847647059 33.42570965294118)"
,700014,,820,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9364624 33.4256295 ,-111.9368847647059 33.42570965294118)"
,700015,,821,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9362882 33.4256278 ,-111.9368847647059 33.42570965294118)"
,700016,,822,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9360738 33.4256288 ,-111.9368847647059 33.42570965294118)"
,700017,,823,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9358734 33.4256289 ,-111.9368847647059 33.42570965294118)"
,700018,,824,100007,,,,,,connector with poi,-1,"LINESTRING (-111.935666 33.4256278 ,-111.9368847647059 33.42570965294118)"
,700019,,825,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9363484 33.4257017 ,-111.9368847647059 33.42570965294118)"
,700020,,826,100007,,,,,,connector with poi,-1,"LINESTRING (-111.93609 33.4257141 ,-111.9368847647059 33.42570965294118)"
,700021,,827,100007,,,,,,connector with poi,-1,"LINESTRING (-111.9358665 33.4257202 ,-111.9368847647059 33.42570965294118)"
