WKT,FID,APN,DBT_BEGIN,BEGIN_DATE,FLOOR,ADDRESS,AREA,Shape_Leng,SHAPE_Le_1,SHAPE_Area
"MULTIPOLYGON (((-12458672.867 3951374.6998,-12458672.6998 3951374.6994,-12458672.7014 3951373.5997,-12458674.541 3951373.6027,-12458674.5406 3951373.7707,-12458676.7298 3951373.7743,-12458676.7301 3951373.6063,-12458678.1202 3951373.6085,-12458678.1632 3951373.5653,-12458678.2813 3951373.6844,-12458679.9179 3951372.0454,-12458679.7997 3951371.9264,-12458679.8493 3951371.8768,-12458679.8506 3951371.0453,-12458682.0016 3951371.0488,-12458682.0014 3951371.1984,-12458683.4608 3951371.2192,-12458683.461 3951371.0511,-12458685.6122 3951371.0546,-12458685.6134 3951370.3215,-12458689.9612 3951370.3285,-12458689.9522 3951375.9492,-12458689.9517 3951376.2546,-12458689.9514 3951376.4379,-12458689.2217 3951376.4367,-12458689.2212 3951376.7422,-12458689.054 3951376.742,-12458689.0521 3951377.9638,-12458689.2193 3951377.9641,-12458689.2192 3951378.0252,-12458690.0249 3951378.0265,-12458690.7534 3951378.7608,-12458690.7525 3951379.3488,-12458690.5852 3951379.3485,-12458690.5829 3951380.8148,-12458690.7501 3951380.815,-12458690.7481 3951382.0904,-12458673.7824 3951382.063,-12458672.6879 3951382.0612,-12458672.6899 3951380.8088,-12458672.8571 3951380.8092,-12458672.8595 3951379.3429,-12458672.6923 3951379.3426,-12458672.6962 3951376.8988,-12458672.8634 3951376.8991,-12458672.867 3951374.6998)))","283","13273415",2008/04/30,2007/08/17,"2",1275 E UNIVERSITY DR  202,0.000000000000000,169.591415036000001,61.986237473166774,1319.114601620000030
"MULTIPOLYGON (((-12462088.448 3951511.8838,-12462094.7226 3951511.8625,-12462094.7993 3951525.6509,-12462088.5789 3951525.6625,-12462088.448 3951511.8838)))","806","12434080",2008/06/04,1900/01/01,"1",700 W UNIVERSITY DR  159,644.000000000000000,109.451702791000002,40.062982071235091,643.869341119999945
"MULTIPOLYGON (((-12462116.8318 3951553.4142,-12462116.7591 3951547.1593,-12462130.1297 3951547.2564,-12462130.1671 3951553.5036,-12462116.8318 3951553.4142)))","2448","12434056",2008/06/04,1900/01/01,"1",700 W UNIVERSITY DR  134,624.000000000000000,107.304163822000007,39.209186676818774,624.053758319000053
"MULTIPOLYGON (((-12461173.1705 3950737.8192,-12461226.4704 3950737.3302,-12461226.735 3950761.1543,-12461173.4351 3950761.6432,-12461173.1705 3950737.8192)))","2684","13245019",2008/06/09,1900/01/01,"1",1115 S MAPLE AVE,9496.000000000000000,422.201085338999974,154.255323984740670,9496.524387139999817
"MULTIPOLYGON (((-12460970.5557 3951466.3669,-12460970.5435 3951462.1798,-12461022.4119 3951461.8419,-12461031.283 3951461.7841,-12461031.2956 3951466.1277,-12461031.4544 3951521.1127,-12461025.9974 3951526.6329,-12461022.3836 3951526.647,-12461011.4033 3951526.6903,-12460991.3363 3951526.7694,-12460970.7299 3951526.8506,-12460970.5557 3951466.3669)))","2844","13227151",2008/06/05,1900/01/01,"1",16 E UNIVERSITY DR,29293.000000000000000,677.454154784000025,247.770815104900919,29293.550672900000791
"MULTIPOLYGON (((-12461710.4527 3950711.3239,-12461710.2547 3950669.6697,-12461733.015 3950669.6964,-12461733.0693 3950711.4017,-12461710.4527 3950711.3239)))","4044","12470117",2008/06/09,1900/01/01,"1",428 W 12TH ST,7071.000000000000000,351.800257204999980,128.737055406771901,7071.477056519999678
"MULTIPOLYGON (((-12461383.8393 3952017.1305,-12461383.8405 3952008.1814,-12461383.8412 3951999.3247,-12461383.8421 3951989.7298,-12461383.8432 3951980.8731,-12461383.8437 3951971.5545,-12461383.845 3951962.8827,-12461383.8459 3951953.5642,-12461383.8467 3951944.1538,-12461383.8478 3951932.8301,-12461402.2301 3951932.6163,-12461402.2035 3951943.9082,-12461402.1806 3951953.439,-12461402.1588 3951962.6368,-12461402.1377 3951971.5115,-12461402.1159 3951980.6263,-12461402.0944 3951989.6849,-12461402.0719 3951999.1189,-12461402.0504 3952008.0566,-12461402.0296 3952016.8847,-12461402.0066 3952026.4698,-12461383.8384 3952026.5118,-12461383.8393 3952017.1305)))","7163",13229001A,2008/06/05,1900/01/01,"1",402 S ASH AVE,12811.000000000000000,611.753263920999984,224.087258469121792,12811.541718399999809
"MULTIPOLYGON (((-12458630.197 3951039.878,-12458630.2067 3951010.1871,-12458670.3476 3951010.8063,-12458670.3399 3951039.9592,-12458630.197 3951039.878)))","7164","13273145",2008/04/30,1900/01/01,"1",908 S DORSEY LN,8831.000000000000000,380.597211619999996,139.132460226422921,8831.377343340000152
"MULTIPOLYGON (((-12462081.3257 3952074.6759,-12462112.9072 3952074.7665,-12462094.2449 3952126.5255,-12462074.3602 3952136.0476,-12462081.3257 3952074.6759)))","7328","12431015",2008/06/04,1900/01/01,"1",629 W 3RD ST,10431.000000000000000,465.594073980000019,170.415062684960390,10430.550317999999606
"MULTIPOLYGON (((-12461794.5504 3951801.4427,-12461794.5544 3951799.6054,-12461793.8575 3951799.6038,-12461793.8621 3951797.4495,-12461794.573 3951797.4511,-12461794.5769 3951795.6762,-12461805.4973 3951795.8359,-12461805.4848 3951801.5775,-12461794.5504 3951801.4427)))","7651","12433083",2008/08/05,1900/01/01,"1",544 S WILSON ST  102,482.000000000000000,95.155374211999998,34.772729325848395,481.464906444000007
