WKT,FID,APN,DBT_BEGIN,BEGIN_DATE,FLOOR,ADDRESS,AREA,Shape_Leng,SHAPE_Le_1,SHAPE_Area
"MULTIPOLYGON (((-12461760.8106 3950321.5088,-12461760.7277 3950285.5852,-12461786.3849 3950285.7149,-12461786.6362 3950321.6396,-12461760.8106 3950321.5088)))","8992","12465056",2008/06/09,1900/01/01,"1",500 W PARKWAY BLVD,6915.000000000000000,337.145505731000014,123.332733643359333,6915.445075079999697
"MULTIPOLYGON (((-12460731.7488 3950255.044,-12460740.8692 3950254.9005,-12460768.2303 3950254.4699,-12460768.2418 3950313.3653,-12460740.8804 3950313.643,-12460731.76 3950313.7356,-12460731.7488 3950255.044)))","10178",13317068A,2008/06/09,1900/01/01,"1",101 E 14TH ST,16040.000000000000000,520.827568004999989,190.556698421514824,16040.538878100000147
"MULTIPOLYGON (((-12460957.6063 3951936.9232,-12460966.7279 3951936.8771,-12460966.9037 3951988.6361,-12460957.7822 3951988.7099,-12460957.6063 3951936.9232)))","11767","13228031",2008/06/05,1900/01/01,"1",26 E 5TH ST,3531.000000000000000,332.463461420999977,121.789812326803030,3530.776242320000165
"MULTIPOLYGON (((-12461194.3479 3951219.1574,-12461194.1784 3951200.83,-12461212.4187 3951200.5587,-12461212.5882 3951218.8862,-12461212.7578 3951237.2137,-12461194.5174 3951237.4849,-12461194.3479 3951219.1574)))","12179","13242035",2008/06/09,1900/01/01,"1",21 W 9TH ST,5000.000000000000000,300.002742721999994,109.797769565816139,4999.995528710001054
"MULTIPOLYGON (((-12461509.7112 3950723.8369,-12461561.6556 3950723.9711,-12461561.8573 3950744.9404,-12461509.5681 3950744.8413,-12461509.7112 3950723.8369)))","12532",12470010A,2018/06/08,1972/05/26,"1",1125 S FARMER AVE,8194.000000000000000,400.219442770000001,146.209024749622074,8179.061778849999428
"MULTIPOLYGON (((-12458150.2918 3950260.4233,-12458175.8294 3950260.4241,-12458176.0419 3950315.3652,-12458150.5049 3950315.431,-12458150.2918 3950260.4233)))","12736","13307047",2008/04/30,1900/01/01,"1",1515 E HUDSON DR,10499.000000000000000,439.974323211000012,161.024308510794924,10499.078907299999628
"MULTIPOLYGON (((-12461386.7266 3950989.8549,-12461487.0213 3950988.6176,-12461487.0542 3951006.9462,-12461441.2519 3951007.5114,-12461386.7557 3951008.1837,-12461386.7266 3950989.8549)))","12904","13245104",2008/06/09,1900/01/01,"1",1016 S ASH AVE,13746.000000000000000,649.858109295999952,237.265918354488406,13746.312583499999164
"MULTIPOLYGON (((-12460594.762 3951632.4318,-12460609.8981 3951632.3728,-12460610.0815 3951687.3585,-12460594.9453 3951687.4176,-12460594.762 3951632.4318)))","13228","13227103",2008/06/05,1900/01/01,"1",222 E 7TH ST,6223.000000000000000,382.969595853999976,140.244641743090426,6222.726053020000109
"MULTIPOLYGON (((-12460658.7856 3950256.1918,-12460683.2365 3950255.8072,-12460682.7481 3950314.2327,-12460658.7964 3950314.4757,-12460658.7856 3950256.1918)))","13251","13317065",2008/06/09,1900/01/01,"1",115 E 14TH ST,10561.000000000000000,451.109309665000012,165.118299550163869,10560.992910999999367
"MULTIPOLYGON (((-12459300.2731 3950746.5457,-12459299.7002 3950615.2926,-12459299.6911 3950613.198,-12459355.7177 3950613.263,-12459355.7181 3950618.6379,-12459360.4535 3950618.6452,-12459363.6447 3950617.1086,-12459391.4666 3950617.1065,-12459391.4784 3950748.8237,-12459300.2731 3950746.5457)))","18727","13273346",2009/02/12,2009/02/10,"1",1011 E LEMON ST,90876.000000000000000,1240.394527809999772,453.800635579385812,90876.708786500006681
"MULTIPOLYGON (((-12461786.6895 3951723.2908,-12461786.7095 3951714.1264,-12461809.2094 3951714.176,-12461809.1894 3951723.3404,-12461786.6895 3951723.2908)))","20016","12433295",2008/07/30,2008/06/04,"1",523 W 6TH ST,1542.000000000000000,173.333866180000001,63.328752986637824,1541.676146900000049
"MULTIPOLYGON (((-12461864.3474 3950322.0321,-12461864.0958 3950286.1075,-12461889.6347 3950286.2364,-12461889.8863 3950322.161,-12461864.3474 3950322.0321)))","20407","12465052",2008/06/09,1900/01/01,"1",516 W PARKWAY BLVD,6861.000000000000000,336.039900819000025,122.929412649182609,6861.044779400000152
"MULTIPOLYGON (((-12462035.1142 3951561.2856,-12462041.3854 3951561.2584,-12462047.2158 3951561.2332,-12462047.2181 3951568.7391,-12462035.1165 3951568.7428,-12462035.1142 3951561.2856)))","21054","12434049",2008/06/04,1900/01/01,"1",700 W UNIVERSITY DR  122,677.000000000000000,107.155449876999995,39.166414721162838,676.946289772000000
"MULTIPOLYGON (((-12461256.8952 3952026.2676,-12461255.1396 3952026.268,-12461255.1383 3952020.9609,-12461254.3589 3952020.9611,-12461254.3585 3952019.3628,-12461253.9765 3952019.3629,-12461253.9753 3952014.0798,-12461257.2048 3952014.079,-12461264.813 3952013.9923,-12461264.9593 3952026.8756,-12461261.3088 3952026.8764,-12461261.3091 3952028.1621,-12461256.8957 3952028.1632,-12461256.8952 3952026.2676)))","21411","13229301",2008/06/05,1900/01/01,"1",154 W 5TH ST,1025.000000000000000,136.872575079999990,50.073025478720830,1024.786021370000071
"MULTIPOLYGON (((-12460883.6209 3950147.7977,-12460931.9552 3950146.9752,-12460932.0903 3950173.9929,-12460883.7555 3950174.7542,-12460883.6209 3950147.7977)))","21413","13317008",2008/06/09,1900/01/01,"1",1426 S GRANDVIEW DR,9756.000000000000000,412.277567687999976,150.656966585511896,9756.015359999999419
"MULTIPOLYGON (((-12461709.8091 3950416.7353,-12461709.728 3950381.4658,-12461727.944 3950381.5731,-12461729.2033 3950381.6907,-12461730.4235 3950382.025,-12461731.568 3950382.566,-12461732.6022 3950383.2974,-12461733.4952 3950384.1973,-12461734.2201 3950385.2386,-12461734.7552 3950386.39,-12461735.0843 3950387.6169,-12461735.1975 3950388.8825,-12461735.2779 3950416.8642,-12461709.8091 3950416.7353)))","21428","12465032",2008/06/09,1900/01/01,"1",424 W 14TH ST,6629.000000000000000,323.551609322999980,118.346559264179902,6628.724418220000189
"MULTIPOLYGON (((-12461632.9201 3950266.6112,-12461632.861 3950240.9542,-12461668.3343 3950240.9445,-12461668.3766 3950259.4064,-12461668.2886 3950260.5587,-12461668.0214 3950261.6828,-12461667.5817 3950262.7507,-12461666.9805 3950263.7359,-12461666.2325 3950264.6139,-12461665.3566 3950265.3629,-12461664.3743 3950265.9643,-12461663.3102 3950266.4032,-12461662.1906 3950266.6685,-12461661.0435 3950266.7538,-12461632.9201 3950266.6112)))","21753","12465105",2008/06/09,1900/01/01,"1",1417 S WILSON ST,6744.000000000000000,326.258136918999980,119.245795798947711,6744.279991890000019
"MULTIPOLYGON (((-12460775.9872 3951693.4396,-12460788.7573 3951693.3874,-12460788.9425 3951748.6829,-12460776.1724 3951748.7506,-12460775.9872 3951693.4396)))","22199","13227074",2008/07/30,2008/06/11,"1",129 E 6TH ST,5280.000000000000000,371.730903160000025,136.147606338566021,5280.288677499998812
"MULTIPOLYGON (((-12460839.8376 3951693.1787,-12460852.6076 3951693.1266,-12460865.3776 3951693.0743,-12460884.3336 3951692.9968,-12460884.5649 3951748.176,-12460866.0494 3951748.2742,-12460852.7929 3951748.3445,-12460840.0228 3951748.4122,-12460839.8376 3951693.1787)))","23262","13227080",2008/07/30,2008/06/11,"1",101 E 6TH ST,18376.000000000000000,545.236730256999977,199.452593331171499,18375.922909500000969
"MULTIPOLYGON (((-12461573.2157 3951761.3435,-12461573.3851 3951892.2891,-12461567.9196 3951897.8565,-12461519.79 3951898.4601,-12461519.6156 3951761.1784,-12461573.2157 3951761.3435)))","23694","12433364",2010/12/21,2010/12/06,"1",511 S FARMER AVE,54735.000000000000000,1031.860844970000016,377.763030530874460,54735.622024199998123
"MULTIPOLYGON (((-12458294.626 3950465.8003,-12458294.792 3950396.4251,-12458323.6128 3950396.4256,-12458323.4466 3950466.0229,-12458294.626 3950465.8003)))","24264",13308059A,2008/04/30,2006/08/30,"1",1461 E APACHE BLVD,14976.000000000000000,537.153336616000047,196.615156684112634,14976.486831800000800
"MULTIPOLYGON (((-12461573.1153 3951671.9801,-12461573.2157 3951761.3435,-12461519.6156 3951761.1784,-12461519.5021 3951671.8151,-12461573.1153 3951671.9801)))","25815","12433363",2010/12/21,2010/12/06,"1",601 S FARMER AVE,35816.000000000000000,781.405058559000054,285.940636657501500,35816.546790799999144
"MULTIPOLYGON (((-12459767.2677 3950505.9627,-12459819.7125 3950505.4577,-12459820.4941 3950614.5695,-12459802.9571 3950614.7217,-12459768.0475 3950615.0214,-12459767.2677 3950505.9627)))","26375",13251108D,2008/06/09,2008/03/11,"1",702 E APACHE BLVD,42786.000000000000000,882.754533399000024,323.071865431228787,42785.770500600003288
"MULTIPOLYGON (((-12460744.8528 3951785.2086,-12460807.9704 3951784.8741,-12460808.0625 3951802.8839,-12460808.2538 3951840.2744,-12460780.1593 3951840.4195,-12460780.1733 3951843.3282,-12460780.1742 3951843.5115,-12460745.1219 3951843.6942,-12460744.8528 3951785.2086)))","27543","13227353",2008/07/30,2008/06/11,"1",124 E 6TH ST,26958.000000000000000,665.172895608999966,243.245417035680845,26958.571280799998931
"MULTIPOLYGON (((-12461553.6487 3952752.9728,-12461558.4714 3952807.166,-12461524.3283 3952831.1278,-12461501.2015 3952812.5372,-12461501.1889 3952764.5557,-12461501.1877 3952754.816,-12461553.6487 3952752.9728)))","29034",12424171B,2009/02/24,2005/08/09,"1",,27459.000000000000000,645.022115632999885,236.006808969599689,27459.124647500000719
"MULTIPOLYGON (((-12460576.906 3950257.4793,-12460604.0632 3950257.0523,-12460604.0737 3950315.0304,-12460577.1521 3950315.3032,-12460576.906 3950257.4793)))","29592","13317061",2008/06/09,1900/01/01,"1",127 E 14TH ST,11709.000000000000000,464.189703893000001,169.886063487575711,11708.700930499999231
"MULTIPOLYGON (((-12461698.1599 3951903.1347,-12461698.143 3951841.7629,-12461716.3864 3951841.8166,-12461734.6297 3951841.8705,-12461734.6366 3951866.5968,-12461716.3932 3951866.6058,-12461712.7439 3951866.6075,-12461712.7546 3951903.2053,-12461698.1599 3951903.1347)))","30634",12433007A,2008/06/04,1900/01/01,"1",427 W 5TH ST,10751.000000000000000,534.706744670000035,195.670336885382113,10751.356760599999689
"MULTIPOLYGON (((-12458972.4371 3952543.8078,-12458978.9735 3952540.1459,-12458985.0675 3952535.7815,-12458990.6448 3952530.7678,-12458995.637 3952525.1661,-12458999.9832 3952519.045,-12459003.6302 3952512.4792,-12459006.5335 3952505.549,-12459008.6575 3952498.3392,-12459009.9764 3952490.9379,-12459010.4738 3952483.4355,-12459010.8641 3952448.4615,-12459010.9839 3952447.1202,-12459011.3103 3952445.8139,-12459011.8353 3952444.5748,-12459012.5461 3952443.4329,-12459013.4253 3952442.4164,-12459014.4515 3952441.5499,-12459096.6113 3952442.4793,-12459097.2769 3952549.3874,-12459090.7742 3952560.5976,-12458989.5257 3952587.7899,-12458972.4371 3952543.8078)))","31507","13232017",2008/04/30,2007/10/18,"1",,96956.000000000000000,1290.885525250000228,472.179143707437504,96956.793512100004591
"MULTIPOLYGON (((-12461694.6405 3952424.9254,-12461698.8215 3952424.8676,-12461698.8015 3952423.4013,-12461703.9547 3952423.33,-12461704.0707 3952431.8221,-12461694.7368 3952431.9512,-12461694.6405 3952424.9254)))","32000","12424036",2008/06/04,2000/12/13,"1",430 W 1ST ST  103,547.000000000000000,97.499996175899994,35.655674079922711,546.843484301999979
"MULTIPOLYGON (((-12461456.2276 3951308.6705,-12461478.4712 3951306.8213,-12461478.4744 3951308.5789,-12461456.2279 3951310.0384,-12461456.2276 3951308.6705)))","32409",13242004E,2008/06/09,1900/01/01,"1",850 S ASH AVE,260.000000000000000,130.805733879000002,47.740160757998837,259.956511664999994
"MULTIPOLYGON (((-12458670.8517 3952587.3075,-12458681.7524 3952581.8196,-12458692.8159 3952576.6709,-12458743.7787 3952683.0472,-12458721.8037 3952693.6486,-12458670.8517 3952587.3075)))","33931","13232025",2008/04/30,2007/10/18,"1",,21273.000000000000000,777.598300750000021,284.677041411767277,21535.627026900001511
"MULTIPOLYGON (((-12458439.1098 3950863.1108,-12458439.1627 3950827.5555,-12458439.1686 3950823.5902,-12458458.4787 3950823.655,-12458463.6125 3950823.6723,-12458463.6065 3950827.6345,-12458463.5537 3950863.1897,-12458439.1098 3950863.1108)))","34110","13262086",2008/04/30,1900/01/01,"1",1325 E DON CARLOS AVE,7224.000000000000000,349.628254060000017,127.926152696659045,7223.534840559999793
"MULTIPOLYGON (((-12461687.7311 3952650.5739,-12461687.3747 3952650.5183,-12461687.1608 3952650.4732,-12461686.1309 3952650.121,-12461685.7415 3952649.924,-12461685.6843 3952645.9771,-12461681.922 3952646.0323,-12461681.7572 3952633.0376,-12461681.7084 3952629.2122,-12461682.5245 3952629.2003,-12461682.5289 3952629.5039,-12461685.0672 3952629.4668,-12461685.0628 3952629.1632,-12461685.909 3952629.1508,-12461685.9811 3952634.1299,-12461687.6884 3952634.1049,-12461687.7501 3952638.3553,-12461690.9986 3952638.3079,-12461691.0507 3952641.9244,-12461691.1085 3952645.8978,-12461691.1658 3952649.8447,-12461690.9762 3952649.9529,-12461690.7825 3952650.0535,-12461689.7631 3952650.4354,-12461689.5504 3952650.4866,-12461689.1959 3952650.5525,-12461688.4642 3952650.613,-12461687.7311 3952650.5739)))","34556","12424062",2008/06/04,2000/12/13,"1",425 W RIO SALADO PKWY  107,1040.000000000000000,165.922102464000005,60.741607866592290,1039.610390410000036
"MULTIPOLYGON (((-12458416.376 3950916.4061,-12458416.146 3950881.364,-12458440.2263 3950881.4419,-12458440.4561 3950916.4527,-12458416.376 3950916.4061)))","34715","13262108",2008/04/30,1900/01/01,"1",1328 E DON CARLOS AVE,6307.000000000000000,323.124049785000011,118.214980046842413,6306.911715440000080
"MULTIPOLYGON (((-12460883.7555 3950174.7542,-12460932.0903 3950173.9929,-12460932.2304 3950202.0335,-12460883.8956 3950202.7948,-12460883.7555 3950174.7542)))","35978","13317007",2008/06/09,1900/01/01,"1",1422 S GRANDVIEW DR,10137.000000000000000,418.023631544000011,152.763490140263684,10136.811680900000283
"MULTIPOLYGON (((-12461509.6325 3950780.6767,-12461509.6004 3950762.8189,-12461561.8862 3950763.031,-12461561.9149 3950781.0015,-12461509.6325 3950780.6767)))","35995","12470008",2008/06/09,1900/01/01,"1",1115 S FARMER AVE,7004.000000000000000,384.368904117999989,140.397990856564263,7003.886186390001058
"MULTIPOLYGON (((-12461591.1736 3952123.1104,-12461608.6876 3952123.0931,-12461608.6962 3952131.8914,-12461591.1821 3952131.9085,-12461591.1736 3952123.1104)))","36131","12432124",2010/11/02,2010/10/14,"1",330 S FARMER AVE  101,1152.000000000000000,144.000692549000007,52.624525209533523,1152.016330079999989
"MULTIPOLYGON (((-12459202.1435 3950146.5542,-12459202.1568 3950150.627,-12459202.2041 3950165.1576,-12459170.7467 3950165.7915,-12459170.7369 3950146.9195,-12459202.1435 3950146.5542)))","36177","13310054",2008/04/30,1900/01/01,"1",1408 S BONARDEN LN,4405.000000000000000,274.586209397999994,100.348011864812662,4404.787486979999812
"MULTIPOLYGON (((-12461116.795 3951165.3202,-12461167.8678 3951164.5612,-12461168.1051 3951182.8876,-12461117.0321 3951183.6466,-12461116.795 3951165.3202)))","36263","13242050",2008/06/09,1900/01/01,"1",918 S MILL AVE,7000.000000000000000,380.000773184000025,138.812948925518668,7000.020843979999881
"MULTIPOLYGON (((-12458528.1656 3952780.3021,-12458447.6067 3952808.1838,-12458345.4456 3952835.2891,-12458321.5623 3952841.7114,-12458301.3723 3952819.5869,-12458301.5067 3952819.463,-12458300.8543 3952818.6246,-12458300.3405 3952817.6939,-12458299.978 3952816.6939,-12458299.7755 3952815.6492,-12458299.7383 3952814.5856,-12458299.8671 3952813.5293,-12458300.1588 3952812.5061,-12458300.6062 3952811.5415,-12458301.1983 3952810.659,-12458301.9205 3952809.8804,-12458407.5979 3952712.5346,-12458409.1455 3952711.3235,-12458410.866 3952710.3768,-12458412.7151 3952709.7187,-12458414.6451 3952709.3663,-12458416.6064 3952709.3286,-12458418.5484 3952709.6065,-12458420.4212 3952710.193,-12458422.1765 3952711.0729,-12458428.9639 3952715.1895,-12458429.354 3952715.4262,-12458429.5635 3952715.577,-12458429.7469 3952715.7588,-12458429.8997 3952715.9673,-12458430.0182 3952716.1971,-12458430.0995 3952716.4428,-12458430.1415 3952716.6982,-12458430.1432 3952716.9571,-12458430.1046 3952717.213,-12458430.0266 3952717.4598,-12458429.9112 3952717.6912,-12458429.2512 3952718.7897,-12458464.5499 3952740.199,-12458465.21 3952739.1006,-12458465.3787 3952738.8683,-12458465.585 3952738.669,-12458465.8227 3952738.5087,-12458466.0844 3952738.3923,-12458466.3622 3952738.3233,-12458466.6478 3952738.3038,-12458466.9323 3952738.3345,-12458467.2073 3952738.4143,-12458467.4643 3952738.5408,-12458468.8313 3952739.3699,-12458473.935 3952741.9484,-12458479.3727 3952743.7076,-12458485.015 3952744.6058,-12458490.7276 3952744.6215,-12458496.3747 3952743.7544,-12458501.8219 3952742.0251,-12458506.9396 3952739.4747,-12458511.606 3952736.164,-12458528.1656 3952780.3021)))","36317","13232021",2008/04/30,2007/10/18,"1",,113841.000000000000000,1553.752330920000077,567.700518146377135,113841.706019999983255
"MULTIPOLYGON (((-12459299.7002 3950615.2926,-12459300.2731 3950746.5457,-12459227.0081 3950745.6604,-12459227.115 3950644.5355,-12459227.1041 3950642.4622,-12459226.9634 3950615.5058,-12459299.7002 3950615.2926)))","37003","13273122",2009/02/12,2009/02/10,"1",1019 E LEMON ST,71281.000000000000000,1113.381289090000109,407.416863691372782,71281.420483599998988
"MULTIPOLYGON (((-12461509.698 3950817.1281,-12461561.973 3950817.34,-12461562.0058 3950837.8686,-12461509.7353 3950837.8827,-12461509.698 3950817.1281)))","37139","12470005",2008/06/09,1900/01/01,"1",1101 S FARMER AVE,8068.000000000000000,399.184182869999972,145.829191102019678,8068.452042149999215
"MULTIPOLYGON (((-12461509.5245 3950638.3664,-12461509.4813 3950629.6012,-12461561.5611 3950629.7352,-12461561.5439 3950638.5064,-12461549.1075 3950638.4729,-12461515.369 3950638.3821,-12461509.5245 3950638.3664)))","39691","12470014",2018/06/11,1976/07/28,"1",1211 S FARMER AVE,3420.000000000000000,333.181626123000001,121.636084096031510,3412.824170960000174
"MULTIPOLYGON (((-12458230.8237 3950766.0296,-12458230.9555 3950724.2175,-12458253.7323 3950724.1802,-12458253.6002 3950766.1065,-12458230.8237 3950766.0296)))","39821","13262062",2008/04/30,1900/01/01,"1",1361 E LEMON ST,7131.000000000000000,353.315209749000019,129.292276196539490,7131.214154860000235
"MULTIPOLYGON (((-12460664.2232 3950124.2842,-12460687.7775 3950123.8839,-12460712.4016 3950123.4653,-12460712.4835 3950161.8708,-12460687.8594 3950162.2583,-12460664.3992 3950162.6273,-12460664.2232 3950124.2842)))","40512","13317021",2008/06/09,1900/01/01,"1",114 E 15TH ST,13814.000000000000000,473.299253672000020,173.024700838130457,13813.906430900000487
"MULTIPOLYGON (((-12461922.3356 3950592.0953,-12461922.307 3950573.6191,-12461979.5498 3950574.0886,-12461979.5781 3950592.4429,-12461922.3356 3950592.0953)))","40522","12470134",2008/06/09,1900/01/01,"1",1214 S ROOSEVELT ST,7883.000000000000000,414.296909884999991,151.318824693168750,7882.872036939999816
"MULTIPOLYGON (((-12461248.3066 3950737.1241,-12461302.7398 3950736.5946,-12461302.8743 3950760.4199,-12461248.5454 3950760.9483,-12461248.3066 3950737.1241)))","40842","13245069",2008/06/09,1900/01/01,"1",1118 S MAPLE AVE,9689.000000000000000,428.129920239999990,156.418321235050939,9689.203753980000329
"MULTIPOLYGON (((-12459095.0735 3951327.3809,-12459095.0775 3951324.5523,-12459096.4397 3951324.5542,-12459096.4491 3951318.0391,-12459098.4256 3951318.042,-12459098.4242 3951319.034,-12459101.4691 3951319.0383,-12459101.4706 3951317.9659,-12459103.1803 3951317.9684,-12459103.1788 3951319.0409,-12459105.5559 3951319.0443,-12459105.5439 3951327.396,-12459095.0735 3951327.3809)))","41012","13273220",2008/04/30,1900/01/01,"1",1111 E UNIVERSITY DR  234,626.000000000000000,114.227488167000004,41.773142961935406,625.963005433000035
"MULTIPOLYGON (((-12459872.272 3950986.5775,-12459872.145 3950968.3267,-12459871.7053 3950891.1689,-12459908.5898 3950890.7652,-12459910.4139 3950890.7453,-12459938.2858 3950890.4402,-12459938.6033 3950967.5985,-12459938.6359 3950975.4363,-12459938.6727 3950984.2268,-12459937.8617 3950984.2342,-12459897.4158 3950984.6001,-12459894.8614 3950984.6233,-12459894.8655 3950986.1626,-12459876.6129 3950986.9916,-12459872.3065 3950991.5315,-12459872.272 3950986.5775)))","41298",13251116B,2008/06/09,2007/07/31,"1",615 E ORANGE ST,47010.000000000000000,903.653485400000022,330.617573625662999,47010.548284199998307
"MULTIPOLYGON (((-12462066.984 3950671.7187,-12462078.8606 3950671.4974,-12462090.7207 3950670.8307,-12462090.7484 3950708.5835,-12462067.0423 3950708.9503,-12462066.984 3950671.7187)))","41310","12467076",2008/06/09,1900/01/01,"1",700 W 12TH ST,6624.000000000000000,334.680484117999981,122.450878991227242,6624.481801060000180
"MULTIPOLYGON (((-12461859.0441 3951699.9365,-12461859.0608 3951692.4821,-12461879.069 3951692.5261,-12461882.4116 3951692.5335,-12461882.3953 3951699.9879,-12461859.0441 3951699.9365)))","41478","12433342",2008/07/30,2008/06/04,"1",623 S ROOSEVELT ST,1301.000000000000000,168.670141414000000,61.610949661196379,1301.454452870000068
"MULTIPOLYGON (((-12461353.1231 3951107.5092,-12461353.2759 3951123.9971,-12461306.2144 3951124.5717,-12461306.0593 3951107.8424,-12461353.1231 3951107.5092)))","42556","13242061",2010/04/07,2010/03/30,"1",961 S ASH AVE,5845.000000000000000,348.624125730999992,127.348614126637500,5845.209699990000445
"MULTIPOLYGON (((-12461832.0205 3951041.6201,-12461831.9269 3951023.4218,-12461901.2343 3951023.6541,-12461901.3321 3951041.9378,-12461832.0205 3951041.6201)))","42875",12469106A,2008/06/09,1900/01/01,"1",1011 S ROOSEVELT ST,9453.000000000000000,479.474536050999973,175.102619676061977,9453.435848780000015
