name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1545,157719716,,-87.747173,41.962576,0,primary,,,
,1546,266648323,,-87.746981,41.963431,1,motorway,,1546,
,1547,266648325,,-87.746552,41.962753,0,motorway,,,
,1548,266648326,signal,-87.746448,41.962615,0,motorway,,,
,1549,4335553040,,-87.707915,41.961200,0,secondary,,,
,1550,305910332,signal,-87.703359,41.961222,0,secondary,,,
,1551,287235906,,-87.743771,41.960766,0,secondary,,,
,1552,287235904,,-87.742048,41.960795,0,secondary,,,
,1553,287239963,,-87.649402,41.892353,0,secondary,,,
,1554,707916304,,-87.649191,41.892222,0,secondary,,,
,1555,287240021,,-87.650136,41.892832,0,secondary,,,
,1556,287240116,,-87.647673,41.892579,0,secondary,,,
,1557,9149827882,,-87.647685,41.893150,0,secondary,,,
,1558,287240117,,-87.647662,41.892299,0,secondary,,,
,1559,709393200,,-87.650280,41.892674,0,motorway,,,
,1560,4334594439,,-87.637770,41.892416,0,motorway,,,
,1561,709413342,,-87.637427,41.892930,0,motorway,,,
,1562,5266046947,,-87.637580,41.892837,0,motorway,,,
,1563,1647467800,,-87.644694,41.874838,0,motorway,,,
,1564,9738378809,,-87.646253,41.877959,0,secondary,,,
,1565,709361059,,-87.645564,41.877963,0,secondary,,,
,1566,287247179,,-87.645292,41.877965,0,secondary,,,
,1567,256613299,signal,-87.644005,41.877986,0,secondary,,,
,1568,256612740,signal,-87.642529,41.878011,0,secondary,,,
,1569,6131657482,,-87.647091,41.876682,0,secondary,,,
,1570,256611723,signal,-87.647203,41.876680,0,secondary,,,
,1571,709361074,,-87.645498,41.878507,0,motorway,,,
,1572,709361181,,-87.645368,41.879249,0,secondary,,,
,1573,9738378806,,-87.646296,41.879241,0,secondary,,,
,1574,258955478,signal,-87.651945,41.879139,-1,tertiary,,1574,
,1575,265649647,,-87.645272,41.883151,0,secondary,,,
,1576,287260704,,-87.645213,41.883151,0,secondary,,,
,1577,258020692,signal,-87.644147,41.883163,0,secondary,,,
,1578,265648679,,-87.646313,41.883145,0,secondary,,,
,1579,287256423,,-87.646684,41.886796,1,tertiary,,1579,
,1580,1769810839,signal,-87.647513,41.886790,0,secondary,,,
,1581,709361203,,-87.645428,41.879835,0,motorway,,,
,1582,287257360,,-87.645827,41.881800,0,secondary,,,
,1583,709360243,,-87.645810,41.881242,0,motorway,,,
,1584,709360201,,-87.645757,41.882364,0,motorway,,,
,1585,709360185,,-87.645889,41.883856,0,motorway,,,
,1586,7706487489,,-87.646031,41.885494,0,motorway,,,
,1587,709360166,,-87.645940,41.884999,0,motorway,,,
,1588,287260702,,-87.645355,41.881847,0,motorway,,,
,1589,10273279138,,-87.645276,41.882455,0,motorway,,,
,1590,287261042,,-87.645396,41.883308,0,motorway,,,
,1591,12153004970,,-87.645253,41.884166,0,motorway,,,
,1592,258023775,,-87.646108,41.885119,0,motorway,,,
,1593,287261509,,-87.646413,41.883145,0,secondary,,,
,1594,25779189,,-87.646074,41.884284,0,motorway,,,
,1595,287261610,,-87.646015,41.882928,0,motorway,,,
,1596,9436625758,,-87.646378,41.880812,0,motorway,,,
,1597,709393461,,-87.650442,41.890623,0,motorway,,,
,1598,9222495456,,-87.649817,41.890209,0,motorway,,,
,1599,4335596043,,-87.655852,41.894216,0,motorway,,,
,1600,258023715,,-87.648301,41.889096,0,motorway,,,
,1601,9213674611,,-87.647368,41.888132,0,motorway,,,
,1602,10947960097,,-87.616794,41.887520,0,trunk,,,
,1603,2392243947,,-87.622909,41.884376,0,secondary,,,
UIC-Halsted Blue Line Station,1604,5881675886,,-87.647171,41.875581,0,secondary,,,
,1605,6366358666,,-87.647147,41.874842,0,secondary,,,
,1606,602309124,,-87.643004,41.891239,0,secondary,,,
,1607,262248040,,-87.644384,41.891225,0,secondary,,,
,1608,4335526383,,-87.647033,41.891200,0,secondary,,,
,1609,2161965419,,-87.757559,41.968471,0,motorway,,,
,1610,261132020,,-87.704651,41.831233,0,secondary,,,
,1611,261132021,,-87.704676,41.832198,0,secondary,,,
,1612,4332934957,,-87.704829,41.837482,0,secondary,,,
,1613,261132028,signal,-87.704936,41.840878,0,secondary,,,
,1614,293974158,,-87.657280,41.876511,0,tertiary,,,
,1615,1937532132,,-87.661623,41.876138,0,motorway,,,
,1616,263985076,signal,-87.688592,41.917571,0,secondary,,,
,1617,4334735121,,-87.687836,41.917579,0,tertiary,,,
,1618,261358998,,-87.589264,41.794956,0,secondary,,,
,1619,261227647,,-87.589257,41.795353,0,secondary,,,
,1620,261227636,,-87.592194,41.795378,0,secondary,,,
,1621,261358990,,-87.592228,41.794909,0,secondary,,,
,1622,261296285,signal,-87.696662,41.894314,0,secondary,,,
,1623,261163634,signal,-87.696699,41.895661,0,secondary,,,
,1624,261336471,signal,-87.696795,41.899282,-1,tertiary,,1624,
,1625,4332497489,,-87.746519,41.902352,0,secondary,,,
,1626,261207116,signal,-87.750867,41.902305,0,secondary,,,
,1627,261207098,signal,-87.717777,41.902754,0,secondary,,,
,1628,4332690396,,-87.721036,41.902718,0,secondary,,,
,1629,261230321,signal,-87.755202,41.884333,1,tertiary,,1629,
,1630,261170715,signal,-87.686454,41.882091,0,secondary,,,
,1631,4314217048,,-87.686441,41.881556,0,secondary,,,
,1632,261220999,signal,-87.701291,41.884089,0,secondary,,,
,1633,261248399,signal,-87.701361,41.886481,0,secondary,,,
,1634,4314416389,,-87.686899,41.881159,0,secondary,,,
,1635,5978655558,,-87.691479,41.881118,0,secondary,,,
,1636,261154210,signal,-87.676545,41.877479,0,secondary,,,
,1637,4314272666,,-87.671167,41.877560,0,tertiary,,,
,1638,4322760918,,-87.644207,41.884915,0,secondary,,,
,1639,4335873961,,-87.705681,41.866774,0,secondary,,,
,1640,737087480,,-87.705748,41.868694,0,secondary,,,
