node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry,_zone_id
0,55.1532822,25.0950016,50.0,50.0,0,,99,,unclassified,POINT (55.1532822 25.0950016),99
1,55.1528531,25.0952953,50.0,50.0,0,signal,99,,unclassified,POINT (55.1528531 25.0952953),99
2,55.1544206,25.0948,50.0,50.0,1,,99,,unclassified,POINT (55.1544206 25.0948),99
3,55.1556981,25.0962824,50.0,50.0,0,,99,,unclassified,POINT (55.1556981 25.0962824),99
4,55.1384896,25.1412243,50.0,50.0,0,,6,,secondary,POINT (55.1384896 25.1412243),6
5,55.1294833,25.1400352,50.0,50.0,0,,4,,secondary,POINT (55.1294833 25.1400352),4
6,55.1122593,25.1036113,50.0,50.0,0,,80,,secondary,POINT (55.1122593 25.1036113),80
7,55.1117817,25.1043699,50.0,50.0,0,,70,,secondary,POINT (55.1117817 25.1043699),70
8,55.1114824,25.1049815,50.0,50.0,0,,70,,secondary,POINT (55.1114824 25.1049815),70
9,55.1113945,25.1050967,50.0,50.0,0,,70,,secondary,POINT (55.1113945 25.1050967),70
10,55.1089437,25.1163439,50.0,50.0,0,,50,,secondary,POINT (55.1089437 25.1163439),50
11,55.1316452,25.120019,10.0,10.0,0,,44,,residential,POINT (55.1316452 25.120019),44
12,55.1315167,25.1199768,10.0,10.0,0,,44,,residential,POINT (55.1315167 25.1199768),44
13,55.1315013,25.1199035,10.0,10.0,0,,44,,residential,POINT (55.1315013 25.1199035),44
14,55.1315224,25.119861,10.0,10.0,0,,44,,residential,POINT (55.1315224 25.119861),44
15,55.1316089,25.1198213,10.0,10.0,0,,44,,residential,POINT (55.1316089 25.1198213),44
16,55.1316433,25.1198256,10.0,10.0,0,,44,,residential,POINT (55.1316433 25.1198256),44
17,55.1317167,25.1198884,10.0,10.0,0,,44,,residential,POINT (55.1317167 25.1198884),44
18,55.1317187,25.1199504,10.0,10.0,0,,44,,residential,POINT (55.1317187 25.1199504),44
19,55.1304446,25.120175,50.0,50.0,0,,44,,secondary,POINT (55.1304446 25.120175),44
20,55.1321757,25.1188668,50.0,50.0,0,,44,,secondary,POINT (55.1321757 25.1188668),44
21,55.1322049,25.1188428,50.0,50.0,0,,44,,secondary,POINT (55.1322049 25.1188428),44
22,55.1325506,25.1185872,50.0,50.0,0,,45,,secondary,POINT (55.1325506 25.1185872),45
23,55.133279,25.1180352,50.0,50.0,0,,45,,secondary,POINT (55.133279 25.1180352),45
24,55.1337981,25.1176497,50.0,50.0,0,,55,,secondary,POINT (55.1337981 25.1176497),55
25,55.1343637,25.1172218,50.0,50.0,0,,55,,secondary,POINT (55.1343637 25.1172218),55
26,55.1366411,25.1153073,50.0,50.0,0,,55,,secondary,POINT (55.1366411 25.1153073),55
27,55.1299228,25.1204643,50.0,50.0,0,,44,,tertiary,POINT (55.1299228 25.1204643),44
28,55.1299104,25.1202644,10.0,10.0,0,,44,,residential,POINT (55.1299104 25.1202644),44
29,55.1286233,25.1212286,10.0,10.0,0,,44,,residential,POINT (55.1286233 25.1212286),44
30,55.1287404,25.12135,50.0,50.0,0,,44,,tertiary,POINT (55.1287404 25.12135),44
31,55.1305854,25.1205809,10.0,10.0,0,,44,,residential,POINT (55.1305854 25.1205809),44
32,55.1313171,25.1199466,10.0,10.0,0,,44,,residential,POINT (55.1313171 25.1199466),44
33,55.1538949,25.1024525,50.0,50.0,0,,89,,secondary,POINT (55.1538949 25.1024525),89
34,55.1544875,25.1020291,50.0,50.0,0,,89,,secondary,POINT (55.1544875 25.1020291),89
35,55.1141196,25.1252067,50.0,50.0,0,,31,,secondary,POINT (55.1141196 25.1252067),31
36,55.1138084,25.1252443,50.0,50.0,0,,31,,secondary,POINT (55.1138084 25.1252443),31
37,55.1255931,25.1236185,10.0,10.0,0,,33,,residential,POINT (55.1255931 25.1236185),33
38,55.1260609,25.1234768,50.0,50.0,0,,33,,secondary,POINT (55.1260609 25.1234768),33
39,55.1326939,25.1186852,50.0,50.0,0,,45,,secondary,POINT (55.1326939 25.1186852),45
40,55.1327194,25.1189967,10.0,10.0,0,,45,,residential,POINT (55.1327194 25.1189967),45
41,55.1337168,25.118257,10.0,10.0,0,,45,,residential,POINT (55.1337168 25.118257),45
42,55.1334061,25.1181436,50.0,50.0,0,,45,,secondary,POINT (55.1334061 25.1181436),45
43,55.1333301,25.1176543,10.0,10.0,0,,55,,residential,POINT (55.1333301 25.1176543),55
44,55.1198325,25.1242688,10.0,10.0,0,,32,,residential,POINT (55.1198325 25.1242688),32
45,55.1250522,25.1237695,10.0,10.0,0,,33,,residential,POINT (55.1250522 25.1237695),33
46,55.1256273,25.1243318,10.0,10.0,0,,33,,residential,POINT (55.1256273 25.1243318),33
47,55.1255424,25.1242815,10.0,10.0,0,,33,,residential,POINT (55.1255424 25.1242815),33
48,55.1252763,25.124284,50.0,50.0,0,,33,,secondary,POINT (55.1252763 25.124284),33
49,55.1441935,25.1086654,50.0,50.0,0,,77,,secondary,POINT (55.1441935 25.1086654),77
50,55.1431517,25.1094527,50.0,50.0,0,,67,,secondary,POINT (55.1431517 25.1094527),67
51,55.1210628,25.1054175,10.0,10.0,2,,72,,residential,POINT (55.1210628 25.1054175),72
