o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (-76.9594968 39.001138,-76.9594968 39.001138)"
1,A1,2,A2,0.31568446574444486,"LINESTRING (-76.9594968 39.001138,-76.9569339 39.0031716)"
1,A1,3,A3,0.8872323611574964,"LINESTRING (-76.9594968 39.001138,-76.9504188 39.0026009)"
1,A1,4,A4,1.188500372668425,"LINESTRING (-76.9594968 39.001138,-76.9472587 39.0025326)"
1,A1,5,A5,1.702597790331839,"LINESTRING (-76.9594968 39.001138,-76.941895 39.0023771)"
1,A1,6,A6,2.3537863396144854,"LINESTRING (-76.9594968 39.001138,-76.9351714 39.0029673)"
1,A1,7,A7,2.6878570399626853,"LINESTRING (-76.9594968 39.001138,-76.9317142 39.0031635)"
1,A1,8,A8,3.2756419423545613,"LINESTRING (-76.9594968 39.001138,-76.92559 39.00281)"
1,A1,9,B1,0.19034117820117435,"LINESTRING (-76.9594968 39.001138,-76.959669 38.9991729)"
1,A1,10,B2,0.46887014556143974,"LINESTRING (-76.9594968 39.001138,-76.9549095 38.9995353)"
1,A1,11,B3,0.9536120941105923,"LINESTRING (-76.9594968 39.001138,-76.94988 38.9988595)"
1,A1,12,B4,1.1765131785864822,"LINESTRING (-76.9594968 39.001138,-76.9474839 38.9990493)"
1,A1,13,B5,1.8047983157467358,"LINESTRING (-76.9594968 39.001138,-76.9410162 38.9982527)"
1,A1,14,B6,2.2193077571233495,"LINESTRING (-76.9594968 39.001138,-76.936625 38.9987095)"
1,A1,15,B7,2.8000569140328224,"LINESTRING (-76.9594968 39.001138,-76.9307117 38.9974595)"
1,A1,16,B8,3.289130121303353,"LINESTRING (-76.9594968 39.001138,-76.92559 38.99763)"
1,A1,17,C1,0.8685125664745996,"LINESTRING (-76.9594968 39.001138,-76.96185 38.99245)"
1,A1,18,C2,0.9263581847604133,"LINESTRING (-76.9594968 39.001138,-76.958073 38.9916436)"
1,A1,19,C3,1.2327813395890324,"LINESTRING (-76.9594968 39.001138,-76.9503303 38.9922381)"
1,A1,20,C4,1.4982223257813794,"LINESTRING (-76.9594968 39.001138,-76.9466612 38.9924006)"
1,A1,21,C5,2.004858691109676,"LINESTRING (-76.9594968 39.001138,-76.9408343 38.9920039)"
1,A1,22,C6,2.445650070621907,"LINESTRING (-76.9594968 39.001138,-76.9359201 38.9918339)"
1,A1,23,C7,2.839477189167439,"LINESTRING (-76.9594968 39.001138,-76.9312388 38.9929239)"
1,A1,24,C8,3.3773599513998733,"LINESTRING (-76.9594968 39.001138,-76.92559 38.99245)"
1,A1,25,D1,1.3572523091468187,"LINESTRING (-76.9594968 39.001138,-76.96185 38.98727)"
1,A1,26,D2,1.4294503084059305,"LINESTRING (-76.9594968 39.001138,-76.9572257 38.9864986)"
1,A1,27,D3,1.5979996669697716,"LINESTRING (-76.9594968 39.001138,-76.9510262 38.9869069)"
1,A1,28,D4,1.8943835871644232,"LINESTRING (-76.9594968 39.001138,-76.9461082 38.9867784)"
1,A1,29,D5,2.228868243031831,"LINESTRING (-76.9594968 39.001138,-76.9407873 38.9875903)"
1,A1,30,D6,2.6352445111548235,"LINESTRING (-76.9594968 39.001138,-76.9359988 38.987219)"
1,A1,31,D7,2.9495978011880024,"LINESTRING (-76.9594968 39.001138,-76.931526 38.9888053)"
1,A1,32,D8,3.534739027690705,"LINESTRING (-76.9594968 39.001138,-76.92559 38.98727)"
1,A1,33,E1,1.8519152381639414,"LINESTRING (-76.9594968 39.001138,-76.96185 38.98209)"
1,A1,34,E2,1.8902520453827867,"LINESTRING (-76.9594968 39.001138,-76.9568006 38.9817343)"
1,A1,35,E3,2.0479949239728445,"LINESTRING (-76.9594968 39.001138,-76.9520354 38.9812678)"
1,A1,36,E4,2.2580226657663838,"LINESTRING (-76.9594968 39.001138,-76.9462401 38.9818534)"
1,A1,37,E5,2.5824750616112073,"LINESTRING (-76.9594968 39.001138,-76.9410612 38.9817357)"
1,A1,38,E6,2.9789262646398353,"LINESTRING (-76.9594968 39.001138,-76.9357 38.9814695)"
1,A1,39,E7,3.30812269421971,"LINESTRING (-76.9594968 39.001138,-76.9313954 38.9814976)"
1,A1,40,E8,3.4856544186482044,"LINESTRING (-76.9594968 39.001138,-76.9280749 38.9833154)"
1,A1,41,F1,2.3487619577367376,"LINESTRING (-76.9594968 39.001138,-76.96185 38.97691)"
1,A1,42,F2,2.2560552973218884,"LINESTRING (-76.9594968 39.001138,-76.956281 38.977979)"
1,A1,43,F3,2.358981987852935,"LINESTRING (-76.9594968 39.001138,-76.9517422 38.9779525)"
1,A1,44,F4,2.582101063885768,"LINESTRING (-76.9594968 39.001138,-76.9461577 38.9779393)"
1,A1,45,F5,2.828364830752075,"LINESTRING (-76.9594968 39.001138,-76.94147 38.978024)"
1,A1,46,F6,3.232130996169595,"LINESTRING (-76.9594968 39.001138,-76.9353787 38.9778921)"
1,A1,47,F7,3.527661317396135,"LINESTRING (-76.9594968 39.001138,-76.9313787 38.9777715)"
1,A1,48,F8,4.0210606681952425,"LINESTRING (-76.9594968 39.001138,-76.92559 38.97691)"
1,A1,49,Gate1,2.4481583173112114,"LINESTRING (-76.9594968 39.001138,-76.96703 38.97691)"
1,A1,50,Gate2,1.9764580597271313,"LINESTRING (-76.9594968 39.001138,-76.96703 38.98209)"
1,A1,51,Gate3,1.5228034158098909,"LINESTRING (-76.9594968 39.001138,-76.96703 38.98727)"
1,A1,52,Gate4,1.1095541855374016,"LINESTRING (-76.9594968 39.001138,-76.96703 38.99245)"
1,A1,53,Gate5,0.8018274154643189,"LINESTRING (-76.9594968 39.001138,-76.96703 38.99763)"
1,A1,54,Gate6,0.7445672460150738,"LINESTRING (-76.9594968 39.001138,-76.96703 39.00281)"
1,A1,55,Gate7,0.6990519416086638,"LINESTRING (-76.9594968 39.001138,-76.96185 39.00799)"
1,A1,56,Gate8,0.7152018390964414,"LINESTRING (-76.9594968 39.001138,-76.95667 39.00799)"
1,A1,57,Gate9,1.016853081979299,"LINESTRING (-76.9594968 39.001138,-76.95149 39.00799)"
1,A1,58,Gate10,1.4339118439135567,"LINESTRING (-76.9594968 39.001138,-76.94631 39.00799)"
1,A1,59,Gate11,1.891521247039539,"LINESTRING (-76.9594968 39.001138,-76.94113 39.00799)"
1,A1,60,Gate12,2.3662710212463214,"LINESTRING (-76.9594968 39.001138,-76.93595 39.00799)"
1,A1,61,Gate13,2.8496071536419656,"LINESTRING (-76.9594968 39.001138,-76.93077 39.00799)"
1,A1,62,Gate14,3.3378016388455816,"LINESTRING (-76.9594968 39.001138,-76.92559 39.00799)"
1,A1,63,Gate15,3.7749338339664646,"LINESTRING (-76.9594968 39.001138,-76.92041 39.00281)"
1,A1,64,Gate16,3.786643932452244,"LINESTRING (-76.9594968 39.001138,-76.92041 38.99763)"
1,A1,65,Gate17,3.8635288995466497,"LINESTRING (-76.9594968 39.001138,-76.92041 38.99245)"
1,A1,66,Gate18,4.001833993332126,"LINESTRING (-76.9594968 39.001138,-76.92041 38.98727)"
1,A1,67,Gate19,4.195489426615996,"LINESTRING (-76.9594968 39.001138,-76.92041 38.98209)"
1,A1,68,Gate20,4.437254129933596,"LINESTRING (-76.9594968 39.001138,-76.92041 38.97691)"
1,A1,69,Gate21,4.330780304769243,"LINESTRING (-76.9594968 39.001138,-76.92559 38.97173)"
1,A1,70,Gate22,3.966736592967119,"LINESTRING (-76.9594968 39.001138,-76.93077 38.97173)"
1,A1,71,Gate23,3.6351034117184384,"LINESTRING (-76.9594968 39.001138,-76.93595 38.97173)"
1,A1,72,Gate24,3.3455329763580175,"LINESTRING (-76.9594968 39.001138,-76.94113 38.97173)"
1,A1,73,Gate25,3.109797653226412,"LINESTRING (-76.9594968 39.001138,-76.94631 38.97173)"
1,A1,74,Gate26,2.9408720574393783,"LINESTRING (-76.9594968 39.001138,-76.95149 38.97173)"
1,A1,75,Gate27,2.8506581588369824,"LINESTRING (-76.9594968 39.001138,-76.95667 38.97173)"
1,A1,76,Gate28,2.8466492381331014,"LINESTRING (-76.9594968 39.001138,-76.96185 38.97173)"
2,A2,1,A1,0.31568446574444486,"LINESTRING (-76.9569339 39.0031716,-76.9594968 39.001138)"
2,A2,2,A2,0.0,"LINESTRING (-76.9569339 39.0031716,-76.9569339 39.0031716)"
2,A2,3,A3,0.6310440679782684,"LINESTRING (-76.9569339 39.0031716,-76.9504188 39.0026009)"
2,A2,4,A4,0.9355984912404504,"LINESTRING (-76.9569339 39.0031716,-76.9472587 39.0025326)"
2,A2,5,A5,1.4531236814387902,"LINESTRING (-76.9569339 39.0031716,-76.941895 39.0023771)"
2,A2,6,A6,2.0999571098339134,"LINESTRING (-76.9569339 39.0031716,-76.9351714 39.0029673)"
2,A2,7,A7,2.4334484253232547,"LINESTRING (-76.9569339 39.0031716,-76.9317142 39.0031635)"
2,A2,8,A8,3.024573832634703,"LINESTRING (-76.9569339 39.0031716,-76.92559 39.00281)"
2,A2,9,B1,0.4674584072180968,"LINESTRING (-76.9569339 39.0031716,-76.959669 38.9991729)"
2,A2,10,B2,0.40157700821870235,"LINESTRING (-76.9569339 39.0031716,-76.9549095 38.9995353)"
2,A2,11,B3,0.7977301326647438,"LINESTRING (-76.9569339 39.0031716,-76.94988 38.9988595)"
2,A2,12,B4,0.9948094515742837,"LINESTRING (-76.9569339 39.0031716,-76.9474839 38.9990493)"
2,A2,13,B5,1.6075639626183085,"LINESTRING (-76.9569339 39.0031716,-76.9410162 38.9982527)"
2,A2,14,B6,2.0063489404431563,"LINESTRING (-76.9569339 39.0031716,-76.936625 38.9987095)"
2,A2,15,B7,2.5895106123871052,"LINESTRING (-76.9569339 39.0031716,-76.9307117 38.9974595)"
2,A2,16,B8,3.071277003719004,"LINESTRING (-76.9569339 39.0031716,-76.92559 38.99763)"
2,A2,17,C1,1.138093755091686,"LINESTRING (-76.9569339 39.0031716,-76.96185 38.99245)"
2,A2,18,C2,1.1177521812388498,"LINESTRING (-76.9569339 39.0031716,-76.958073 38.9916436)"
2,A2,19,C3,1.2324622890083325,"LINESTRING (-76.9569339 39.0031716,-76.9503303 38.9922381)"
2,A2,20,C4,1.436186652998653,"LINESTRING (-76.9569339 39.0031716,-76.9466612 38.9924006)"
2,A2,21,C5,1.8905991624523446,"LINESTRING (-76.9569339 39.0031716,-76.9408343 38.9920039)"
2,A2,22,C6,2.3039155705479355,"LINESTRING (-76.9569339 39.0031716,-76.9359201 38.9918339)"
2,A2,23,C7,2.6692275061922777,"LINESTRING (-76.9569339 39.0031716,-76.9312388 38.9929239)"
2,A2,24,C8,3.1964158778527785,"LINESTRING (-76.9569339 39.0031716,-76.92559 38.99245)"
2,A2,25,D1,1.6059968530793356,"LINESTRING (-76.9569339 39.0031716,-76.96185 38.98727)"
2,A2,26,D2,1.6090188956465457,"LINESTRING (-76.9569339 39.0031716,-76.9572257 38.9864986)"
2,A2,27,D3,1.6697013784598749,"LINESTRING (-76.9569339 39.0031716,-76.9510262 38.9869069)"
2,A2,28,D4,1.8955614769400182,"LINESTRING (-76.9569339 39.0031716,-76.9461082 38.9867784)"
2,A2,29,D5,2.165097740971877,"LINESTRING (-76.9569339 39.0031716,-76.9407873 38.9875903)"
2,A2,30,D6,2.539653987234909,"LINESTRING (-76.9569339 39.0031716,-76.9359988 38.987219)"
2,A2,31,D7,2.8163695057991363,"LINESTRING (-76.9569339 39.0031716,-76.931526 38.9888053)"
2,A2,32,D8,3.391318764273182,"LINESTRING (-76.9569339 39.0031716,-76.92559 38.98727)"
2,A2,33,E1,2.0887390586000887,"LINESTRING (-76.9569339 39.0031716,-76.96185 38.98209)"
2,A2,34,E2,2.068523533843135,"LINESTRING (-76.9569339 39.0031716,-76.9568006 38.9817343)"
2,A2,35,E3,2.165704494687519,"LINESTRING (-76.9569339 39.0031716,-76.9520354 38.9812678)"
2,A2,36,E4,2.30128605683724,"LINESTRING (-76.9569339 39.0031716,-76.9462401 38.9818534)"
2,A2,37,E5,2.573660889345548,"LINESTRING (-76.9569339 39.0031716,-76.9410612 38.9817357)"
2,A2,38,E6,2.929639594520911,"LINESTRING (-76.9569339 39.0031716,-76.9357 38.9814695)"
2,A2,39,E7,3.2320223327201174,"LINESTRING (-76.9569339 39.0031716,-76.9313954 38.9814976)"
2,A2,40,E8,3.3800567446190763,"LINESTRING (-76.9569339 39.0031716,-76.9280749 38.9833154)"
2,A2,41,F1,2.577997727665998,"LINESTRING (-76.9569339 39.0031716,-76.96185 38.97691)"
2,A2,42,F2,2.431651360428001,"LINESTRING (-76.9569339 39.0031716,-76.956281 38.977979)"
2,A2,43,F3,2.4844185029423156,"LINESTRING (-76.9569339 39.0031716,-76.9517422 38.9779525)"
2,A2,44,F4,2.647409692511123,"LINESTRING (-76.9569339 39.0031716,-76.9461577 38.9779393)"
2,A2,45,F5,2.8485541798315714,"LINESTRING (-76.9569339 39.0031716,-76.94147 38.978024)"
2,A2,46,F6,3.2055558628418086,"LINESTRING (-76.9569339 39.0031716,-76.9353787 38.9778921)"
2,A2,47,F7,3.4766345102222425,"LINESTRING (-76.9569339 39.0031716,-76.9313787 38.9777715)"
2,A2,48,F8,3.9456164730827177,"LINESTRING (-76.9569339 39.0031716,-76.92559 38.97691)"
2,A2,49,Gate1,2.714787809884855,"LINESTRING (-76.9569339 39.0031716,-76.96703 38.97691)"
2,A2,50,Gate2,2.2554005018573227,"LINESTRING (-76.9569339 39.0031716,-76.96703 38.98209)"
2,A2,51,Gate3,1.8174780496497824,"LINESTRING (-76.9569339 39.0031716,-76.96703 38.98727)"
2,A2,52,Gate4,1.421005969107137,"LINESTRING (-76.9569339 39.0031716,-76.96703 38.99245)"
2,A2,53,Gate5,1.1112722140066837,"LINESTRING (-76.9569339 39.0031716,-76.96703 38.99763)"
2,A2,54,Gate6,0.9747976041774922,"LINESTRING (-76.9569339 39.0031716,-76.96703 39.00281)"
2,A2,55,Gate7,0.6642068215822865,"LINESTRING (-76.9569339 39.0031716,-76.96185 39.00799)"
2,A2,56,Gate8,0.4656249553834567,"LINESTRING (-76.9569339 39.0031716,-76.95667 39.00799)"
2,A2,57,Gate9,0.7014834013847712,"LINESTRING (-76.9569339 39.0031716,-76.95149 39.00799)"
2,A2,58,Gate10,1.1256055223134076,"LINESTRING (-76.9569339 39.0031716,-76.94631 39.00799)"
2,A2,59,Gate11,1.5942186447938027,"LINESTRING (-76.9569339 39.0031716,-76.94113 39.00799)"
2,A2,60,Gate12,2.077429866218255,"LINESTRING (-76.9569339 39.0031716,-76.93595 39.00799)"
2,A2,61,Gate13,2.56700858526254,"LINESTRING (-76.9569339 39.0031716,-76.93077 39.00799)"
2,A2,62,Gate14,3.0598999608914808,"LINESTRING (-76.9569339 39.0031716,-76.92559 39.00799)"
2,A2,63,Gate15,3.5243634927499916,"LINESTRING (-76.9569339 39.0031716,-76.92041 39.00281)"
