name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,0,4070185565,,-87.639344,41.932022,0,secondary,,,
,1,11948936195,,-87.639292,41.932670,0,secondary,,,
,2,262418818,,-87.640632,41.929249,0,residential,,,
,3,26099537,,-87.642314,41.928689,0,secondary,,,
,4,26099542,,-87.639272,41.929685,0,secondary,,,
,5,1369154055,signal,-87.800751,41.923559,0,secondary,,,
,6,1369154052,,-87.798912,41.923572,0,secondary,,,
,7,739080111,,-87.797062,41.923586,0,secondary,,,
,8,739080112,,-87.796466,41.923590,0,secondary,,,
,9,739080110,,-87.797690,41.923581,0,secondary,,,
,10,4276150322,,-87.795606,41.923596,0,secondary,,,
,11,261240213,,-87.748332,41.995632,0,primary,,,
,12,10240584199,,-87.748334,41.993056,0,primary,,,
,13,1438083136,signal,-87.748336,41.991401,0,primary,,,
,14,4334157067,,-87.748337,41.990729,0,primary,,,
,15,4334157068,,-87.748331,41.996893,0,primary,,,
,16,258016930,,-87.620206,41.847926,0,motorway,,,
,17,9395907053,,-87.618302,41.847955,0,motorway,,,
,18,1282296437,,-87.891612,41.977514,0,motorway,,,
,19,310321518,,-87.885962,41.977909,0,motorway,,,
,20,26683758,,-87.885972,41.978169,0,motorway,,,
,21,110992161,,-87.893829,41.979790,0,motorway,,,
,22,26703640,,-87.699724,41.934230,0,motorway,,,
,23,4334551538,,-87.698115,41.932982,0,motorway,,,
,24,26703891,,-87.661230,41.905802,0,motorway,,,
,25,4337248983,,-87.661611,41.903813,0,motorway,,,
,26,25779161,,-87.660921,41.900902,0,motorway,,,
,27,739968328,,-87.659541,41.897886,0,motorway,,,
,28,26703897,,-87.676495,41.921222,0,motorway,,,
,29,8454014149,,-87.674167,41.919907,0,motorway,,,
,30,26703423,,-87.741888,41.959775,0,motorway,,,
,31,310319149,,-87.738629,41.957894,0,motorway,,,
,32,26792886,,-87.660194,41.900116,0,motorway,,,
,33,309816381,,-87.660940,41.903121,0,motorway,,,
,34,26704171,,-87.682094,41.924754,0,motorway,,,
,35,26704172,,-87.682942,41.925235,0,motorway,,,
,36,347267029,,-87.644538,41.861936,0,motorway,,,
,37,25779203,,-87.644383,41.857773,0,motorway,,,
,38,258487701,,-87.631735,41.927967,0,motorway,,,
,39,258487313,,-87.631911,41.932367,0,motorway,,,
,40,26794507,,-87.644784,41.952961,0,motorway,,,
,41,519550469,,-87.639785,41.942452,0,motorway,,,
,42,4335556804,,-87.644316,41.953713,0,motorway,,,
,43,26794540,signal,-87.644162,41.954667,0,motorway,,,
,44,26794594,,-87.672411,41.961547,0,secondary,,,
,45,257168666,,-87.672457,41.963372,0,residential,,,
,46,257157207,,-87.672503,41.965197,0,tertiary,,,
,47,257173247,,-87.672548,41.967013,0,residential,,,
,48,257157208,,-87.672594,41.968842,0,secondary,,,
,49,1123082957,,-87.835680,41.944786,0,tertiary,,,
,50,256170677,,-87.835218,41.944800,0,tertiary,,,
,51,1123059017,,-87.835087,41.944803,0,tertiary,,,
,52,261332842,,-87.833948,41.944832,0,tertiary,,,
,53,261182272,,-87.832739,41.944866,0,tertiary,,,
,54,261160616,,-87.831516,41.944900,0,tertiary,,,
,55,29412101,signal,-87.631182,41.894036,0,secondary,,,
,56,29412102,signal,-87.631163,41.893233,0,secondary,,,
,58,27440229,signal,-87.626066,41.876978,0,secondary,,,
,59,740237183,,-87.629742,41.876898,0,secondary,,,
,60,2390751536,signal,-87.630743,41.876886,0,secondary,,,
,61,27440237,signal,-87.629257,41.876904,0,secondary,,,
,62,10977471900,,-87.626939,41.878244,0,secondary,,,
,63,27440220,signal,-87.626099,41.878262,0,secondary,,,
,64,256613310,signal,-87.654568,41.877828,0,tertiary,,,
,65,4321127298,,-87.652291,41.877864,0,tertiary,,,
,66,27440209,signal,-87.639590,41.878055,0,secondary,,,
,67,929515145,,-87.638244,41.878069,0,secondary,,,
,68,27440558,,-87.619261,41.900095,0,tertiary,,,
,69,27440557,,-87.620252,41.900076,0,tertiary,,,
,70,27440556,,-87.621903,41.900045,0,tertiary,,,
,71,27440566,signal,-87.621834,41.896766,0,secondary,,,
,72,27440565,,-87.621852,41.897618,0,tertiary,,,
,73,27440574,,-87.620216,41.898442,0,secondary,,,
,74,27440573,,-87.620228,41.899272,0,residential,,,
,75,354053085,,-87.670961,41.896011,0,secondary,,,
,76,354053082,signal,-87.669738,41.896031,0,secondary,,,
,77,261114939,signal,-87.672179,41.895991,0,secondary,,,
,80,27446494,signal,-87.624508,41.882115,0,secondary,,,
,81,262173232,,-87.625344,41.882091,0,secondary,,,
,82,26098065,,-87.742995,41.817263,0,motorway,,,
,83,347275611,,-87.738868,41.818341,0,motorway,,,
,84,26098066,,-87.743814,41.817002,0,motorway,,,
,85,25779235,,-87.743002,41.817547,0,motorway,,,
,86,25779236,,-87.743824,41.817296,0,motorway,,,
,87,349897295,,-87.631289,41.778979,0,motorway,,,
,88,2987005871,,-87.628412,41.775676,0,motorway,,,
,89,26793983,,-87.614728,41.853242,0,motorway,,,
,90,713056463,,-87.613551,41.850137,0,motorway,,,
,91,740243454,,-87.628314,41.882005,0,secondary,,,
,92,4322791448,,-87.628577,41.881998,0,secondary,,,
,93,258021247,signal,-87.635274,41.879369,0,secondary,,,
,95,258019075,,-87.616851,41.847976,0,motorway,,,
,96,713057538,,-87.612160,41.849538,0,motorway,,,
,97,250774815,,-87.631050,41.714977,0,motorway,,,
,98,459963727,,-87.636193,41.714895,0,motorway,,,
,99,5701128054,,-87.628348,41.902414,1,secondary,,99,
,100,4043180079,signal,-87.628340,41.902373,0,secondary,,,
,101,258019610,,-87.631529,41.842238,0,motorway,,,
,102,349849166,,-87.631511,41.841797,0,motorway,,,
,103,349883027,,-87.631229,41.809163,0,motorway,,,
,104,349882502,,-87.630547,41.810364,0,motorway,,,
,105,263778055,,-87.888110,41.976603,0,motorway,,,
,106,263785875,,-87.884613,41.994992,0,primary,,,
,107,2610439068,,-87.885460,41.994991,0,tertiary,,,
,108,4686227139,,-87.885711,41.976916,0,tertiary,,,
,109,29786142,,-87.883268,41.979031,0,motorway,,,
,110,2998695005,,-87.819447,41.983463,0,motorway,,,
,111,2998695003,,-87.817819,41.983163,0,motorway,,,
,112,102857311,,-87.878623,41.986032,0,primary,,,
,113,1153867735,,-87.878871,41.987877,0,primary,,,
,115,1349435058,,-87.884643,41.997588,0,primary,,,
,116,29786224,,-87.878832,41.980153,0,primary,,,
,117,29839275,,-87.878771,41.981354,0,primary,,,
,118,29840732,,-87.879094,41.980047,0,primary,,,
,119,9241113612,,-87.878237,41.974393,0,primary,,,
,120,2610439065,,-87.884610,41.994874,0,primary,,,
,121,29840719,,-87.884610,41.994559,0,primary,,,
,122,6341896531,,-87.634652,41.845323,0,motorway,,,
,123,11918710082,,-87.646851,41.887383,0,motorway,,,
,124,287261388,,-87.646315,41.886261,0,motorway,,,
,125,26794450,,-87.644574,41.954565,0,motorway,,,
,126,26794454,,-87.644596,41.954749,0,motorway,,,
,127,26794497,,-87.644819,41.954748,0,motorway,,,
,128,26794503,,-87.644791,41.954561,0,motorway,,,
,129,258487328,,-87.632114,41.932367,0,motorway,,,
,130,250755869,,-87.631859,41.927741,0,motorway,,,
,131,29053373,,-87.879823,41.980468,0,motorway,,,
,132,2400933889,,-87.683998,41.931734,0,secondary,,,
,133,5493106920,,-87.684942,41.930848,0,secondary,,,
,134,27440242,signal,-87.623299,41.875890,0,secondary,,,
,136,740237206,,-87.621081,41.875931,0,secondary,,,
,137,258920785,,-87.622327,41.875917,0,secondary,,,
,138,7132136357,,-87.622320,41.875602,0,secondary,,,
,139,4334632940,,-87.622021,41.875606,0,secondary,,,
,140,349900122,,-87.630393,41.837743,0,motorway,,,
,141,349854162,,-87.630818,41.843268,0,motorway,,,
,144,262185639,signal,-87.623921,41.857891,0,secondary,,,
,145,704990299,signal,-87.625623,41.857860,0,secondary,,,
,146,261148693,,-87.622162,41.849308,1,tertiary,,146,
,147,7182430771,,-87.622187,41.850249,0,tertiary,,,
,150,349820645,signal,-87.623666,41.847479,0,secondary,,,
,151,1318401249,,-87.623658,41.846102,0,secondary,,,
,152,33392330,,-87.622393,41.864135,0,tertiary,,,
,153,33754411,,-87.622403,41.865815,0,tertiary,,,
,155,1107013921,,-87.622325,41.861247,0,tertiary,,,
,156,26098027,,-87.636332,41.847222,0,motorway,,,
,157,713242038,,-87.634115,41.846947,0,motorway,,,
,158,9938661751,,-87.625398,41.848434,0,tertiary,,,
,159,253960272,signal,-87.625417,41.849265,0,tertiary,,,
,160,262158752,signal,-87.679287,41.972397,0,secondary,,,
,161,305895971,,-87.679237,41.970578,0,secondary,,,
,162,4332586848,,-87.679197,41.969137,0,secondary,,,
,164,369631694,,-87.647463,41.885101,0,secondary,,,
,165,4336249712,,-87.647474,41.885433,0,secondary,,,
,167,707902604,,-87.644335,41.888944,0,secondary,,,
,168,28289310,signal,-87.630875,41.881984,0,secondary,,,
,169,8145232365,,-87.630844,41.881068,0,secondary,,,
,170,305527332,,-87.689289,41.979528,0,secondary,,,
,171,2196391027,,-87.689255,41.978555,-1,secondary,,171,
,172,305527290,,-87.689353,41.981380,0,secondary,,,
,173,4332568199,,-87.689404,41.982835,0,secondary,,,
,174,701679,,-87.821168,41.983945,0,motorway,,,
,175,1223297118,,-87.826001,41.984517,0,motorway,,,
,176,261143285,,-87.655562,41.883012,0,tertiary,,,
,177,261143284,signal,-87.654398,41.883032,0,tertiary,,,
,178,261143286,signal,-87.656698,41.882992,0,tertiary,,,
,179,261143287,,-87.657648,41.882975,0,tertiary,,,
,180,261143289,,-87.659689,41.882939,0,tertiary,,,
,181,261143288,,-87.658788,41.882955,0,tertiary,,,
,182,11337090878,,-87.660597,41.882923,0,tertiary,,,
,183,261143292,,-87.663727,41.882868,0,tertiary,,,
,184,3772730265,,-87.662315,41.882892,0,tertiary,,,
,185,261143294,signal,-87.664612,41.882852,0,secondary,,,
,187,250755829,signal,-87.633196,41.912907,0,primary,,,
,188,740363260,,-87.627383,41.886809,0,secondary,,,
,189,271172137,signal,-87.626312,41.886804,0,secondary,,,
,190,102856033,,-87.878744,41.982180,0,primary,,,
,191,102856044,,-87.878218,41.981393,0,motorway,,,
,192,102856728,,-87.878875,41.986178,0,primary,,,
,193,102856718,,-87.881911,41.979854,0,motorway,,,
,194,29841507,,-87.875971,41.982314,0,motorway,,,
,195,29840538,,-87.878109,41.974777,0,primary,,,
,196,102857955,,-87.875856,41.982095,0,motorway,,,
,197,261147429,,-87.682444,42.012621,0,secondary,,,
,198,281231730,signal,-87.683076,42.012318,0,secondary,,,
I-90 West - Rockford (Kennedy Expy),201,26704238,,-87.742619,41.960998,0,motorway,,,
,202,305912896,,-87.743155,41.961490,0,motorway,,,
,203,26683723,,-87.882894,41.979456,0,motorway,,,
,204,310321667,,-87.883330,41.979362,0,motorway,,,
,205,263784101,,-87.886689,41.980018,0,motorway,,,
,206,4686227173,,-87.885767,41.977593,0,tertiary,,,
,207,263782048,,-87.885991,41.976984,0,motorway,,,
,208,263718462,,-87.854369,41.984825,0,motorway,,,
,209,110980693,,-87.857292,41.984124,-1,motorway,,209,
,210,2395940291,signal,-87.654833,41.969091,0,secondary,,,
,211,3740681147,,-87.656225,41.969070,0,secondary,,,
,212,3921165860,,-87.657629,41.969050,0,secondary,,,
,213,2053153108,,-87.658888,41.969033,0,secondary,,,
,214,4794259001,,-87.659320,41.969025,0,secondary,,,
,215,256171159,,-87.727137,41.937270,0,secondary,,,
,216,4332811579,,-87.727180,41.938841,0,secondary,,,
,217,261145124,signal,-87.727086,41.935438,0,secondary,,,
,218,261250154,,-87.727112,41.936365,0,secondary,,,
,219,6683480310,,-87.524579,41.699048,0,tertiary,,,
,220,615102685,,-87.520818,41.698535,-1,tertiary,,220,
,221,351102586,,-87.524528,41.700868,0,residential,,,
,222,6683480323,,-87.524542,41.699131,0,residential,,,
,223,711422111,signal,-87.524487,41.702692,0,primary,,,
,224,29841510,,-87.879415,41.980892,0,motorway,,,
,225,102855127,,-87.879037,41.981540,0,primary,,,
,226,261144058,signal,-87.939925,41.993492,0,secondary,,,
,227,6880924243,,-87.939915,41.992308,0,secondary,,,
,228,4276059106,,-87.939750,41.979368,1,secondary,,228,
,229,4276059109,,-87.939786,41.983850,0,secondary,,,
,230,237808170,,-87.939517,41.964135,0,secondary,,,
,231,237893362,,-87.944068,41.963898,-1,residential,,231,
,232,257149798,signal,-87.660074,41.983631,0,primary,,,
,233,262161000,,-87.661365,41.984436,0,primary,,,
,236,262162235,,-87.669926,41.988432,0,secondary,,,
,237,305524716,,-87.669867,41.988043,0,secondary,,,
,238,250278812,,-87.669796,41.987608,0,secondary,,,
,239,262162429,,-87.669585,41.987147,0,secondary,,,
,240,8128797056,,-87.669684,41.987881,0,secondary,,,
,241,257156476,signal,-87.668085,41.973390,0,secondary,,,
,242,257154258,,-87.667909,41.972554,0,secondary,,,
