zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-111.94239662731934,33.42921757837874,"POLYGON ((-111.945 33.427608993253585,-111.945 33.43077899325358,-111.93955 33.43077899325358,-111.93955 33.427608993253585,-111.945 33.427608993253585))",POINT (-111.94239662731934 33.42921757837874),22,264.67492303619196,1070.830651457299
2,A2,-111.93702579249164,33.42986544393771,"POLYGON ((-111.93955 33.427608993253585,-111.93955 33.43077899325358,-111.9341 33.43077899325358,-111.9341 33.427608993253585,-111.93955 33.427608993253585))",POINT (-111.93702579249164 33.42986544393771),5,329.59335832784,450.62908528084483
3,A3,-111.93140533080735,33.429099919663045,"POLYGON ((-111.9341 33.427608993253585,-111.9341 33.43077899325358,-111.92865 33.43077899325358,-111.92865 33.427608993253585,-111.9341 33.427608993253585))",POINT (-111.93140533080735 33.429099919663045),9,427.049910728544,501.7842895951744
4,A4,-111.92626803122693,33.42889572305015,"POLYGON ((-111.92865 33.427608993253585,-111.92865 33.43077899325358,-111.92320000000001 33.43077899325358,-111.92320000000001 33.427608993253585,-111.92865 33.427608993253585))",POINT (-111.92626803122693 33.42889572305015),5,84.795987168672,1105.0993362609154
5,A5,-111.91963239640565,33.42940713252786,"POLYGON ((-111.92320000000001 33.427608993253585,-111.92320000000001 33.43077899325358,-111.91775000000001 33.43077899325358,-111.91775000000001 33.427608993253585,-111.92320000000001 33.427608993253585))",POINT (-111.91963239640565 33.42940713252786),1,19.399580435711997,19.399580435711997
6,B1,-111.94154427873123,33.42614757398929,"POLYGON ((-111.945 33.42443899325359,-111.945 33.427608993253585,-111.93955 33.427608993253585,-111.93955 33.42443899325359,-111.945 33.42443899325359))",POINT (-111.94154427873123 33.42614757398929),21,351.5411115642751,1083.3392410383938
7,B2,-111.93692576226897,33.42583845664434,"POLYGON ((-111.93955 33.42443899325359,-111.93955 33.427608993253585,-111.9341 33.427608993253585,-111.9341 33.42443899325359,-111.93955 33.42443899325359))",POINT (-111.93692576226897 33.42583845664434),34,343.204807404608,659.4013382651455
8,B3,-111.93051879744596,33.42561061634172,"POLYGON ((-111.9341 33.42443899325359,-111.9341 33.427608993253585,-111.92865 33.427608993253585,-111.92865 33.42443899325359,-111.9341 33.42443899325359))",POINT (-111.93051879744596 33.42561061634172),14,831.9971540221759,1177.847321574509
9,B4,-111.92575047382668,33.425561015232454,"POLYGON ((-111.92865 33.42443899325359,-111.92865 33.427608993253585,-111.92320000000001 33.427608993253585,-111.92320000000001 33.42443899325359,-111.92865 33.42443899325359))",POINT (-111.92575047382668 33.425561015232454),12,289.38251060745597,595.9070974863424
10,B5,-111.92269586229759,33.426012619384515,"POLYGON ((-111.92320000000001 33.42443899325359,-111.92320000000001 33.427608993253585,-111.91775000000001 33.427608993253585,-111.91775000000001 33.42443899325359,-111.92320000000001 33.42443899325359))",POINT (-111.92269586229759 33.426012619384515),3,22.278442091743997,93.44852425198081
11,C1,-111.94164338053312,33.422635156552104,"POLYGON ((-111.945 33.42126899325359,-111.945 33.42443899325359,-111.93955 33.42443899325359,-111.93955 33.42126899325359,-111.945 33.42126899325359))",POINT (-111.94164338053312 33.422635156552104),33,499.95352065870065,1015.4690401255748
12,C2,-111.93685467454615,33.42285173083868,"POLYGON ((-111.93955 33.42126899325359,-111.93955 33.42443899325359,-111.9341 33.42443899325359,-111.9341 33.42126899325359,-111.93955 33.42126899325359))",POINT (-111.93685467454615 33.42285173083868),38,415.51014843082237,1160.99107017984
