name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,zone_id
Lot 56,497,,7908538.0,,parking,,"MULTIPOLYGON (((-111.9283404 33.4286213, -111.9283151 33.4278743, -111.9283124 33.4277927, -111.9282546 33.4260855, -111.929173 33.4260855, -111.929173 33.428521, -111.9283404 33.4286213)), ((-111.9293495 33.4243864, -111.9294968 33.424383, -111.9294961 33.4243326, -111.9299627 33.4243353, -111.9299545 33.4244571, -111.9300073 33.4247494, -111.9301447 33.4249794, -111.9299541 33.4251629, -111.929822 33.4253405, -111.9297343 33.4255626, -111.9297018 33.4257345, -111.9297052 33.4259064, -111.929791 33.4261285, -111.929894 33.4263434, -111.9300313 33.4264723, -111.9301429 33.4265798, -111.9304519 33.4267588, -111.9306755 33.4269056, -111.9307193 33.4269358, -111.9307329 33.427136, -111.9307437 33.4273248, -111.930531 33.42727, -111.9304261 33.427425, -111.9305463 33.4275468, -111.9306922 33.4276829, -111.9307523 33.4278262, -111.9307866 33.4279838, -111.9310098 33.4281629, -111.9313789 33.4283491, -111.9315625 33.4284581, -111.9318951 33.4285268, -111.9323144 33.4286213, -111.9331813 33.4285712, -111.9335538 33.4281969, -111.9335444 33.4279838, -111.9336228 33.4279175, -111.9336542 33.4279358, -111.9337074 33.4278913, -111.933825 33.4279766, -111.9340825 33.4282345, -111.9343143 33.4285855, -111.9345203 33.4288863, -111.9344945 33.4290583, -111.9343743 33.4294164, -111.9343228 33.4294522, -111.9339967 33.4293734, -111.9337392 33.4292803, -111.9333701 33.4292087, -111.9329839 33.4292087, -111.9325719 33.4292302, -111.9324002 33.4292302, -111.9322028 33.4292087, -111.931911 33.4291227, -111.9316793 33.4290511, -111.9312587 33.4288863, -111.9309068 33.4287717, -111.9306321 33.4286858, -111.9303661 33.4286213, -111.9300571 33.4285855, -111.929688 33.4285568, -111.9294562 33.4285425, -111.9294133 33.4285282, -111.9293495 33.4243864)))",POINT (-111.9305720622285 33.42761457903879),89881.9,3
Sun Devil Stadium,496,,7312612.0,yes,,,"MULTIPOLYGON (((-111.9332677 33.4274417, -111.9334251 33.4272933, -111.9335372 33.4271876, -111.9336388 33.4268568, -111.9337641 33.4264836, -111.9338502 33.4261409, -111.9337628 33.4261256, -111.9337694 33.4260379, -111.9337684 33.4259103, -111.9337308 33.4257884, -111.9337023 33.4257298, -111.9336591 33.4256692, -111.9335839 33.4255674, -111.9335185 33.425528, -111.9333816 33.4256324, -111.9332354 33.4255522, -111.9331336 33.4254902, -111.9330585 33.4254744, -111.9330656 33.4254181, -111.9331164 33.4252807, -111.9332668 33.4253113, -111.9333176 33.4252044, -111.9331652 33.425128, -111.933033 33.4250839, -111.9328625 33.4250533, -111.9327383 33.4250534, -111.9326326 33.4250636, -111.9326123 33.4251721, -111.9327464 33.4252027, -111.9327098 33.4253401, -111.9326855 33.425397, -111.9326116 33.4253922, -111.9324323 33.425405, -111.9323456 33.4254022, -111.932313 33.425414, -111.9322511 33.4252642, -111.9320763 33.4253029, -111.9319265 33.4253739, -111.9318352 33.425437, -111.9317721 33.4255269, -111.9317178 33.4256973, -111.9316501 33.4256953, -111.9314061 33.4266195, -111.9314525 33.4266372, -111.9314185 33.4267983, -111.9314238 33.4268957, -111.9314362 33.4269917, -111.9315238 33.427166, -111.9315027 33.4271796, -111.9316008 33.4272829, -111.9316573 33.4273348, -111.9317633 33.4273863, -111.9318572 33.42728, -111.9319363 33.4273192, -111.9318206 33.4275023, -111.9317627 33.4277773, -111.932079 33.427846, -111.9322915 33.4278906, -111.9325097 33.4279361, -111.9325988 33.4276653, -111.9326256 33.4274669, -111.932655 33.4274652, -111.9327262 33.4274636, -111.9327329 33.4275979, -111.9328846 33.4277994, -111.9330861 33.4278133, -111.9331841 33.4278084, -111.933252 33.4277547, -111.9330964 33.4274983, -111.9332677 33.4274417)))",POINT (-111.9325918520726 33.42650366384845),50326.0,8
The New School for the Arts and Academics,254,439081934.0,,school,,,"POLYGON ((-111.9188746 33.4149117, -111.9188879 33.415488, -111.9188932 33.4157212, -111.9177771 33.4157147, -111.9177982 33.416583, -111.9178087 33.4166025, -111.9178262 33.4166112, -111.9178612 33.4166161, -111.9189604 33.4166376, -111.9195035 33.4166533, -111.9194804 33.41544, -111.9194791 33.4153908, -111.9194752 33.4150575, -111.9194687 33.4149323, -111.9188746 33.4149117))",POINT (-111.9187709703913 33.41597579213866),20953.7,25
,364,552931173.0,,parking,,,"POLYGON ((-111.9292286 33.4298108, -111.9291857 33.4290765, -111.9291803 33.4290049, -111.9291106 33.4290049, -111.9291106 33.4289422, -111.9290676 33.4289154, -111.9280457 33.4290519, -111.9275629 33.4290855, -111.9266966 33.4290452, -111.9266993 33.4296272, -111.9271499 33.429616, -111.9271579 33.4296451, -111.9280725 33.4297257, -111.9286653 33.4297996, -111.9289389 33.4298309, -111.9291025 33.4298242, -111.9292286 33.4298108))",POINT (-111.9280682633267 33.4293778102972),17901.4,4
Rural Road Parking Structure,51,28878477.0,,parking,,,"POLYGON ((-111.9278267 33.4183713, -111.927828 33.4169642, -111.927191 33.4169621, -111.9268074 33.4169608, -111.9268088 33.4170101, -111.9266223 33.417009, -111.9266248 33.4178403, -111.9266251 33.4179311, -111.9266264 33.4183679, -111.9271923 33.4183695, -111.9273595 33.41837, -111.9277208 33.418371, -111.9278267 33.4183713))",POINT (-111.9272285344359 33.41766904379876),17359.1,24
Marina Heights Building #1,339,548483471.0,,yes,,,"POLYGON ((-111.9340157 33.4299267, -111.9338353 33.4303331, -111.9336504 33.4307471, -111.9334565 33.4311799, -111.9347147 33.4315431, -111.9349176 33.4310821, -111.934735 33.4310218, -111.9349266 33.430574, -111.9349266 33.4303726, -111.9344576 33.4302296, -111.9345117 33.430081, -111.9344666 33.4300546, -111.9340157 33.4299267))",POINT (-111.9342620172588 33.43077899325358),15442.6,2
Tempe Transportation Center,468,721923976.0,,bus_station,,,"POLYGON ((-111.9352254 33.4253951, -111.9352193 33.4260012, -111.9366114 33.4264741, -111.936723 33.4262317, -111.9369859 33.4257013, -111.9369919 33.4253957, -111.936769 33.4253912, -111.9352254 33.4253951))",POINT (-111.9361234722819 33.42581693631489),14764.2,7
,135,65015456.0,,parking,,,"POLYGON ((-111.934677 33.4159845, -111.9346763 33.4159341, -111.9346659 33.4151236, -111.934664 33.4149759, -111.9336286 33.4149852, -111.9333664 33.4149876, -111.9333671 33.4150403, -111.9333735 33.4155441, -111.9333744 33.41561, -111.9333789 33.4159615, -111.9333794 33.4159961, -111.934677 33.4159845))",POINT (-111.9340216816062 33.41548601649059),13491.9,23
,331,544822376.0,,parking,,,"POLYGON ((-111.942848 33.4272767, -111.9422693 33.4272857, -111.9422513 33.4256656, -111.9429091 33.4256416, -111.9429127 33.4262657, -111.9432363 33.4262687, -111.9432327 33.4264907, -111.9431787 33.4267787, -111.943035 33.4270457, -111.9429235 33.4271957, -111.942848 33.4272767))",POINT (-111.9426650021928 33.42649135579607),13157.2,6
,338,546388941.0,,parking,,,"POLYGON ((-111.9258715 33.42955, -111.9247606 33.4295426, -111.9242506 33.4296832, -111.9237273 33.4296851, -111.9237007 33.4292613, -111.9243437 33.4290189, -111.9245965 33.4289689, -111.9251109 33.4289689, -111.9253593 33.4290189, -111.9258937 33.4290466, -111.9259425 33.4291188, -111.9259092 33.4294889, -111.9258715 33.42955))",POINT (-111.9248059536263 33.42931435081786),12648.0,4
