grid_id,geometry,centroid
0,"POLYGON ((-88.979478 40.857321, -88.7845507 40.857321, -88.7845507 41.051361899999996, -88.979478 41.051361899999996, -88.979478 40.857321))",POINT (-88.88201435 40.954341449999994)
1,"POLYGON ((-88.979478 41.051361899999996, -88.7845507 41.051361899999996, -88.7845507 41.2454028, -88.979478 41.2454028, -88.979478 41.051361899999996))",POINT (-88.88201434999999 41.14838235)
2,"POLYGON ((-88.979478 41.2454028, -88.7845507 41.2454028, -88.7845507 41.4394437, -88.979478 41.4394437, -88.979478 41.2454028))",POINT (-88.88201435 41.342423249999996)
3,"POLYGON ((-88.979478 41.4394437, -88.7845507 41.4394437, -88.7845507 41.6334846, -88.979478 41.6334846, -88.979478 41.4394437))",POINT (-88.88201434999999 41.53646415000001)
4,"POLYGON ((-88.979478 41.6334846, -88.7845507 41.6334846, -88.7845507 41.8275255, -88.979478 41.8275255, -88.979478 41.6334846))",POINT (-88.88201435 41.73050505)
5,"POLYGON ((-88.979478 41.8275255, -88.7845507 41.8275255, -88.7845507 42.0215664, -88.979478 42.0215664, -88.979478 41.8275255))",POINT (-88.88201435 41.924545949999995)
6,"POLYGON ((-88.979478 42.0215664, -88.7845507 42.0215664, -88.7845507 42.2156073, -88.979478 42.2156073, -88.979478 42.0215664))",POINT (-88.88201434999999 42.11858685)
7,"POLYGON ((-88.979478 42.2156073, -88.7845507 42.2156073, -88.7845507 42.4096482, -88.979478 42.4096482, -88.979478 42.2156073))",POINT (-88.88201435 42.312627750000004)
8,"POLYGON ((-88.979478 42.4096482, -88.7845507 42.4096482, -88.7845507 42.603689100000004, -88.979478 42.603689100000004, -88.979478 42.4096482))",POINT (-88.88201434999999 42.50666865)
9,"POLYGON ((-88.979478 42.603689100000004, -88.7845507 42.603689100000004, -88.7845507 42.79773, -88.979478 42.79773, -88.979478 42.603689100000004))",POINT (-88.88201435 42.70070955)
10,"POLYGON ((-88.7845507 40.857321, -88.58962340000001 40.857321, -88.58962340000001 41.051361899999996, -88.7845507 41.051361899999996, -88.7845507 40.857321))",POINT (-88.68708705 40.95434145)
11,"POLYGON ((-88.7845507 41.051361899999996, -88.58962340000001 41.051361899999996, -88.58962340000001 41.2454028, -88.7845507 41.2454028, -88.7845507 41.051361899999996))",POINT (-88.68708705 41.148382350000006)
12,"POLYGON ((-88.7845507 41.2454028, -88.58962340000001 41.2454028, -88.58962340000001 41.4394437, -88.7845507 41.4394437, -88.7845507 41.2454028))",POINT (-88.68708705 41.342423249999996)
13,"POLYGON ((-88.7845507 41.4394437, -88.58962340000001 41.4394437, -88.58962340000001 41.6334846, -88.7845507 41.6334846, -88.7845507 41.4394437))",POINT (-88.68708705 41.53646415)
14,"POLYGON ((-88.7845507 41.6334846, -88.58962340000001 41.6334846, -88.58962340000001 41.8275255, -88.7845507 41.8275255, -88.7845507 41.6334846))",POINT (-88.68708705 41.730505050000005)
15,"POLYGON ((-88.7845507 41.8275255, -88.58962340000001 41.8275255, -88.58962340000001 42.0215664, -88.7845507 42.0215664, -88.7845507 41.8275255))",POINT (-88.68708705 41.924545949999995)
16,"POLYGON ((-88.7845507 42.0215664, -88.58962340000001 42.0215664, -88.58962340000001 42.2156073, -88.7845507 42.2156073, -88.7845507 42.0215664))",POINT (-88.68708705 42.11858685)
17,"POLYGON ((-88.7845507 42.2156073, -88.58962340000001 42.2156073, -88.58962340000001 42.4096482, -88.7845507 42.4096482, -88.7845507 42.2156073))",POINT (-88.68708705 42.312627750000004)
18,"POLYGON ((-88.7845507 42.4096482, -88.58962340000001 42.4096482, -88.58962340000001 42.603689100000004, -88.7845507 42.603689100000004, -88.7845507 42.4096482))",POINT (-88.68708705 42.50666865000001)
19,"POLYGON ((-88.7845507 42.603689100000004, -88.58962340000001 42.603689100000004, -88.58962340000001 42.79773, -88.7845507 42.79773, -88.7845507 42.603689100000004))",POINT (-88.68708705 42.70070955)
20,"POLYGON ((-88.58962340000001 40.857321, -88.3946961 40.857321, -88.3946961 41.051361899999996, -88.58962340000001 41.051361899999996, -88.58962340000001 40.857321))",POINT (-88.49215975 40.954341449999994)
21,"POLYGON ((-88.58962340000001 41.051361899999996, -88.3946961 41.051361899999996, -88.3946961 41.2454028, -88.58962340000001 41.2454028, -88.58962340000001 41.051361899999996))",POINT (-88.49215975 41.14838235)
22,"POLYGON ((-88.58962340000001 41.2454028, -88.3946961 41.2454028, -88.3946961 41.4394437, -88.58962340000001 41.4394437, -88.58962340000001 41.2454028))",POINT (-88.49215975 41.342423249999996)
23,"POLYGON ((-88.58962340000001 41.4394437, -88.3946961 41.4394437, -88.3946961 41.6334846, -88.58962340000001 41.6334846, -88.58962340000001 41.4394437))",POINT (-88.49215975 41.53646415000001)
24,"POLYGON ((-88.58962340000001 41.6334846, -88.3946961 41.6334846, -88.3946961 41.8275255, -88.58962340000001 41.8275255, -88.58962340000001 41.6334846))",POINT (-88.49215975 41.73050505)
25,"POLYGON ((-88.58962340000001 41.8275255, -88.3946961 41.8275255, -88.3946961 42.0215664, -88.58962340000001 42.0215664, -88.58962340000001 41.8275255))",POINT (-88.49215975 41.924545949999995)
26,"POLYGON ((-88.58962340000001 42.0215664, -88.3946961 42.0215664, -88.3946961 42.2156073, -88.58962340000001 42.2156073, -88.58962340000001 42.0215664))",POINT (-88.49215975 42.11858685)
27,"POLYGON ((-88.58962340000001 42.2156073, -88.3946961 42.2156073, -88.3946961 42.4096482, -88.58962340000001 42.4096482, -88.58962340000001 42.2156073))",POINT (-88.49215975 42.312627750000004)
28,"POLYGON ((-88.58962340000001 42.4096482, -88.3946961 42.4096482, -88.3946961 42.603689100000004, -88.58962340000001 42.603689100000004, -88.58962340000001 42.4096482))",POINT (-88.49215975 42.50666865)
