link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,free_speed_raw,lanes,capacity,allowed_uses,toll,notes
0,North Scottsdale Road,5589756,0,1,1,"LINESTRING (-111.9262877 33.4312176, -111.9262831 33.4326057, -111.9262763 33.43289, -111.926271 33.4335911)",1,263.93,primary,3,35,35 mph,3,5400,auto,,
1,North Scottsdale Road,5589756,1,0,1,"LINESTRING (-111.926271 33.4335911, -111.9262763 33.43289, -111.9262831 33.4326057, -111.9262877 33.4312176)",1,263.93,primary,3,35,35 mph,3,5400,auto,,
2,East Apache Boulevard,5602753,2,3,1,"LINESTRING (-111.9389443 33.4152954, -111.9388211 33.4152092, -111.9386707 33.4151129, -111.9382922 33.4149218, -111.938104 33.4148441, -111.937825 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",1,197.37,primary,3,80,,2,3600,auto,,
3,South McClintock Drive,5604294,748,5,1,"LINESTRING (-111.9096212 33.4365162, -111.9096126 33.4363299)",1,20.73,secondary,4,60,,3,4800,auto,,
4,South McClintock Drive,5604294,5,748,1,"LINESTRING (-111.9096126 33.4363299, -111.9096212 33.4365162)",1,20.73,secondary,4,60,,3,4800,auto,,
5,South Mill Avenue,5607328,734,7,1,"LINESTRING (-111.9400858 33.4219347, -111.940089 33.4218868, -111.9400996 33.4218187, -111.9401025 33.421787, -111.940102 33.4215259, -111.9400799 33.4212624, -111.9400696 33.4210103)",1,102.96,primary,3,30,30 mph,3,5400,auto,,
6,East University Drive,5614812,8,747,1,"LINESTRING (-111.936661 33.4219091, -111.936563 33.4219081, -111.9358451 33.4219117, -111.9356538 33.4219104, -111.9350625 33.4219162, -111.934969 33.4219161)",1,157.04,secondary,4,35,35 mph,2,3200,auto,,
7,West Broadway Road,5634388,10,11,1,"LINESTRING (-111.9405939 33.4074032, -111.9407309 33.407404, -111.9411443 33.4074008, -111.9419779 33.4073972, -111.9429557 33.4073853, -111.9433255 33.4073787)",1,253.58,secondary,4,60,,2,3200,auto,,
8,West Broadway Road,5634388,11,10,1,"LINESTRING (-111.9433255 33.4073787, -111.9429557 33.4073853, -111.9419779 33.4073972, -111.9411443 33.4074008, -111.9407309 33.407404, -111.9405939 33.4074032)",1,253.58,secondary,4,60,,3,4800,auto,,
9,East Broadway Road,5635238,12,13,1,"LINESTRING (-111.934416 33.4074528, -111.934373 33.4074531)",1,3.99,secondary,4,60,,3,4800,auto,,
10,East Broadway Road,5635238,13,12,1,"LINESTRING (-111.934373 33.4074531, -111.934416 33.4074528)",1,3.99,secondary,4,60,,2,3200,auto,,
11,East 8th Street,5636208,14,15,1,"LINESTRING (-111.9177134 33.4194298, -111.9176168 33.4194087, -111.9173196 33.4193593, -111.9170322 33.4193213, -111.9168666 33.419308, -111.916717 33.4193031, -111.9166016 33.4193018, -111.9164695 33.419305, -111.916334 33.4193119, -111.9160709 33.4193332, -111.915848 33.4193497, -111.91545 33.4193819, -111.9153448 33.419389, -111.9147769 33.4194379, -111.9146898 33.4194459, -111.9139688 33.4194872, -111.9137708 33.4194908, -111.9135784 33.4194934, -111.9128246 33.4194946, -111.9127433 33.4194949, -111.9122342 33.4194998, -111.9120722 33.4195014, -111.9105172 33.4195163, -111.910374 33.4195177, -111.9092621 33.4195286, -111.9092373 33.4195288, -111.9090775 33.4195301)",1,803.70,tertiary,5,30,30 mph,1,1200,auto,,
12,East 8th Street,5636208,16,14,1,"LINESTRING (-111.9262379 33.4209763, -111.9261191 33.4209521, -111.9243796 33.4205801, -111.9231296 33.4203038, -111.9228177 33.4202356, -111.9213751 33.4199457, -111.9211467 33.4198978, -111.9206349 33.4197953, -111.9204294 33.41976, -111.9202339 33.4197269, -111.9200708 33.419705, -111.9189322 33.4195811, -111.9187723 33.4195638, -111.9184474 33.4195264, -111.9181661 33.4194884, -111.917792 33.4194378, -111.9177134 33.4194298)",1,810.62,tertiary,5,30,30 mph,1,1200,auto,,
13,East 8th Street,5636208,14,16,1,"LINESTRING (-111.9177134 33.4194298, -111.917792 33.4194378, -111.9181661 33.4194884, -111.9184474 33.4195264, -111.9187723 33.4195638, -111.9189322 33.4195811, -111.9200708 33.419705, -111.9202339 33.4197269, -111.9204294 33.41976, -111.9206349 33.4197953, -111.9211467 33.4198978, -111.9213751 33.4199457, -111.9228177 33.4202356, -111.9231296 33.4203038, -111.9243796 33.4205801, -111.9261191 33.4209521, -111.9262379 33.4209763)",1,810.62,tertiary,5,30,30 mph,1,1200,auto,,
14,East 8th Street,5636208,15,14,1,"LINESTRING (-111.9090775 33.4195301, -111.9092373 33.4195288, -111.9092621 33.4195286, -111.910374 33.4195177, -111.9105172 33.4195163, -111.9120722 33.4195014, -111.9122342 33.4194998, -111.9127433 33.4194949, -111.9128246 33.4194946, -111.9135784 33.4194934, -111.9137708 33.4194908, -111.9139688 33.4194872, -111.9146898 33.4194459, -111.9147769 33.4194379, -111.9153448 33.419389, -111.91545 33.4193819, -111.915848 33.4193497, -111.9160709 33.4193332, -111.916334 33.4193119, -111.9164695 33.419305, -111.9166016 33.4193018, -111.916717 33.4193031, -111.9168666 33.419308, -111.9170322 33.4193213, -111.9173196 33.4193593, -111.9176168 33.4194087, -111.9177134 33.4194298)",1,803.70,tertiary,5,30,30 mph,1,1200,auto,,
15,North Mill Avenue,5647675,17,18,1,"LINESTRING (-111.9406317 33.4333828, -111.9407936 33.4337667, -111.9409435 33.4340735, -111.9411263 33.4344126, -111.9413153 33.4347288, -111.9416015 33.4351761, -111.9416739 33.4352877)",1,233.23,primary,3,35,35 mph,2,3600,auto,,
16,South College Avenue,5660964,19,20,1,"LINESTRING (-111.9349858 33.4250908, -111.9349838 33.4248448, -111.934982 33.4243872, -111.9349819 33.4243327)",1,84.30,tertiary,5,40,,1,1200,auto,,
17,South College Avenue,5660964,20,747,1,"LINESTRING (-111.9349819 33.4243327, -111.934981 33.4242678, -111.9349897 33.423492, -111.93499 33.42338, -111.9349911 33.4233422, -111.9349907 33.423297, -111.9349769 33.423206, -111.934975 33.4231541, -111.9349743 33.4231162, -111.9349706 33.4226097, -111.9349677 33.4220796, -111.934969 33.4220021)",1,259.24,tertiary,5,40,,1,1200,auto,,
18,South College Avenue,5660964,20,19,1,"LINESTRING (-111.9349819 33.4243327, -111.934982 33.4243872, -111.9349838 33.4248448, -111.9349858 33.4250908)",1,84.30,tertiary,5,40,,1,1200,auto,,
19,South College Avenue,5660964,747,20,1,"LINESTRING (-111.934969 33.4220021, -111.9349677 33.4220796, -111.9349706 33.4226097, -111.9349743 33.4231162, -111.934975 33.4231541, -111.9349769 33.423206, -111.9349907 33.423297, -111.9349911 33.4233422, -111.93499 33.42338, -111.9349897 33.423492, -111.934981 33.4242678, -111.9349819 33.4243327)",1,259.24,tertiary,5,40,,1,1200,auto,,
20,West Center Parkway,5675991,22,23,1,"LINESTRING (-111.9496089 33.4356866, -111.9496219 33.4355321)",1,17.22,tertiary,5,40,,4,4800,auto,,
21,,23617681,24,25,1,"LINESTRING (-111.8984568 33.4356374, -111.8982741 33.4355775, -111.897808 33.4354877, -111.8976363 33.4354534, -111.8972563 33.4353618, -111.8971116 33.4353163, -111.8970113 33.4352846, -111.8966902 33.4351815, -111.8965511 33.4351315, -111.8962086 33.4349931)",1,221.28,motorway,1,120,,1,2300,auto,,
22,East Rio Salado Parkway,23617748,26,27,1,"LINESTRING (-111.937415 33.430404, -111.9373131 33.430439, -111.9372259 33.4304688, -111.9370459 33.4305056, -111.9368333 33.4305487, -111.9366715 33.4305626, -111.936465 33.4305639, -111.9362871 33.4305543, -111.9360834 33.4305321, -111.9358756 33.4304867, -111.935676 33.4304358)",1,165.64,secondary,4,35,35 mph,2,3200,auto,,
23,East Rio Salado Parkway,23617748,27,28,1,"LINESTRING (-111.935676 33.4304358, -111.9354542 33.4303462, -111.9353103 33.4302796, -111.9351664 33.4302037, -111.9349285 33.4300573)",1,81.36,secondary,4,35,35 mph,2,3200,auto,,
24,East Rio Salado Parkway,23617748,28,29,1,"LINESTRING (-111.9349285 33.4300573, -111.9346717 33.4298726)",1,31.46,secondary,4,35,35 mph,2,3200,auto,,
25,,23617797,30,31,1,"LINESTRING (-111.9343622 33.4350119, -111.9339068 33.4350295, -111.9336196 33.4350523, -111.9318947 33.4353287, -111.9314518 33.4353902, -111.9307842 33.4354541)",1,336.07,motorway,1,120,,1,2300,auto,,
26,,23617802,32,33,1,"LINESTRING (-111.9270745 33.4357101, -111.9268486 33.4357346, -111.9267341 33.4357494, -111.9266642 33.4357599, -111.9266125 33.4357723, -111.9265747 33.4357884, -111.9265435 33.4358066, -111.9264933 33.4358421, -111.9264541 33.4358796)",1,62.58,motorway,1,120,,2,4600,auto,,
27,,23617802,33,34,1,"LINESTRING (-111.9264541 33.4358796, -111.9264384 33.435898, -111.9263519 33.4360228)",1,18.54,motorway,1,120,,2,4600,auto,,
28,,23617811,35,36,1,"LINESTRING (-111.9261595 33.4350221, -111.9260828 33.435357, -111.9260741 33.4353944, -111.9260622 33.4354271, -111.9260415 33.4354557, -111.9259929 33.4355002, -111.9259316 33.4355293, -111.9258763 33.4355373, -111.925726 33.4355283, -111.9255556 33.4355243, -111.9254366 33.4355325, -111.9253116 33.435556)",1,120.88,motorway,1,120,,1,2300,auto,,
29,,23617823,37,38,1,"LINESTRING (-111.920708 33.4363268, -111.9215014 33.436388, -111.9221849 33.4364194, -111.9227654 33.4364607, -111.9236413 33.4364854)",1,272.84,motorway,1,120,,2,4600,auto,,
30,,23617827,39,40,1,"LINESTRING (-111.9254503 33.4365151, -111.9256951 33.4364913, -111.9257577 33.436485, -111.9258643 33.4364547, -111.9259435 33.4364184, -111.9260412 33.4363459)",1,59.69,motorway,1,120,,2,4600,auto,,
