name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Art Warehouse,0,28822381,,university,,,,"POLYGON ((-111.9376052 33.420781, -111.9376185 33.4207809, -111.9376181 33.4207235, -111.9380096 33.4207215, -111.9380099 33.4208487, -111.9380128 33.4211554, -111.9376204 33.4211574, -111.9376198 33.421069, -111.9378842 33.4210677, -111.9378827 33.4208505, -111.9376057 33.4208519, -111.9376052 33.420781))","POINT (-111.93784556225513 33.42092833967487)",,1
Physical Science H Wing,1,30406805,,university,,,,"POLYGON ((-111.9316862 33.4216005, -111.9316337 33.4216012, -111.9316326 33.4215553, -111.9311524 33.4215559, -111.9311543 33.4215151, -111.9310923 33.4215164, -111.9310916 33.4215475, -111.9310564 33.4215513, -111.9310566 33.4215598, -111.9310028 33.4215625, -111.9310078 33.4217818, -111.9317196 33.4217729, -111.9318408 33.4217714, -111.9318378 33.4215698, -111.9317752 33.4215693, -111.9317757 33.4216006, -111.9317266 33.4216005, -111.9316862 33.4216005))","POINT (-111.93140311891955 33.42166798310944)",,1
,2,34608666,,yes,,,,"POLYGON ((-111.9472091 33.407804, -111.9472044 33.4081633, -111.9466036 33.4081541, -111.9466027 33.4079484, -111.9469661 33.4079478, -111.94697 33.4079444, -111.9469451 33.4079246, -111.9469762 33.4078973, -111.9470011 33.4079171, -111.9470062 33.4079127, -111.9470114 33.4077708, -111.947194 33.4077721, -111.9471936 33.4078039, -111.9472091 33.407804))","POINT (-111.94695020986966 33.40801085297824)",,1
,3,256984973,,yes,,,,"POLYGON ((-111.9393706 33.4225094, -111.939298 33.4225095, -111.9392981 33.4225569, -111.9388221 33.4225576, -111.938822 33.4225013, -111.9388218 33.4223953, -111.9390247 33.422395, -111.9390248 33.4224408, -111.9393705 33.4224403, -111.9393706 33.4225094))","POINT (-111.93906150309694 33.42248648374886)",,1
,4,294050905,,yes,,,,"POLYGON ((-111.9251933 33.4173919, -111.9250054 33.4173897, -111.9250094 33.4169335, -111.9252084 33.416938, -111.9251933 33.4173919))","POINT (-111.925104096202 33.41716108917348)",,1
,5,498318767,,school,,,,"POLYGON ((-111.9429915 33.4080161, -111.9425678 33.4080209, -111.9425648 33.4078401, -111.9429886 33.4078353, -111.9429915 33.4080161))","POINT (-111.9427781747208 33.407928096447606)",,1
,6,543997793,,retail,,,,"POLYGON ((-111.9406519 33.423077, -111.940275 33.4230837, -111.9402255 33.4230684, -111.9401951 33.4230381, -111.9401864 33.4230038, -111.9401935 33.4229594, -111.9402224 33.4229321, -111.9402278 33.4229099, -111.9402266 33.4228244, -111.940203 33.4228237, -111.9402044 33.4226414, -111.940211 33.4226411, -111.9402161 33.422342, -111.940222 33.4222836, -111.9402434 33.4222293, -111.9402696 33.4222198, -111.9403017 33.4222236, -111.9403419 33.4222549, -111.9403485 33.4222515, -111.9404586 33.422339, -111.9404621 33.4226477, -111.9404627 33.4226943, -111.9404631 33.4227193, -111.9407786 33.4229828, -111.9407151 33.4230294, -111.9406519 33.423077))","POINT (-111.94039279725104 33.42274085805738)",,1
,7,552257165,,,,garden,,"POLYGON ((-111.9342042 33.4208457, -111.9342562 33.4208451, -111.9342585 33.4210476, -111.9343043 33.4211212, -111.9343558 33.4211971, -111.9343829 33.421412, -111.9344257 33.4214766, -111.9344843 33.4215193, -111.9347376 33.4216606, -111.9348374 33.421706, -111.9348399 33.4217614, -111.9347541 33.4217654, -111.9346688 33.4217643, -111.9346608 33.4217149, -111.9346494 33.4216762, -111.9346322 33.4216484, -111.9345941 33.4216182, -111.9345593 33.421604, -111.9343918 33.421551, -111.9343424 33.4215104, -111.9343187 33.4214827, -111.9343048 33.4214543, -111.9343086 33.421332, -111.9343024 33.421297, -111.93428 33.4212584, -111.9342495 33.4212298, -111.9342065 33.4211218, -111.9342042 33.4208457))","POINT (-111.9344278607589 33.421380196966716)",,1
,8,588272048,,apartments,,,,"POLYGON ((-111.9154012 33.4192086, -111.9153991 33.4189593, -111.9155382 33.4189585, -111.9155403 33.4192078, -111.9154012 33.4192086))","POINT (-111.9154697 33.41908355)",,1
,9,670966689,,carport,,,,"POLYGON ((-111.9186312 33.4078725, -111.9186909 33.4078725, -111.9186912 33.4081168, -111.9186315 33.4081169, -111.9186312 33.4078725))","POINT (-111.91866119796403 33.407994675043575)",,1
,10,712721434,,,,swimming_pool,,"POLYGON ((-111.9081241 33.4138028, -111.9081377 33.4137945, -111.9081566 33.4137929, -111.9081773 33.4137988, -111.9081914 33.4138102, -111.9081905 33.4138322, -111.9081763 33.4138531, -111.9081632 33.413866, -111.9081669 33.4138853, -111.9081853 33.4138979, -111.9081999 33.4139101, -111.9082013 33.4139278, -111.9081957 33.4139427, -111.9081815 33.4139462, -111.9081721 33.4139474, -111.9081589 33.4139435, -111.9081476 33.4139309, -111.9081377 33.4139195, -111.9081241 33.4139175, -111.9081123 33.4139242, -111.9081001 33.4139274, -111.9080831 33.4139297, -111.9080605 33.4139215, -111.9080379 33.4138998, -111.9080445 33.4138708, -111.9080633 33.4138586, -111.9080793 33.4138519, -111.908093 33.4138511, -111.9081062 33.4138452, -111.9081194 33.4138358, -111.9081161 33.4138185, -111.9081241 33.4138028))","POINT (-111.90812860752219 33.41387564201582)",,1
,11,808163067,,apartments,,,,"POLYGON ((-111.9372362 33.4068595, -111.9371748 33.4069124, -111.9371615 33.4069236, -111.9371345 33.4069015, -111.9371245 33.4069102, -111.9371046 33.4068941, -111.9371084 33.4068909, -111.9370928 33.4068783, -111.9370995 33.4068725, -111.9370966 33.4068702, -111.9371707 33.4068065, -111.9372362 33.4068595))","POINT (-111.93716324842728 33.406866629254374)",,1
,12,813284518,,commercial,,,,"POLYGON ((-111.9293382 33.4072906, -111.9292708 33.4072903, -111.9292708 33.4073015, -111.9291117 33.4073008, -111.9291129 33.4070791, -111.9292146 33.4070795, -111.9292144 33.4071014, -111.9292431 33.4071015, -111.9292427 33.4071665, -111.9292854 33.4071666, -111.9292853 33.4071962, -111.9293387 33.4071964, -111.9293404 33.4072418, -111.9293382 33.4072906))","POINT (-111.92920667968916 33.407204857484146)",,1
