o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
1,A1,45,Gate20,2.137038005762457,0.0,"LINESTRING (-122.3350413 47.6646348,-122.33605 47.64251)"
2,A2,1,A1,0.8489814375920499,4.647770758813785,"LINESTRING (-122.326244 47.6647903,-122.3350413 47.6646348)"
2,A2,2,A2,0.0,0.0,"LINESTRING (-122.326244 47.6647903,-122.326244 47.6647903)"
2,A2,3,A3,1.076456537732434,11.981939774373934,"LINESTRING (-122.326244 47.6647903,-122.3150913 47.6650657)"
2,A2,4,A4,2.0078627658906942,11.120219416743693,"LINESTRING (-122.326244 47.6647903,-122.3054422 47.6653385)"
2,A2,5,A5,3.1846793598913825,9.133957728261345,"LINESTRING (-122.326244 47.6647903,-122.2932399 47.6650669)"
2,A2,6,B1,0.9025713077047227,13.465901319065665,"LINESTRING (-122.326244 47.6647903,-122.3346316 47.6606494)"
2,A2,7,B2,0.39051062349361976,13.563135225581718,"LINESTRING (-122.326244 47.6647903,-122.3263591 47.6607448)"
2,A2,8,B3,1.1044463446568702,22.93562838680082,"LINESTRING (-122.326244 47.6647903,-122.315612 47.6605504)"
2,A2,9,B4,2.094124768989937,15.57340035683514,"LINESTRING (-122.326244 47.6647903,-122.3048268 47.6612797)"
2,A2,10,B5,3.328304364714219,17.769588179055287,"LINESTRING (-122.326244 47.6647903,-122.2919496 47.6610875)"
2,A2,11,C1,1.2142225740349986,8.77365106622793,"LINESTRING (-122.326244 47.6647903,-122.335218 47.6559686)"
2,A2,12,C2,0.8030427466546289,12.02483682227498,"LINESTRING (-122.326244 47.6647903,-122.3263143 47.6564681)"
2,A2,13,C3,1.309631234260721,13.369673261907874,"LINESTRING (-122.326244 47.6647903,-122.315679 47.6562699)"
2,A2,14,C4,2.2679047637637093,26.558380318917955,"LINESTRING (-122.326244 47.6647903,-122.3045641 47.6557117)"
2,A2,15,C5,3.224243706619885,1.6996899920382684,"LINESTRING (-122.326244 47.6647903,-122.2937548 47.6569778)"
2,A2,16,D1,1.5660183326911448,8.923836982199465,"LINESTRING (-122.326244 47.6647903,-122.3358049 47.6516755)"
2,A2,17,D2,1.2711601014744272,6.735417671655035,"LINESTRING (-122.326244 47.6647903,-122.3253726 47.6516452)"
2,A2,18,D3,1.6292228674790312,9.029376035854478,"LINESTRING (-122.326244 47.6647903,-122.3159891 47.6513763)"
2,A2,19,D4,2.437579764096005,7.97999132826569,"LINESTRING (-122.326244 47.6647903,-122.3046421 47.6516926)"
2,A2,20,D5,2.924894425039721,0.0,"LINESTRING (-122.326244 47.6647903,-122.2986984 47.6521368)"
2,A2,21,E1,1.8977558320842367,6.28117795109933,"LINESTRING (-122.326244 47.6647903,-122.3358997 47.6476557)"
2,A2,22,E2,1.632976544016003,2.5134660513759197,"LINESTRING (-122.326244 47.6647903,-122.322545 47.6482757)"
2,A2,23,E3,1.7845695959781598,1.4625266261466165,"LINESTRING (-122.326244 47.6647903,-122.3179648 47.648252)"
2,A2,24,E4,2.607656070036949,6.010939769528664,"LINESTRING (-122.326244 47.6647903,-122.304544 47.6486824)"
2,A2,25,E5,3.559069511923517,0.0,"LINESTRING (-122.326244 47.6647903,-122.2938921 47.6470736)"
2,A2,26,Gate1,2.6035372462890867,7.231386787395258,"LINESTRING (-122.326244 47.6647903,-122.3465921 47.64707)"
2,A2,27,Gate2,2.3382402704621508,14.974653183067257,"LINESTRING (-122.326244 47.6647903,-122.3465921 47.65163)"
2,A2,28,Gate3,2.1315532074214074,23.08302629441861,"LINESTRING (-122.326244 47.6647903,-122.3465921 47.65619)"
2,A2,29,Gate4,2.00171444861403,23.484124976334563,"LINESTRING (-122.326244 47.6647903,-122.3465921 47.66075)"
2,A2,30,Gate5,1.9640245761125843,31.469623681987173,"LINESTRING (-122.326244 47.6647903,-122.3465921 47.66531)"
2,A2,31,Gate6,1.065931308514283,26.683064859294365,"LINESTRING (-122.326244 47.6647903,-122.3360521 47.6698736)"
2,A2,32,Gate7,0.49554296510435597,96.88053890873833,"LINESTRING (-122.326244 47.6647903,-122.3255121 47.6698736)"
2,A2,33,Gate8,1.193110564405896,87.3658563270808,"LINESTRING (-122.326244 47.6647903,-122.3149721 47.6698736)"
2,A2,34,Gate9,2.161032049827149,45.98632814846039,"LINESTRING (-122.326244 47.6647903,-122.3044321 47.6698736)"
2,A2,35,Gate10,3.1599371725868903,13.45387534980287,"LINESTRING (-122.326244 47.6647903,-122.2938921 47.6698736)"
2,A2,36,Gate11,4.139153851245429,11.863005287715094,"LINESTRING (-122.326244 47.6647903,-122.28335 47.6653136)"
2,A2,37,Gate12,4.15713351137722,35.507319595130674,"LINESTRING (-122.326244 47.6647903,-122.28335 47.6607536)"
2,A2,38,Gate13,4.221150743886627,0.0,"LINESTRING (-122.326244 47.6647903,-122.28335 47.6561936)"
2,A2,39,Gate14,4.329163697283296,0.0,"LINESTRING (-122.326244 47.6647903,-122.28335 47.6516336)"
2,A2,40,Gate15,4.477989858987947,0.0,"LINESTRING (-122.326244 47.6647903,-122.28335 47.6470736)"
2,A2,41,Gate16,3.790468311508539,0.0,"LINESTRING (-122.326244 47.6647903,-122.29389 47.64251)"
2,A2,42,Gate17,3.0086698816895923,13.719993557165518,"LINESTRING (-122.326244 47.6647903,-122.30443 47.64251)"
2,A2,43,Gate18,2.409384902057126,7.417644519011604,"LINESTRING (-122.326244 47.6647903,-122.31497 47.64251)"
2,A2,44,Gate19,2.1509936002634436,61.396575535740865,"LINESTRING (-122.326244 47.6647903,-122.32551 47.64251)"
2,A2,45,Gate20,2.3488312079272142,0.0,"LINESTRING (-122.326244 47.6647903,-122.33605 47.64251)"
3,A3,1,A1,1.9254263173987798,7.958356312097439,"LINESTRING (-122.3150913 47.6650657,-122.3350413 47.6646348)"
3,A3,2,A2,1.076456537732434,14.518778975323034,"LINESTRING (-122.3150913 47.6650657,-122.326244 47.6647903)"
3,A3,3,A3,0.0,0.0,"LINESTRING (-122.3150913 47.6650657,-122.3150913 47.6650657)"
3,A3,4,A4,0.9314094374491575,25.61418085608412,"LINESTRING (-122.3150913 47.6650657,-122.3054422 47.6653385)"
3,A3,5,A5,2.1084389371128367,20.889351864962514,"LINESTRING (-122.3150913 47.6650657,-122.2932399 47.6650669)"
3,A3,6,B1,1.9329972546476824,23.21506677594962,"LINESTRING (-122.3150913 47.6650657,-122.3346316 47.6606494)"
3,A3,7,B2,1.164424889166088,23.973001959573498,"LINESTRING (-122.3150913 47.6650657,-122.3263591 47.6607448)"
3,A3,8,B3,0.438567111430037,50.384380608398644,"LINESTRING (-122.3150913 47.6650657,-122.315612 47.6605504)"
3,A3,9,B4,1.0556410573454331,35.64512581518906,"LINESTRING (-122.3150913 47.6650657,-122.3048268 47.6612797)"
3,A3,10,B5,2.265696673622051,40.54837237648381,"LINESTRING (-122.3150913 47.6650657,-122.2919496 47.6610875)"
3,A3,11,C1,2.1311884829731773,15.399415052168873,"LINESTRING (-122.3150913 47.6650657,-122.335218 47.6559686)"
3,A3,12,C2,1.3641497219816696,22.06461798987162,"LINESTRING (-122.3150913 47.6650657,-122.3263143 47.6564681)"
