name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,zone_id
,650,215679133.0,,yes,,,"POLYGON ((-122.3317431 47.6569313, -122.3317425 47.6570264, -122.3316253 47.6570261, -122.3316257 47.6569717, -122.3316201 47.6569717, -122.3316202 47.6569559, -122.3315962 47.6569558, -122.3315965 47.6569102, -122.3315876 47.6569026, -122.3315878 47.6568841, -122.3316021 47.6568736, -122.3316316 47.6568737, -122.3316316 47.6568598, -122.3317355 47.6568601, -122.3317354 47.6568804, -122.3317519 47.6568805, -122.3317515 47.6569314, -122.3317431 47.6569313))",POINT (-122.3316764 47.6569397),187.4,2017.4,11
,651,215679136.0,,yes,,,"POLYGON ((-122.340005 47.6529577, -122.3400041 47.6529776, -122.3399892 47.6529773, -122.339988 47.653005, -122.3400067 47.6530054, -122.3400059 47.6530245, -122.3399889 47.6530242, -122.3399866 47.6530799, -122.3400075 47.6530803, -122.3400068 47.6530972, -122.3399768 47.6530966, -122.3399766 47.6531033, -122.3397867 47.6530997, -122.3397888 47.6530478, -122.3397933 47.6530479, -122.3397949 47.6530098, -122.3397873 47.6530096, -122.3397896 47.6529536, -122.340005 47.6529577))",POINT (-122.3398922 47.6530282),250.1,2692.2,16
,652,215679139.0,,yes,,,"POLYGON ((-122.3367261 47.6605623, -122.336318 47.6605606, -122.3362957 47.6605605, -122.3362974 47.6603764, -122.3365418 47.6603775, -122.3365416 47.6603892, -122.3365602 47.6603892, -122.3365598 47.6604388, -122.336609 47.6604391, -122.3366086 47.6604797, -122.3367426 47.6604802, -122.3367419 47.6605624, -122.3367261 47.6605623))",POINT (-122.3364838 47.660481),544.1,5856.2,6
,653,215679145.0,,yes,,,"POLYGON ((-122.3404014 47.649485, -122.3404012 47.6494175, -122.3403942 47.6494175, -122.340394 47.6493696, -122.3404001 47.6493695, -122.3404 47.6493447, -122.3404194 47.6493447, -122.3404194 47.6493349, -122.3404881 47.6493348, -122.3404882 47.6493702, -122.3405042 47.6493702, -122.3405043 47.6494175, -122.3404968 47.6494175, -122.340497 47.649467, -122.3404868 47.649467, -122.3404869 47.6494911, -122.3404232 47.6494912, -122.3404231 47.649485, -122.3404014 47.649485))",POINT (-122.3404482 47.6494124),123.0,1323.7,16
,654,215679155.0,,yes,,,"POLYGON ((-122.3373042 47.6498599, -122.3370669 47.6498571, -122.3370689 47.6497789, -122.3373062 47.6497817, -122.3373042 47.6498599))",POINT (-122.3371865 47.6498194),154.9,1667.8,16
,655,215679157.0,,yes,,,"POLYGON ((-122.3366637 47.655388, -122.3364633 47.6553891, -122.3364623 47.655307, -122.3366627 47.6553059, -122.3366637 47.655388))",POINT (-122.336563 47.6553475),137.0,1474.2,11
,656,215679159.0,,yes,,,"POLYGON ((-122.3390601 47.6522189, -122.3389167 47.6522191, -122.3389164 47.6521208, -122.3390598 47.6521206, -122.3390601 47.6522189))",POINT (-122.3389882 47.6521698),117.7,1267.1,16
,657,215679164.0,,yes,,,"POLYGON ((-122.3394246 47.6541144, -122.3395369 47.6541129, -122.3395395 47.6542009, -122.3394272 47.6542024, -122.3394246 47.6541144))",POINT (-122.3394821 47.6541577),82.9,892.4,11
,658,215679166.0,,yes,,,"POLYGON ((-122.3396424 47.6504042, -122.3394518 47.6504024, -122.3394545 47.6502761, -122.339645 47.6502779, -122.3396424 47.6504042))",POINT (-122.3395484 47.6503402),201.0,2163.2,16
,659,215679172.0,,yes,,,"POLYGON ((-122.3391511 47.6514812, -122.3391516 47.6515815, -122.3388859 47.6515821, -122.3388854 47.6514818, -122.3391511 47.6514812))",POINT (-122.3390185 47.6515316),222.4,2394.4,16
,660,215679179.0,,yes,,,"POLYGON ((-122.338043 47.6506368, -122.3381254 47.6506381, -122.3381215 47.6507452, -122.3380391 47.6507438, -122.338043 47.6506368))",POINT (-122.3380823 47.650691),73.8,794.8,16
,661,215679181.0,,yes,,,"POLYGON ((-122.3345973 47.6607147, -122.3345998 47.6608017, -122.3344527 47.6608037, -122.3344502 47.6607167, -122.3345973 47.6607147))",POINT (-122.334525 47.6607592),107.2,1154.1,6
,662,215679188.0,,yes,,,"POLYGON ((-122.3394216 47.6523172, -122.3394196 47.6522307, -122.3396108 47.6522287, -122.3396128 47.6523152, -122.3394216 47.6523172))",POINT (-122.3395162 47.6522729),137.8,1483.2,16
,663,215679190.0,,yes,,,"POLYGON ((-122.3368602 47.6532732, -122.3368585 47.6533723, -122.3364628 47.6533692, -122.3364645 47.6532701, -122.3368602 47.6532732))",POINT (-122.3366615 47.6533212),328.8,3539.1,16
,664,215679197.0,,yes,,,"POLYGON ((-122.3398911 47.6499137, -122.3400261 47.6499143, -122.3400256 47.6499646, -122.3400105 47.6499645, -122.3400104 47.6499809, -122.3398905 47.6499804, -122.3398911 47.6499137))",POINT (-122.3399566 47.6499466),73.0,785.7,16
,665,215679199.0,,yes,,,"POLYGON ((-122.3384487 47.6537278, -122.3382913 47.6537278, -122.3382913 47.6536701, -122.3382572 47.6536701, -122.3382572 47.6535935, -122.3384487 47.6535935, -122.3384487 47.6537278))",POINT (-122.3383595 47.6536575),198.6,2137.3,16
,666,215679202.0,,yes,,,"POLYGON ((-122.3399813 47.6517298, -122.3399793 47.6517812, -122.3399597 47.6517808, -122.3399584 47.6518152, -122.3397481 47.6518115, -122.3397514 47.6517257, -122.3399813 47.6517298))",POINT (-122.339861 47.6517697),159.1,1712.8,16
,667,215679205.0,,yes,,,"POLYGON ((-122.3380027 47.6506164, -122.3380023 47.6507466, -122.3378812 47.6507464, -122.3378812 47.6507391, -122.3378677 47.6507391, -122.337868 47.6506162, -122.3380027 47.6506164))",POINT (-122.3379355 47.650681),146.4,1575.6,16
,668,215679208.0,,yes,,,"POLYGON ((-122.3377427 47.6604058, -122.3377437 47.6604398, -122.337715 47.6604402, -122.3377164 47.6604878, -122.3375632 47.6604898, -122.3375608 47.6604082, -122.3377427 47.6604058))",POINT (-122.3376451 47.6604462),112.6,1212.3,6
,669,215679210.0,,yes,,,"POLYGON ((-122.337731 47.6525287, -122.3377333 47.6524244, -122.3379243 47.6524262, -122.3379245 47.6524188, -122.3379811 47.6524193, -122.3379787 47.6525311, -122.337731 47.6525287))",POINT (-122.3378575 47.6524769),218.7,2354.4,16
,670,215679212.0,,yes,,,"POLYGON ((-122.3382228 47.6604871, -122.3382211 47.6604084, -122.3382433 47.6604081, -122.3382432 47.6604002, -122.3384028 47.6603987, -122.3384046 47.6604854, -122.3382228 47.6604871))",POINT (-122.3383137 47.6604433),130.8,1407.7,6
,671,215679214.0,,yes,,,"POLYGON ((-122.3394124 47.652799, -122.3395478 47.6527991, -122.3395476 47.6528939, -122.3394971 47.6528939, -122.339497 47.6529376, -122.3394121 47.6529375, -122.3394124 47.652799))",POINT (-122.3394743 47.652862),137.6,1480.7,16
,672,215679216.0,,yes,,,"POLYGON ((-122.3397845 47.653265, -122.3397858 47.6532006, -122.3400006 47.6532026, -122.3400005 47.6532052, -122.3400162 47.6532053, -122.340015 47.6532672, -122.3397845 47.653265))",POINT (-122.3399001 47.653234),123.3,1326.7,16
,673,215679218.0,,yes,,,"POLYGON ((-122.3347885 47.6607186, -122.3347887 47.6608055, -122.3346539 47.6608056, -122.3346538 47.6607961, -122.3346329 47.6607961, -122.3346328 47.6607187, -122.3347885 47.6607186))",POINT (-122.3347117 47.6607615),112.0,1205.4,6
,674,215679220.0,,yes,,,"POLYGON ((-122.3370622 47.6518833, -122.3370629 47.6518466, -122.3370867 47.6518468, -122.3370875 47.6518021, -122.3372636 47.6518036, -122.3372621 47.651885, -122.3370622 47.6518833))",POINT (-122.337169 47.6518448),126.5,1361.5,16
,675,215679222.0,,yes,,,"POLYGON ((-122.3364535 47.6550537, -122.3364538 47.6550206, -122.3364736 47.6550207, -122.336474 47.6549711, -122.3366599 47.6549718, -122.3366592 47.6550546, -122.3364535 47.6550537))",POINT (-122.3365624 47.6550138),134.4,1446.9,11
,676,215679224.0,,yes,,,"POLYGON ((-122.3368127 47.6515114, -122.3368122 47.6516563, -122.3366446 47.651656, -122.3366448 47.651613, -122.3366537 47.651613, -122.336654 47.6515206, -122.336664 47.6515206, -122.3366641 47.6515112, -122.3368127 47.6515114))",POINT (-122.336732 47.6515848),194.7,2095.9,16
,677,215679226.0,,yes,,,"POLYGON ((-122.3366707 47.6549433, -122.3364536 47.6549426, -122.3364538 47.6549117, -122.3364778 47.6549117, -122.3364781 47.654862, -122.336645 47.6548626, -122.3366449 47.6548783, -122.3366711 47.6548784, -122.3366707 47.6549433))",POINT (-122.3365671 47.6549046),132.6,1427.8,11
,678,215679232.0,,yes,,,"POLYGON ((-122.3365589 47.6516862, -122.3367953 47.6516842, -122.3367967 47.65176, -122.3365586 47.651762, -122.3365583 47.6517447, -122.3365279 47.651745, -122.3365271 47.6517019, -122.3365592 47.6517017, -122.3365589 47.6516862))",POINT (-122.336668 47.6517232),161.1,1734.2,16
,679,215679234.0,,yes,,,"POLYGON ((-122.3395509 47.6539507, -122.3393962 47.6539508, -122.3393961 47.6538634, -122.3394438 47.6538634, -122.3394438 47.6538251, -122.3394803 47.6538251, -122.3394802 47.6538119, -122.3395507 47.6538118, -122.3395509 47.6539507))",POINT (-122.3394809 47.6538887),154.6,1664.6,16
,680,215679239.0,,yes,,,"POLYGON ((-122.3400087 47.6538102, -122.3400058 47.6538758, -122.3399223 47.6538741, -122.33992 47.6539261, -122.3397127 47.6539219, -122.3397158 47.6538526, -122.3397653 47.6538536, -122.3397675 47.6538053, -122.3400087 47.6538102))",POINT (-122.3398549 47.6538638),228.8,2462.6,16
,681,215679241.0,,yes,,,"POLYGON ((-122.3396879 47.6534511, -122.3398213 47.6534525, -122.3398197 47.6535196, -122.3398071 47.6535194, -122.3398068 47.6535324, -122.3398204 47.6535326, -122.3398189 47.6535987, -122.3396844 47.6535973, -122.3396879 47.6534511))",POINT (-122.3397526 47.653525),161.9,1742.8,16
,682,215679246.0,,yes,,,"POLYGON ((-122.3398895 47.6526, -122.3398903 47.652572, -122.3398805 47.6525719, -122.3398818 47.6525262, -122.3398964 47.6525264, -122.3398972 47.6524968, -122.3400591 47.6524988, -122.3400562 47.6526021, -122.3398895 47.6526))",POINT (-122.3399727 47.6525497),145.7,1568.2,16
,683,215679248.0,,yes,,,"POLYGON ((-122.3366728 47.6548327, -122.3364539 47.6548348, -122.3364532 47.6548027, -122.3364768 47.6548025, -122.3364758 47.6547522, -122.3366492 47.6547506, -122.3366495 47.6547686, -122.3366715 47.6547684, -122.3366728 47.6548327))",POINT (-122.3365672 47.6547945),136.4,1468.2,11
,684,215679253.0,,yes,,,"POLYGON ((-122.334745 47.6608285, -122.334745 47.6608372, -122.3347735 47.6608372, -122.3347735 47.6609157, -122.3347291 47.6609157, -122.3347291 47.6609121, -122.334551 47.6609122, -122.334551 47.6608285, -122.334745 47.6608285))",POINT (-122.3346617 47.6608712),153.7,1654.8,6
,685,215679255.0,,yes,,,"POLYGON ((-122.3390085 47.65781, -122.3390078 47.6578457, -122.3390277 47.6578459, -122.3390267 47.6578956, -122.3388196 47.6578938, -122.3388205 47.6578469, -122.3387959 47.6578467, -122.3387966 47.6578081, -122.3390085 47.65781))",POINT (-122.3389141 47.6578516),150.1,1615.9,11
,686,215679258.0,,yes,,,"POLYGON ((-122.3391207 47.6528174, -122.3392108 47.6528159, -122.3392118 47.6528427, -122.3392402 47.6528422, -122.3392415 47.6528769, -122.3392215 47.6528773, -122.3392234 47.6529279, -122.3391248 47.6529296, -122.3391207 47.6528174))",POINT (-122.3391747 47.6528727),95.9,1032.7,16
,687,215679261.0,,yes,,,"POLYGON ((-122.3345431 47.6610339, -122.3345441 47.6610072, -122.3345084 47.6610066, -122.3345095 47.660977, -122.3345478 47.6609776, -122.3345486 47.6609548, -122.3347615 47.6609583, -122.3347587 47.6610374, -122.3345431 47.6610339))",POINT (-122.3346453 47.660996),150.7,1622.1,6
,688,215906665.0,,yes,,,"POLYGON ((-122.3381452 47.6605238, -122.3380257 47.6605226, -122.3380282 47.660412, -122.3381476 47.6604132, -122.3381452 47.6605238))",POINT (-122.3380867 47.6604679),110.3,1187.0,6
,689,215906666.0,,yes,,,"POLYGON ((-122.3380013 47.6605214, -122.3378964 47.6605212, -122.3378971 47.6604148, -122.3380019 47.660415, -122.3380013 47.6605214))",POINT (-122.3379492 47.6604681),93.0,1001.3,6
,690,215906668.0,,yes,,,"POLYGON ((-122.3347848 47.6605546, -122.3346607 47.6605531, -122.334663 47.660461, -122.3346591 47.660461, -122.33466 47.6604269, -122.3346719 47.660427, -122.3346722 47.6604143, -122.3347884 47.6604157, -122.3347848 47.6605546))",POINT (-122.3347244 47.6604845),144.6,1556.2,6
,691,215906669.0,,yes,,,"POLYGON ((-122.3346418 47.6605435, -122.3345176 47.6605433, -122.334518 47.6604283, -122.3346421 47.6604285, -122.3346418 47.6605435))",POINT (-122.3345799 47.6604859),119.0,1281.3,6
,692,215906671.0,,yes,,,"POLYGON ((-122.3343697 47.6604346, -122.3344877 47.6604344, -122.3344881 47.6605462, -122.3343701 47.6605464, -122.3343697 47.6604346))",POINT (-122.3344289 47.6604904),110.8,1192.7,6
,693,215906672.0,,yes,,,"POLYGON ((-122.3343421 47.6605185, -122.3342325 47.6605168, -122.334236 47.6604142, -122.3343456 47.6604159, -122.3343421 47.6605185))",POINT (-122.334289 47.6604664),93.5,1006.9,6
,694,215906674.0,,yes,,,"POLYGON ((-122.3269041 47.6603419, -122.3270202 47.6603428, -122.3270203 47.6603368, -122.3271043 47.6603374, -122.3271033 47.6604064, -122.3271492 47.6604067, -122.3271486 47.6604456, -122.3270433 47.6604448, -122.3270438 47.6604134, -122.3269791 47.6604129, -122.3269793 47.6604035, -122.3269032 47.6604029, -122.3269041 47.6603419))",POINT (-122.3270277 47.6603859),145.7,1568.5,7
,695,215906675.0,,yes,,,"POLYGON ((-122.3268688 47.6604158, -122.3267254 47.6604177, -122.3267226 47.6603198, -122.3267352 47.6603197, -122.3267348 47.660309, -122.3267904 47.6603083, -122.3267907 47.6603209, -122.3268004 47.6603208, -122.3268014 47.6603567, -122.3268148 47.6603658, -122.3268674 47.6603651, -122.3268688 47.6604158))",POINT (-122.3267839 47.660372),96.6,1039.5,7
,696,215906676.0,,yes,,,"POLYGON ((-122.3334022 47.6604089, -122.3334816 47.6604072, -122.3334812 47.6603935, -122.3335418 47.6603927, -122.3335422 47.660407, -122.3335901 47.6604064, -122.3335925 47.6604893, -122.3335267 47.6604901, -122.3335272 47.6605057, -122.3335122 47.6605059, -122.3335123 47.6605119, -122.3334766 47.6605124, -122.3334763 47.6605032, -122.333466 47.6605033, -122.3334657 47.6604912, -122.3334356 47.6604916, -122.3334351 47.6604746, -122.3334022 47.6604738, -122.3334022 47.6604089))",POINT (-122.3335001 47.6604489),143.0,1538.8,6
,697,215906677.0,,yes,,,"POLYGON ((-122.3331847 47.6603975, -122.3332515 47.6603971, -122.3332517 47.6604085, -122.3332958 47.6604082, -122.3332965 47.6604555, -122.3333451 47.6604552, -122.3333456 47.6604968, -122.333307 47.660497, -122.3333071 47.6605043, -122.3332659 47.6605045, -122.3332661 47.6605189, -122.3331863 47.6605194, -122.3331847 47.6603975))",POINT (-122.33325 47.6604611),122.5,1318.4,6
Rancho Bravo Tacos,698,215906678.0,,fast_food,,,"POLYGON ((-122.3264442 47.661134, -122.326443 47.6612702, -122.3263272 47.6612697, -122.3263272 47.6612649, -122.3263154 47.6612648, -122.3263157 47.6612297, -122.326324 47.6612297, -122.3263242 47.6612097, -122.3263366 47.6612097, -122.3263371 47.6611527, -122.3263177 47.6611527, -122.326318 47.6611293, -122.3263366 47.6611294, -122.3263366 47.6611195, -122.3264261 47.6611198, -122.3264261 47.6611339, -122.3264442 47.661134))",POINT (-122.3263842 47.6611971),143.9,1549.1,7
,699,215906679.0,,yes,,,"POLYGON ((-122.3330109 47.6604012, -122.3331253 47.6603993, -122.3331273 47.6604554, -122.3331421 47.6604551, -122.3331428 47.6604745, -122.333127 47.6604748, -122.3331288 47.6605244, -122.3330154 47.6605263, -122.3330109 47.6604012))",POINT (-122.3330714 47.6604627),121.3,1306.0,6
,700,215906681.0,,yes,,,"POLYGON ((-122.3328521 47.6603697, -122.3329214 47.6603692, -122.3329222 47.6604151, -122.3329927 47.6604146, -122.3329945 47.6605224, -122.3328546 47.6605235, -122.3328521 47.6603697))",POINT (-122.3329173 47.6604557),151.8,1633.6,6
,701,215906683.0,,yes,,,"POLYGON ((-122.3328394 47.6605178, -122.3327115 47.660518, -122.3327112 47.6604027, -122.3327934 47.6604026, -122.3327933 47.6603704, -122.3328389 47.6603703, -122.3328394 47.6605178))",POINT (-122.332779 47.6604536),135.1,1454.4,6
,702,215906684.0,,yes,,,"POLYGON ((-122.3323909 47.6604954, -122.3323637 47.6604954, -122.3323637 47.6605012, -122.3322875 47.6605012, -122.3322875 47.660495, -122.3322484 47.660495, -122.3322484 47.6604303, -122.3322723 47.6604303, -122.3322723 47.6604244, -122.3323663 47.6604244, -122.3323663 47.6604306, -122.3323909 47.6604306, -122.3323909 47.6604954))",POINT (-122.3323199 47.6604624),85.4,919.6,6
,703,215906686.0,,yes,,,"POLYGON ((-122.3319706 47.6605255, -122.331969 47.6604424, -122.331975 47.6604423, -122.3319741 47.6603952, -122.3320364 47.6603946, -122.3320366 47.6604039, -122.332083 47.6604035, -122.3320843 47.6604703, -122.3321252 47.6604699, -122.3321263 47.6605241, -122.3319706 47.6605255))",POINT (-122.3320374 47.6604672),136.8,1472.7,6
,704,215906687.0,,yes,,,"POLYGON ((-122.3319077 47.6605292, -122.3317943 47.6605293, -122.3317943 47.6605086, -122.3317905 47.6605086, -122.3317904 47.6604124, -122.3318076 47.6604124, -122.3318076 47.6603954, -122.3319 47.6603954, -122.3319001 47.6604134, -122.3319075 47.6604134, -122.3319077 47.6605292))",POINT (-122.3318498 47.6604637),126.5,1362.0,6
,705,215906688.0,,yes,,,"POLYGON ((-122.3311082 47.6603782, -122.3312243 47.6603772, -122.3312262 47.6604759, -122.3312526 47.6604757, -122.3312532 47.6605083, -122.3311107 47.6605096, -122.3311082 47.6603782))",POINT (-122.3311714 47.660446),134.4,1446.4,6
,706,215906689.0,,yes,,,"POLYGON ((-122.3309474 47.660366, -122.3309833 47.6603654, -122.3309845 47.660397, -122.3310722 47.6603955, -122.3310766 47.6605103, -122.3309743 47.6605121, -122.3309737 47.6604972, -122.3309525 47.6604976, -122.3309474 47.660366))",POINT (-122.3310101 47.6604474),125.2,1347.9,6
,707,215906690.0,,yes,,,"POLYGON ((-122.3307684 47.6603716, -122.3308476 47.6603716, -122.3308476 47.6603918, -122.3309102 47.6603919, -122.3309101 47.6604254, -122.3309259 47.6604254, -122.3309259 47.6604627, -122.3309065 47.6604627, -122.3309064 47.6605142, -122.3307681 47.6605141, -122.3307684 47.6603716))",POINT (-122.3308383 47.6604465),162.1,1744.7,6
,708,215906691.0,,yes,,,"POLYGON ((-122.3307557 47.6604857, -122.3305924 47.6604837, -122.3305931 47.6604589, -122.3306076 47.6604591, -122.3306094 47.6603944, -122.3307014 47.6603955, -122.330701 47.6604084, -122.3307578 47.6604091, -122.3307557 47.6604857))",POINT (-122.3306776 47.6604431),108.1,1163.3,7
,709,215906692.0,,yes,,,"POLYGON ((-122.330363 47.6604905, -122.3303654 47.6603875, -122.330493 47.6603888, -122.3304921 47.6604262, -122.3305085 47.6604263, -122.3305077 47.6604596, -122.3304902 47.6604594, -122.3304889 47.6605135, -122.3303912 47.6605124, -122.3303917 47.6604908, -122.330363 47.6604905))",POINT (-122.330432 47.6604481),131.2,1412.4,7
,710,215906693.0,,yes,,,"POLYGON ((-122.3299488 47.661128, -122.329948 47.6611604, -122.3299748 47.6611607, -122.3299734 47.6612162, -122.329932 47.6612157, -122.3299317 47.6612289, -122.3298786 47.6612283, -122.3298784 47.6612333, -122.329807 47.6612325, -122.3298084 47.6611784, -122.3297865 47.6611781, -122.3297876 47.6611356, -122.329807 47.6611358, -122.3298071 47.661131, -122.32982 47.6611311, -122.3298202 47.6611265, -122.3299488 47.661128))",POINT (-122.3298796 47.6611782),138.6,1492.3,7
,711,215906694.0,,yes,,,"POLYGON ((-122.3298609 47.6605198, -122.3298654 47.6603925, -122.3299208 47.6603934, -122.3299202 47.6604087, -122.3299772 47.6604096, -122.3299732 47.6605216, -122.3298609 47.6605198))",POINT (-122.3299174 47.6604607),112.4,1209.5,7
,712,215906695.0,,yes,,,"POLYGON ((-122.3296379 47.6604936, -122.329636 47.6604084, -122.3296845 47.660408, -122.3296842 47.6603932, -122.3297484 47.6603925, -122.3297487 47.6604058, -122.329799 47.6604053, -122.3298006 47.6604791, -122.3297521 47.6604796, -122.3297524 47.6604924, -122.3296379 47.6604936))",POINT (-122.3297161 47.6604451),119.0,1280.8,7
,713,215906697.0,,yes,,,"POLYGON ((-122.3295327 47.6604884, -122.3293799 47.6604885, -122.3293798 47.660415, -122.3295327 47.660415, -122.3295327 47.6604884))",POINT (-122.3294563 47.6604517),93.5,1006.2,7
,714,215906698.0,,yes,,,"POLYGON ((-122.3293515 47.6604916, -122.3292406 47.6604922, -122.3292404 47.6604788, -122.3291493 47.6604793, -122.3291485 47.6604206, -122.3292178 47.6604202, -122.3292175 47.660403, -122.3292608 47.6604027, -122.329261 47.6604192, -122.3293505 47.6604187, -122.3293515 47.6604916))",POINT (-122.3292545 47.660451),118.0,1270.4,7
,715,215906700.0,,yes,,,"POLYGON ((-122.3283702 47.660377, -122.3285219 47.6603774, -122.3285215 47.660471, -122.3283698 47.6604706, -122.3283702 47.660377))",POINT (-122.3284458 47.660424),118.0,1270.6,7
First Church of the Nazarene,716,215906701.0,,place_of_worship,,,"POLYGON ((-122.3274408 47.6603596, -122.3278499 47.6603602, -122.3278473 47.6605096, -122.3278377 47.6605095, -122.3278338 47.6607295, -122.3274343 47.6607263, -122.3274398 47.6604156, -122.3274408 47.6603596))",POINT (-122.3276395 47.6605428),1239.2,13339.1,7
,717,215906703.0,,yes,,,"POLYGON ((-122.3286515 47.6603848, -122.3288 47.6603849, -122.3288 47.6604442, -122.3288366 47.6604442, -122.3288366 47.6605086, -122.3287749 47.6605085, -122.3287749 47.6605035, -122.3286716 47.6605035, -122.3286716 47.6604756, -122.3286282 47.6604756, -122.3286282 47.660394, -122.3286515 47.660394, -122.3286515 47.6603848))",POINT (-122.3287303 47.6604461),179.1,1927.6,7
,718,215906705.0,,yes,,,"POLYGON ((-122.3315028 47.6603963, -122.3317262 47.6603957, -122.3317275 47.6606364, -122.3315041 47.660637, -122.3315028 47.6603963))",POINT (-122.3316152 47.6605164),446.7,4808.6,6
,719,215906706.0,,yes,,,"POLYGON ((-122.3270861 47.6605598, -122.3268617 47.6605604, -122.3268613 47.6604778, -122.3270857 47.6604773, -122.3270861 47.6605598))",POINT (-122.3269737 47.6605188),154.6,1663.7,7
,720,215906707.0,,yes,,,"POLYGON ((-122.3321902 47.6606357, -122.3321908 47.6606073, -122.3321763 47.6606072, -122.3321768 47.6605824, -122.3321918 47.6605826, -122.3321922 47.660564, -122.3323589 47.6605656, -122.3323574 47.6606374, -122.3321902 47.6606357))",POINT (-122.332272 47.6606005),103.0,1109.2,6
,721,215906709.0,,yes,,,"POLYGON ((-122.338219 47.6605959, -122.3382198 47.6605124, -122.3383989 47.6605132, -122.3383981 47.6605967, -122.338219 47.6605959))",POINT (-122.3383089 47.6605545),125.1,1346.5,6
,722,215906710.0,,yes,,,"POLYGON ((-122.328492 47.6605183, -122.3284912 47.6606335, -122.3283703 47.6606332, -122.3283707 47.6605728, -122.3283608 47.6605728, -122.328361 47.6605548, -122.3283728 47.6605548, -122.3283731 47.6605179, -122.328492 47.6605183))",POINT (-122.3284306 47.6605758),116.7,1256.4,7
,723,215906712.0,,yes,,,"POLYGON ((-122.3375625 47.6605981, -122.3375648 47.6605086, -122.3377157 47.6605104, -122.3377156 47.6605156, -122.3377567 47.660516, -122.3377558 47.6605529, -122.3377158 47.6605524, -122.3377146 47.6605999, -122.3375625 47.6605981))",POINT (-122.3376491 47.6605523),126.7,1364.1,6
,724,215906714.0,,yes,,,"POLYGON ((-122.3341096 47.6606018, -122.3341114 47.66054, -122.3341298 47.6605403, -122.3341303 47.6605214, -122.334189 47.6605222, -122.3341885 47.6605393, -122.3343049 47.6605408, -122.3343042 47.6605635, -122.3343229 47.6605637, -122.3343218 47.6606012, -122.3343023 47.660601, -122.3343022 47.6606044, -122.3341096 47.6606018))",POINT (-122.3342093 47.660569),115.8,1246.5,6
,725,215906715.0,,yes,,,"POLYGON ((-122.33037 47.6606151, -122.3303714 47.660584, -122.3303874 47.6605842, -122.3303885 47.6605289, -122.3306333 47.6605313, -122.3306306 47.6606176, -122.33037 47.6606151))",POINT (-122.3305067 47.6605739),181.0,1947.7,7
,726,215906717.0,,yes,,,"POLYGON ((-122.3281301 47.6606346, -122.3279316 47.6606325, -122.3279336 47.6605492, -122.3279628 47.6605495, -122.3279629 47.6605439, -122.3281089 47.6605454, -122.3281084 47.6605636, -122.3281317 47.6605638, -122.3281301 47.6606346))",POINT (-122.3280305 47.6605904),142.2,1530.9,7
,727,215906718.0,,yes,,,"POLYGON ((-122.3319564 47.6605899, -122.3320937 47.6605907, -122.3320928 47.660665, -122.3319556 47.6606643, -122.3319564 47.6605899))",POINT (-122.3320246 47.6606275),85.0,914.7,6
,728,215906721.0,,yes,,,"POLYGON ((-122.3369542 47.6606644, -122.3369549 47.6605827, -122.3371507 47.6605836, -122.3371503 47.660629, -122.3371721 47.6606291, -122.3371717 47.6606654, -122.3369542 47.6606644))",POINT (-122.3370576 47.6606251),140.3,1509.6,6
,729,215906723.0,,yes,,,"POLYGON ((-122.328622 47.6605417, -122.3288102 47.6605408, -122.3288111 47.660623, -122.3287956 47.660623, -122.3287957 47.6606341, -122.3287052 47.6606346, -122.3287051 47.6606247, -122.3286934 47.6606248, -122.328693 47.6605867, -122.3286225 47.6605871, -122.328622 47.6605417))",POINT (-122.3287299 47.6605814),116.1,1250.2,7
,730,215906725.0,,yes,,,"POLYGON ((-122.3297541 47.6605914, -122.3298542 47.6605882, -122.3298517 47.6605541, -122.3299414 47.6605512, -122.3299446 47.6605964, -122.3299603 47.6605959, -122.3299631 47.6606346, -122.3299183 47.6606361, -122.3299189 47.6606449, -122.3298568 47.660647, -122.3298561 47.6606374, -122.3297721 47.6606402, -122.3297706 47.6606199, -122.3297562 47.6606204, -122.3297541 47.6605914))",POINT (-122.3298699 47.660604),111.3,1197.8,7
,731,215906726.0,,yes,,,"POLYGON ((-122.3327274 47.6606626, -122.3327292 47.6605861, -122.332992 47.660589, -122.3329902 47.6606655, -122.3327274 47.6606626))",POINT (-122.3328597 47.6606258),167.9,1807.5,6
,732,215906728.0,,yes,,,"POLYGON ((-122.3294274 47.6606479, -122.3292051 47.6606449, -122.3292057 47.6606243, -122.3291916 47.6606241, -122.3291926 47.6605909, -122.3291849 47.6605908, -122.3291858 47.6605581, -122.3292747 47.6605593, -122.3292745 47.6605641, -122.3294263 47.6605662, -122.3294261 47.660573, -122.3294584 47.6605735, -122.3294564 47.6606423, -122.3294276 47.660642, -122.3294274 47.6606479))",POINT (-122.3293211 47.6606042),181.1,1948.9,7
,733,215906730.0,,yes,,,"POLYGON ((-122.3347598 47.6606223, -122.3347604 47.660654, -122.3347795 47.6606538, -122.3347804 47.6606951, -122.3347561 47.6606953, -122.3347562 47.6607012, -122.3347234 47.6607015, -122.3347235 47.660708, -122.3346765 47.6607084, -122.3346763 47.6606976, -122.3345946 47.6606983, -122.3345931 47.6606238, -122.3347598 47.6606223))",POINT (-122.3346839 47.6606631),115.8,1246.0,6
