name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction
,477,59594007.0,,13,0,,secondary,0,-122.3185655,47.655078100000004,,,,0.0,0.0
,478,59594008.0,,13,0,,secondary,0,-122.31831650000001,47.6554159,,,,0.0,0.0
,479,59594009.0,,13,0,,secondary,0,-122.3180435,47.655803999999996,,,,0.0,0.0
,480,59594011.0,,13,0,,secondary,0,-122.31766670000002,47.6563201,,,,0.0,0.0
,481,59594017.0,,13,0,,secondary,0,-122.3178127,47.656544200000006,,,,0.0,0.0
,482,59594019.0,,13,0,,secondary,0,-122.3178529,47.656302200000006,,,,0.0,0.0
,483,59594020.0,,13,0,,secondary,0,-122.3179054,47.6561341,,,,0.0,0.0
,484,59594021.0,,13,0,,tertiary,0,-122.31761770000001,47.656250899999996,,,,0.0,0.0
,485,59594024.0,,13,0,,tertiary,0,-122.31813840000001,47.6561653,,,,0.0,0.0
,486,59594031.0,stop,13,0,,tertiary,0,-122.31836750000001,47.655559000000004,,,,0.0,0.0
,487,59594032.0,,13,0,,tertiary,0,-122.31837309999999,47.65539329999999,,,,0.0,0.0
,488,59594041.0,,13,0,,residential,0,-122.3187993,47.655814,,,,0.0,0.0
,489,59594042.0,,13,0,,secondary,0,-122.31820549999999,47.6554218,,,,0.0,0.0
,490,59594054.0,,13,0,,secondary,0,-122.3173961,47.65542979999999,,,,0.0,0.0
,491,59594055.0,,13,0,,tertiary,0,-122.3174692,47.655403,,,,0.0,0.0
,492,59594310.0,,13,0,,tertiary,0,-122.31741310000001,47.656027200000004,,,,0.0,0.0
,493,59594312.0,,13,0,,tertiary,0,-122.31704850000001,47.6560278,,,,0.0,0.0
,494,59594313.0,traffic_signals,13,1,,secondary,0,-122.31205779999999,47.655955600000006,,,,0.0,0.0
,495,59594314.0,traffic_signals,13,1,,tertiary,0,-122.3144088,47.6559852,,,,0.0,0.0
,496,59594315.0,traffic_signals,13,1,,tertiary,0,-122.31328700000002,47.655967,,,,0.0,0.0
,497,59594344.0,traffic_signals,13,1,,residential,0,-122.31559920000001,47.656004700000004,,,,0.0,0.0
,498,59594360.0,,7,0,,secondary,0,-122.3208297,47.660123399999996,,,,0.0,0.0
,499,59594361.0,,7,0,,motorway,0,-122.3209357,47.6620713,,,,0.0,0.0
,500,59699628.0,stop,12,0,,tertiary,0,-122.32568559999999,47.6556616,,,,0.0,0.0
,501,59699630.0,,12,0,,residential,0,-122.3255682,47.6555348,,,,0.0,0.0
,502,59710827.0,,10,0,,tertiary,0,-122.29209660000001,47.660320399999996,,,,0.0,0.0
,503,59711139.0,,8,0,,secondary,0,-122.3177066,47.6610443,,,,0.0,0.0
,504,59711142.0,,8,0,,secondary,0,-122.3174545,47.661676299999996,,,,0.0,0.0
,505,59711144.0,,8,0,,secondary,0,-122.31978240000001,47.661309,,,,0.0,0.0
,506,59711150.0,,9,0,,tertiary,0,-122.30465259999998,47.661812,,,,0.0,0.0
,507,59712532.0,,4,0,,residential,0,-122.3096043,47.666413299999995,,,,0.0,0.0
,508,59712533.0,,4,0,,tertiary,0,-122.30962360000001,47.66488629999999,,,,0.0,0.0
,509,59712534.0,,4,0,,residential,0,-122.3096742,47.663084999999995,,,,0.0,0.0
,510,59712558.0,,9,0,,secondary,0,-122.3089405,47.6612474,,,,0.0,0.0
,511,59712562.0,,4,0,,residential,0,-122.3077743,47.6630787,,,,0.0,0.0
,512,59712833.0,,3,0,,tertiary,0,-122.31021240000001,47.6648894,,,,0.0,0.0
,513,59712834.0,,3,0,,residential,0,-122.31029529999999,47.6630864,,,,0.0,0.0
,514,59712855.0,,3,0,,tertiary,0,-122.3113693,47.664894700000005,,,,0.0,0.0
,515,59713094.0,,3,0,,tertiary,0,-122.3136426,47.664905600000004,,,,0.0,0.0
,516,59713113.0,,8,0,,tertiary,0,-122.31491640000002,47.6598077,,,,0.0,0.0
,517,59713124.0,,3,0,,tertiary,0,-122.3158047,47.66492720000001,,,,0.0,0.0
,518,59713125.0,,3,0,,tertiary,0,-122.31582079999998,47.663107000000004,,,,0.0,0.0
,519,59713133.0,,8,0,,secondary,0,-122.31601859999999,47.6612964,,,,0.0,0.0
,520,59713144.0,,8,0,,secondary,0,-122.316927,47.6612987,,,,0.0,0.0
,521,59713256.0,crossing,19,0,,secondary,0,-122.30738590000001,47.650609499999995,,,,0.0,0.0
,522,59713262.0,,19,0,,secondary,0,-122.3066347,47.6505516,,,,0.0,0.0
,523,59713263.0,,19,0,,secondary,0,-122.3066676,47.6500721,,,,0.0,0.0
,524,59713403.0,,8,0,,secondary,0,-122.31898329999999,47.6613064,,,,0.0,0.0
,525,59713408.0,stop,13,0,,unclassified,0,-122.31676680000001,47.6549245,,,,0.0,0.0
,526,59713409.0,crossing,13,0,,unclassified,0,-122.3168098,47.6548366,,,,0.0,0.0
,527,59713412.0,,13,0,,unclassified,0,-122.31681429999999,47.65425220000001,,,,0.0,0.0
,528,59948317.0,,4,0,,primary,0,-122.30089960000001,47.6632925,,,,0.0,0.0
,529,59948337.0,,9,0,,primary,0,-122.30089209999998,47.6613832,,,,0.0,0.0
,530,59948338.0,,9,0,,primary,0,-122.3009034,47.660946700000004,,,,0.0,0.0
,531,59948458.0,traffic_signals,8,1,,secondary,0,-122.31197209999999,47.661267200000005,,,,0.0,0.0
,532,59996039.0,,6,0,,secondary,0,-122.33499340000002,47.6613684,,,,0.0,0.0
,533,59998103.0,,12,0,,residential,0,-122.32569609999999,47.654793700000006,,,,0.0,0.0
