poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
1,Hotel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
3,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,nightclub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
8,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
9,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
10,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
11,embassy,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,conference_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,government,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,parking_entrance,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,civic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
18,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
19,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,courthouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,college,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,0
27,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
28,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
29,Gym,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
31,church;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
33,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,part,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
40,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
41,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
42,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
43,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
45,convenience,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
46,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
