node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry,_zone_id
0,-96.7859412,43.4926499,50,50,0,,,,motorway,POINT (-96.7859412 43.4926499),-1.0
1,-96.7972108,43.4812239,50,50,0,,,,motorway,POINT (-96.7972108 43.4812239),-1.0
2,-96.762597,43.4983598,50,50,0,,,,motorway,POINT (-96.762597 43.4983598),-1.0
3,-96.7684085,43.4970702,50,50,0,,,,motorway,POINT (-96.7684085 43.4970702),-1.0
4,-96.7474976,43.494125,50,50,0,,,,tertiary,POINT (-96.7474976 43.494125),-1.0
5,-96.7574773,43.4942892,50,50,0,,,,tertiary,POINT (-96.7574773 43.4942892),-1.0
6,-96.7772054,43.4785454,50,50,0,,,,tertiary,POINT (-96.7772054 43.4785454),-1.0
7,-96.7714067,43.4780684,50,50,0,,,,tertiary,POINT (-96.7714067 43.4780684),-1.0
8,-96.7775785,43.4936768,50,50,0,,,,motorway,POINT (-96.7775785 43.4936768),-1.0
9,-96.7702666,43.4928965,50,50,0,,,,motorway,POINT (-96.7702666 43.4928965),-1.0
10,-96.7907936,43.4957493,50,50,0,,,,motorway,POINT (-96.7907936 43.4957493),-1.0
11,-96.7231127,43.4750089,50,50,0,,,,tertiary,POINT (-96.7231127 43.4750089),-1.0
12,-96.7210949,43.4750661,50,50,0,,,,tertiary,POINT (-96.7210949 43.4750661),-1.0
13,-96.723734,43.4896403,50,50,0,,,,secondary,POINT (-96.723734 43.4896403),-1.0
14,-96.7272353,43.4896494,50,50,0,signal,,,secondary,POINT (-96.7272353 43.4896494),-1.0
15,-96.7273982,43.4896503,50,50,0,,,,secondary,POINT (-96.7273982 43.4896503),-1.0
16,-96.7275967,43.4896435,50,50,0,,,,secondary,POINT (-96.7275967 43.4896435),-1.0
18,-96.787169,43.4753838,50,50,0,,,,tertiary,POINT (-96.787169 43.4753838),-1.0
19,-96.787169,43.4754545,50,50,0,,,,tertiary,POINT (-96.787169 43.4754545),-1.0
20,-96.7871864,43.4844493,50,50,0,,,,tertiary,POINT (-96.7871864 43.4844493),-1.0
21,-96.7908254,43.5002771,50,50,0,signal,,,secondary,POINT (-96.7908254 43.5002771),-1.0
22,-96.7925897,43.5002806,50,50,0,,,,secondary,POINT (-96.7925897 43.5002806),-1.0
23,-96.7578032,43.500347,50,50,0,,,,secondary,POINT (-96.7578032 43.500347),-1.0
24,-96.7658602,43.5003384,50,50,0,signal,,,secondary,POINT (-96.7658602 43.5003384),-1.0
25,-96.7707887,43.500342,50,50,0,signal,,,secondary,POINT (-96.7707887 43.500342),-1.0
26,-96.7709314,43.500342,50,50,0,,,,secondary,POINT (-96.7709314 43.500342),-1.0
27,-96.7710314,43.5003398,50,50,0,,,,secondary,POINT (-96.7710314 43.5003398),-1.0
28,-96.7311006,43.5002926,50,50,0,,,,secondary,POINT (-96.7311006 43.5002926),-1.0
29,-96.7312954,43.5002859,50,50,0,signal,,,secondary,POINT (-96.7312954 43.5002859),-1.0
30,-96.7480082,43.500364,50,50,0,signal,,,secondary,POINT (-96.7480082 43.500364),-1.0
31,-96.7597852,43.489783,50,50,0,,,,secondary,POINT (-96.7597852 43.489783),-1.0
32,-96.7638934,43.4898236,50,50,0,,,,tertiary,POINT (-96.7638934 43.4898236),-1.0
35,-96.826311,43.490064,50,50,0,,,,tertiary,POINT (-96.826311 43.490064),-1.0
37,-96.7310613,43.5001427,50,50,0,signal,,,primary,POINT (-96.7310613 43.5001427),-1.0
38,-96.7294419,43.4980973,50,50,0,signal,,,primary,POINT (-96.7294419 43.4980973),-1.0
39,-96.7293142,43.4979747,50,50,0,,,,primary,POINT (-96.7293142 43.4979747),-1.0
40,-96.7291979,43.4978661,50,50,0,signal,,,primary,POINT (-96.7291979 43.4978661),-1.0
41,-96.7286317,43.497345,50,50,0,,,,primary,POINT (-96.7286317 43.497345),-1.0
42,-96.7567405,43.5005856,50,50,0,,,,motorway,POINT (-96.7567405 43.5005856),-1.0
43,-96.7865972,43.4920529,50,50,0,,,,motorway,POINT (-96.7865972 43.4920529),-1.0
44,-96.727597,43.4897802,50,50,0,signal,,,primary,POINT (-96.727597 43.4897802),-1.0
45,-96.7275959,43.4895347,50,50,0,,,,primary,POINT (-96.7275959 43.4895347),-1.0
46,-96.7275957,43.4862043,50,50,0,,,,primary,POINT (-96.7275957 43.4862043),-1.0
48,-96.7672937,43.4644226,50,50,0,,,,secondary,POINT (-96.7672937 43.4644226),-1.0
49,-96.767389,43.4685934,50,50,0,,,,secondary,POINT (-96.767389 43.4685934),-1.0
50,-96.7673822,43.4667347,50,50,0,,,,secondary,POINT (-96.7673822 43.4667347),-1.0
51,-96.7077012,43.4912296,50,50,0,,,,secondary,POINT (-96.7077012 43.4912296),-1.0
52,-96.707688,43.496051,50,50,0,,,,secondary,POINT (-96.707688 43.496051),-1.0
54,-96.7076804,43.469183,50,50,0,,,,secondary,POINT (-96.7076804 43.469183),-1.0
55,-96.7638957,43.4897098,50,50,0,,,,tertiary,POINT (-96.7638957 43.4897098),-1.0
