poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
2,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,university;yes,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
4,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
5,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
6,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
7,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,childcare,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
12,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
13,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
15,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
18,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
19,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,smoking_area,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
23,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,0,1
24,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,0
26,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
27,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
28,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
29,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,bleachers,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
33,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
34,motorcycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
35,ice_cream,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
37,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
38,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
40,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
42,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
43,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
44,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
