name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
K Street Northwest,0,6051343,410,284,,39.13146938491557,2,39,,primary,3,"LINESTRING (-77.0496361 38.9021712, -77.0494521 38.9022419, -77.0493527 38.9023016, -77.0493395 38.9023095, -77.0492507 38.9023528)",auto,0
12th Street Northwest,1,6052416,582,6,,70.90842922363123,1,29,,tertiary,5,"LINESTRING (-77.02789919999999 38.8916, -77.0279 38.891801, -77.027896 38.891859, -77.02788030000001 38.8919243, -77.027854 38.891948, -77.02781400000001 38.891984, -77.0277 38.892037, -77.027546 38.8920871)",auto,0
,2,6052475,7,194,,33.508952497389515,1,39,,primary,3,"LINESTRING (-77.0486234 38.8962602, -77.04856270000001 38.8961674, -77.0485681 38.8961048, -77.04859759999999 38.8960651, -77.0486808 38.8960046)",auto,0
K Street Northwest,3,6052709,412,263,,35.37019269587155,2,39,,primary,3,"LINESTRING (-77.0506311 38.9028884, -77.0507775 38.9028158, -77.050853 38.9027761, -77.0509723 38.9027133)",auto,0
L Street Northwest,4,6052882,10,11,,53.40154600281147,1,29,,tertiary,5,"LINESTRING (-77.0270245 38.9041663, -77.02720069999999 38.9041652, -77.02740369999999 38.9041639, -77.0276415 38.9041698)",auto,0
E Street Expressway,5,6052895,181,178,,146.74699822539498,2,59,,motorway,1,"LINESTRING (-77.04491659999999 38.8959783, -77.04497189999999 38.8959516, -77.0450246 38.8959332, -77.045159 38.8959004, -77.04551309999999 38.8958293, -77.0458484 38.895775, -77.0461032 38.8957499, -77.0463177 38.8957416, -77.04656989999999 38.8957395)",auto,0
K Street Northwest,6,6053339,583,13,,38.93662720352591,2,39,,primary,3,"LINESTRING (-77.05119999999999 38.902405, -77.0510562 38.9024056, -77.05091179999999 38.9023932, -77.0509017 38.9023923, -77.0507556 38.9023635)",auto,0
,7,6053418,303,189,,41.23854467781247,1,39,,secondary,4,"LINESTRING (-77.0428946 38.9000083, -77.042872 38.900044, -77.04284199999999 38.900082, -77.04278770000001 38.900129, -77.04271199999999 38.900165, -77.042659 38.900181, -77.0425221 38.9002083)",auto,0
21st Street Northwest,8,6053702,16,17,,158.66640125100147,2,29,,tertiary,5,"LINESTRING (-77.04666779999999 38.8920897, -77.04667240000001 38.8927426, -77.0466759 38.8932431, -77.0466778 38.8935166)",auto,1
21st Street Northwest,9,6053702,17,16,,158.6664012510015,2,29,,tertiary,5,"LINESTRING (-77.0466778 38.8935166, -77.0466759 38.8932431, -77.04667240000001 38.8927426, -77.04666779999999 38.8920897)",auto,1
