x_coord,y_coord,zone_id
-110.970085,32.22493,1
-110.97007,32.223598,2
-110.967941,32.222775,3
-110.967323,32.223721,4
-110.966293,32.221649,5
-110.967834,32.221626,6
-110.969772,32.221519,7
-110.971771,32.221424,8
-110.969902,32.222557,9
-110.971878,32.222301,10
-110.972137,32.223492,11
-110.97242,32.22467,12
-110.973267,32.227165,13
-110.967102,32.225372,14
-110.974426,32.224819,15
-110.974403,32.222599,16
-110.978783,32.223518,17
-110.977768,32.219406,18
-110.974236,32.219124,19
-110.971581,32.218998,20
-110.969498,32.217243,21
-110.967018,32.217278,22
-110.96405,32.216122,23
-110.959862,32.214985,24
-110.971954,32.214622,25
-110.976318,32.214592,26
-110.977104,32.2094,27
-110.971581,32.209415,28
-110.966965,32.209438,29
-110.964592,32.209423,30
-110.958603,32.209679,31
-110.953171,32.210827,32
-110.946594,32.208237,33
-110.942513,32.211891,34
-110.951874,32.21545,35
-110.962563,32.22575,36
-110.962593,32.232216,37
-110.97023,32.232914,38
-110.974831,32.232307,39
-110.980095,32.230858,40
-110.958115,32.22974,41
-110.953232,32.230072,42
-110.947212,32.23056,43
-110.946068,32.233849,44
-110.952309,32.232861,45
-110.958122,32.233864,46
-110.955727,32.239571,47
-110.946411,32.239651,48
-110.948196,32.246456,49
-110.955986,32.246399,50
-110.965645,32.237755,51
-110.974876,32.237774,52
-110.974953,32.244904,53
-110.970261,32.245098,54
-110.965729,32.244701,55
-110.948723,32.21917,56
-110.939873,32.217674,57
-110.947334,32.224518,58
-110.955223,32.224594,59
-110.936134,32.026775,60
-110.946724,32.027565,61
-110.940758,32.050255,62
-110.93734,32.040127,63
-110.946152,32.041367,64
-110.935165,32.015995,65
-110.816589,32.081871,66
-110.832588,32.09005,67
-110.845207,32.188351,68
-110.844475,32.200027,69
-110.853012,32.199139,70
-110.689888,32.024048,71
-110.703339,32.076504,72
-110.705063,32.093685,73
-110.72683,32.086082,74
-110.7257,32.078629,75
-110.729179,32.094978,76
-110.717529,32.06036,77
-110.728683,32.110825,78
-110.724838,32.041546,79
-110.727905,32.060516,80
-110.73571,32.10693,81
-110.727798,32.122814,82
-110.738167,32.088551,83
-110.735794,32.025684,84
-110.739868,32.098522,85
-110.73999,32.081512,86
-110.738304,32.056286,87
-110.743858,32.121342,88
-110.745682,32.111618,89
-110.749123,32.12421,90
-110.750023,32.129921,91
-110.751053,32.103298,92
-110.752243,32.140972,93
-110.746628,32.206688,94
-110.746834,32.231518,95
-110.750931,32.090023,96
-110.745323,32.073265,97
-110.759758,32.144409,98
-110.760056,32.137566,99
-110.759735,32.130032,100
-110.758675,32.115788,101
-110.759651,32.123055,102
-110.757401,32.151604,103
-110.741684,32.148163,104
-110.763733,32.258274,105
-110.760117,31.983316,106
-110.768295,32.144375,107
-110.76049,32.246387,108
-110.768349,32.137188,109
-110.768394,32.129993,110
-110.768402,32.15308,111
-110.759804,32.089848,112
-110.762199,32.08112,113
-110.76844,32.122688,114
-110.763885,32.107094,115
-110.764198,32.198875,116
-110.76413,32.098274,117
-110.764191,32.213638,118
-110.755646,32.186653,119
-110.763947,32.228119,120
-110.768471,32.115429,121
-110.766991,32.169937,122
-110.764839,32.159286,123
-110.759155,32.064144,124
-110.751755,32.03326,125
-110.760895,32.010956,126
-110.760353,32.0238,127
-110.760773,31.997833,128
-110.767548,32.048569,129
-110.777016,32.226395,130
-110.776344,32.21719,131
-110.777008,32.209965,132
-110.776871,32.186462,133
-110.778366,32.125202,134
-110.777321,32.111446,135
-110.777,32.241875,136
-110.77697,32.202755,137
-110.777016,32.142746,138
-110.780411,32.167206,139
-110.781296,32.179928,140
-110.785492,32.186619,141
-110.783058,32.197933,142
-110.785805,32.23864,143
-110.784927,32.224754,144
-110.78553,32.209946,145
-110.784813,32.231754,146
-110.784958,32.217293,147
-110.780602,32.157425,148
-110.781136,32.151844,149
-110.781647,32.138565,150
-110.783958,32.083389,151
-110.781555,32.071472,152
-110.783501,32.058048,153
-110.781731,32.100002,154
-110.786392,32.125652,155
-110.784531,31.983416,156
-110.787407,32.114513,157
-110.785416,31.997871,158
-110.793777,32.227161,159
-110.794029,32.213627,160
-110.783554,32.260345,161
-110.795349,32.272381,162
-110.793938,32.109146,163
-110.789551,32.096512,164
-110.797043,32.090275,165
-110.797508,32.080956,166
-110.802567,32.21727,167
-110.798866,32.245781,168
-110.803452,32.21014,169
-110.798286,32.239513,170
-110.802483,32.229866,171
-110.798355,32.170116,172
-110.796707,32.195229,173
-110.79969,32.062904,174
-110.800148,32.038113,175
-110.791138,32.019554,176
-110.798576,32.202579,177
-110.796585,32.184517,178
-110.802513,32.181648,179
-110.809013,32.219185,180
-110.812965,32.188229,181
-110.810196,32.210052,182
-110.810791,32.216377,183
-110.81134,32.180916,184
-110.809959,32.239113,185
-110.811836,32.23196,186
-110.812561,32.225838,187
-110.804893,32.115116,188
-110.805855,31.997135,189
-110.808449,31.985039,190
-110.790894,32.250225,191
-110.81089,32.249649,192
-110.81871,32.210052,193
-110.820381,32.231262,194
-110.817162,32.246529,195
-110.819794,32.180969,196
-110.819267,32.216404,197
-110.819557,32.224606,198
-110.819016,32.188168,199
-110.81543,32.170166,200
-110.818474,32.239189,201
-110.807701,32.266644,202
-110.811783,32.199413,203
-110.817047,32.039936,204
-110.816757,32.055477,205
-110.819206,32.197067,206
-110.816711,32.068485,207
-110.809807,32.091343,208
-110.825478,32.249775,209
-110.823952,32.202835,210
-110.825485,32.210617,211
-110.826126,32.216812,212
-110.827065,32.224705,213
-110.829727,32.256199,214
-110.828056,32.181015,215
-110.830284,32.213772,216
-110.82814,32.188305,217
-110.828178,32.239231,218
-110.828156,32.246819,219
-110.825294,32.104336,220
-110.828804,32.198318,221
-110.823982,31.998602,222
-110.821632,32.010674,223
-110.820663,32.020065,224
-110.827919,32.229443,225
-110.83239,32.170135,226
-110.827431,32.131859,227
-110.829819,31.983559,228
-110.830276,32.153088,229
-110.837166,32.172916,230
-110.836594,32.181042,231
-110.836708,32.217785,232
-110.836678,32.188335,233
-110.838081,32.199417,234
-110.8367,32.210171,235
-110.833855,32.225784,236
-110.836868,32.23148,237
-110.833405,32.068512,238
-110.830605,32.123184,239
-110.834717,32.102531,240
-110.836487,32.239162,241
-110.834717,32.111397,242
-110.823715,32.264053,243
-110.835587,32.2477,244
-110.835518,32.258957,245
-110.833328,32.056229,246
-110.845062,32.213882,247
-110.845284,32.228344,248
-110.843857,32.247749,249
-110.850517,32.239719,250
-110.849747,32.244766,251
-110.849525,32.181026,252
-110.85376,32.18837,253
-110.85553,32.239628,254
-110.855217,32.247673,255
-110.850883,32.22823,256
-110.850731,32.115498,257
-110.850693,32.130875,258
-110.850327,32.145752,259
-110.849678,32.121017,260
-110.85006,32.099953,261
-110.849182,32.082375,262
-110.853271,32.214371,263
-110.856689,32.245232,264
-110.84288,32.066841,265
-110.846649,32.01075,266
-110.84977,32.056953,267
-110.846626,31.998117,268
-110.835205,32.039536,269
-110.850548,32.04237,270
-110.846794,32.023285,271
-110.849876,31.977093,272
-110.855286,32.251095,273
-110.862244,32.203362,274
-110.862228,32.195972,275
-110.862289,32.252758,276
-110.862297,32.247021,277
-110.86232,32.232521,278
-110.862305,32.23975,279
-110.862953,32.124973,280
-110.862747,32.219414,281
-110.862259,32.225292,282
-110.866547,32.083946,283
-110.852585,32.259224,284
-110.870819,32.203339,285
-110.870819,32.196022,286
-110.866608,32.212673,287
-110.871658,32.263191,288
-110.870941,32.254333,289
-110.870949,32.225285,290
-110.871094,32.232555,291
-110.870995,32.239773,292
-110.871201,32.246941,293
-110.867134,32.067017,294
-110.86689,32.051346,295
-110.867706,32.037025,296
-110.867851,32.026733,297
-110.871933,32.019997,298
-110.867859,32.012806,299
-110.867828,32.005493,300
-110.864914,32.137547,301
-110.877647,32.247082,302
-110.879585,32.218063,303
-110.87941,32.203304,304
-110.879608,32.2253,305
-110.879761,32.232586,306
-110.879784,32.23983,307
-110.881989,32.247059,308
-110.879753,32.256702,309
-110.883347,32.253014,310
-110.868652,32.127647,311
-110.88591,32.225285,312
-110.886154,32.232559,313
-110.88398,32.263466,314
-110.882835,32.125202,315
-110.88298,32.104706,316
-110.883598,32.083164,317
-110.887718,32.218033,318
-110.883713,32.210678,319
-110.888023,32.203339,320
-110.890121,32.225216,321
-110.890335,32.265942,322
-110.888672,32.259594,323
-110.883842,32.196072,324
-110.890755,32.232578,325
-110.884064,32.273853,326
-110.888351,32.239834,327
-110.889359,32.255539,328
-110.88839,32.247051,329
-110.884499,32.067715,330
-110.885002,32.02684,331
-110.885025,32.019707,332
-110.884674,32.05164,333
-110.885071,32.012775,334
-110.87545,31.996416,335
-110.885094,32.00544,336
-110.896591,32.217911,337
-110.896599,32.203388,338
-110.896584,32.210999,339
-110.896667,32.196758,340
-110.898018,32.269756,341
-110.896736,32.260563,342
-110.896744,32.225193,343
-110.896851,32.23254,344
-110.896889,32.239799,345
-110.896942,32.247047,346
-110.896904,32.25425,347
-110.897339,32.158924,348
-110.901237,32.145683,349
-110.903709,32.152142,350
-110.873199,32.167267,351
-110.905037,32.197399,352
-110.904343,32.140503,353
-110.905128,32.20187,354
-110.905212,32.205196,355
-110.905266,32.225204,356
