zone_id,x_coord,y_coord
17.0,-112.3170194,33.4628412
35.0,-112.349735,33.300492
36.0,-112.3924678,33.3046205
498.0,-112.27685,33.4719714
664.0,-112.284971,33.4936695
884.0,-112.3575237,33.4066674
885.0,-112.3572448,33.4022608
894.0,-112.3405363,33.4087104
895.0,-112.3496025,33.4208087
905.0,-112.3416575,33.4208283
1065.0,-112.3530768,33.4454407
1073.0,-112.3548534,33.4444123
1315.0,-112.334497,33.4389486
1388.0,-112.3414261,33.4579764
1391.0,-112.3414103,33.4576891
1429.0,-112.3340626,33.435504
1459.0,-112.3249913,33.4205533
1487.0,-112.3322238,33.4206273
1586.0,-112.3036435,33.4435324
1595.0,-112.3047966,33.4443771
1611.0,-112.3050541,33.4440459
1647.0,-112.3147673,33.3958336
1658.0,-112.306142,33.3885934
1660.0,-112.310084,33.3774779
1701.0,-112.2723005,33.4614653
1702.0,-112.2723011,33.4617067
1706.0,-112.2694047,33.4629896
1721.0,-112.2984718,33.4547111
1834.0,-112.2895401,33.4173366
1860.0,-112.266217,33.4542362
1866.0,-112.3578925,33.4253617
2192.0,-112.2819119,33.4719022
2194.0,-112.2833878,33.4718746
2195.0,-112.2812236,33.4746144
2197.0,-112.28397,33.4718573
2199.0,-112.2850486,33.4718307
2337.0,-112.357851,33.4222614
2509.0,-112.3198208,33.3644455
2510.0,-112.3191233,33.3644334
2514.0,-112.3187884,33.3645352
2565.0,-112.3067014,33.3728196
2566.0,-112.3073282,33.3791165
2567.0,-112.3061237,33.3818971
2575.0,-112.2890243,33.4309324
2576.0,-112.2876121,33.4247976
2578.0,-112.2882505,33.4235618
2580.0,-112.2873881,33.4325797
3017.0,-112.3139138,33.4304223
3169.0,-112.3322507,33.4151724
3446.0,-112.3301425,33.4492575
3450.0,-112.3379142,33.4470777
3455.0,-112.3395225,33.437673
3486.0,-112.3394167,33.4432466
3498.0,-112.3397957,33.4432786
3501.0,-112.3379088,33.4464466
3562.0,-112.3225728,33.4990379
3569.0,-112.3088406,33.4930811
3578.0,-112.3031865,33.4841645
3590.0,-112.3117237,33.4884619
3591.0,-112.3049215,33.4992341
3593.0,-112.3162092,33.4790692
3688.0,-112.3140061,33.4665653
3692.0,-112.2774808,33.4775323
3707.0,-112.3139929,33.4674632
3708.0,-112.2724956,33.4766694
3835.0,-112.27568,33.4655599
3900.0,-112.2772816,33.4656368
4018.0,-112.27254,33.4679055
4090.0,-112.2725526,33.45701
4109.0,-112.2780716,33.4498657
4111.0,-112.2725331,33.4547087
4117.0,-112.2830049,33.4496524
4139.0,-112.289096,33.451892
4143.0,-112.2725239,33.4527337
4145.0,-112.275958,33.4593375
4148.0,-112.2725567,33.4564234
4162.0,-112.2814073,33.4496671
4173.0,-112.2768163,33.4486394
4180.0,-112.2790864,33.4486222
4187.0,-112.2801522,33.4484315
4221.0,-112.2725518,33.4555024
4238.0,-112.2736435,33.4604477
4243.0,-112.274051,33.4605067
4245.0,-112.2740241,33.4601673
4246.0,-112.2736639,33.4602312
4252.0,-112.2740001,33.4603358
4425.0,-112.3189751,33.4931748
4431.0,-112.3454257,33.4560907
4563.0,-112.2983389,33.4365533
4566.0,-112.3025248,33.4399961
4573.0,-112.3242268,33.4613026
4578.0,-112.3294785,33.4601591
4587.0,-112.3203268,33.4610878
4597.0,-112.3208686,33.4611639
4617.0,-112.3363828,33.4936823
4619.0,-112.337981,33.4938642
4621.0,-112.33986,33.4945551
4639.0,-112.2812042,33.4756154
4691.0,-112.2897503,33.4621981
4693.0,-112.2907027,33.4677745
4740.0,-112.3228692,33.3803105
4777.0,-112.3138435,33.4606027
4851.0,-112.3354169,33.432143
4874.0,-112.3405855,33.4227446
4884.0,-112.3369869,33.4317569
4887.0,-112.336912,33.4318347
4919.0,-112.3309825,33.4499927
4920.0,-112.3294679,33.4357907
4930.0,-112.3264831,33.5002609
4950.0,-112.306128,33.3917736
4975.0,-112.2913832,33.437692
4996.0,-112.2902159,33.4426935
4997.0,-112.293794,33.4368984
5034.0,-112.3123262,33.4633426
5037.0,-112.3132226,33.4637387
5093.0,-112.3167391,33.4411603
5098.0,-112.3182949,33.4463683
5099.0,-112.3280543,33.4362615
5132.0,-112.2726366,33.4686032
5139.0,-112.3563594,33.4353418
5155.0,-112.4161902,33.3197184
5156.0,-112.2021222,33.0720192
5170.0,-112.2898544,33.4662241
5201.0,-112.358282,33.4461994
5267.0,-112.3058801,33.4454226
5273.0,-112.3051918,33.4455722
5277.0,-112.3053964,33.4451142
5310.0,-112.3339103,33.4627278
5314.0,-112.3347164,33.4637742
5315.0,-112.335247,33.4632815
5331.0,-112.3140736,33.4871846
5332.0,-112.3110155,33.4863819
5334.0,-112.3368911,33.4413389
5339.0,-112.3368938,33.4418704
5340.0,-112.3385777,33.4415905
5375.0,-112.3201174,33.4498008
5377.0,-112.3197542,33.4498015
5384.0,-112.2685989,33.4651429
5419.0,-112.272452,33.4622847
5433.0,-112.2725155,33.4518657
5437.0,-112.2768528,33.4719448
5444.0,-112.3622136,33.4839251
5448.0,-112.2979325,33.4496689
5470.0,-112.3536303,33.4244813
5490.0,-112.3252377,33.4883537
5538.0,-112.3393345,33.4503895
5564.0,-112.2985137,33.4569969
5565.0,-112.2766832,33.4719114
5566.0,-112.2725273,33.4719587
5583.0,-112.3532567,33.4788596
5588.0,-112.3066591,33.372456
5590.0,-112.3665406,33.3754408
5592.0,-112.3106241,33.378226
5594.0,-112.3101287,33.3775522
5597.0,-112.3100405,33.3773919
5598.0,-112.3113074,33.377148
5608.0,-112.3430263,33.4717972
5613.0,-112.3338883,33.4635178
5620.0,-112.3450872,33.3736023
5622.0,-112.3489567,33.3700376
5629.0,-112.29812,33.4864077
5634.0,-112.3063936,33.4929174
5678.0,-112.3023131,33.4460704
5703.0,-112.3587041,33.4858855
5712.0,-112.272464,33.4937829
5723.0,-112.2726606,33.467176
5727.0,-112.2726246,33.4629197
5741.0,-112.272503,33.4648042
5750.0,-112.272516,33.4502689
5828.0,-112.290247,33.4936419
5840.0,-112.3239443,33.5048001
5842.0,-112.3230626,33.4932207
5958.0,-112.3417218,33.4642204
5961.0,-112.3420505,33.4643485
5968.0,-112.342165,33.4572872
6015.0,-112.3409591,33.4939992
6058.0,-112.3590789,33.485961
6083.0,-112.2899912,33.4621868
6092.0,-112.2982421,33.4082556
6096.0,-112.3020692,33.4193892
6114.0,-112.3538449,33.4243186
6120.0,-112.3537483,33.4210535
6122.0,-112.352598,33.4247036
6125.0,-112.3109001,33.4579348
6126.0,-112.2822317,33.471874
6134.0,-112.3559542,33.4124524
6140.0,-112.3539541,33.4485961
6145.0,-112.3542089,33.40915
6148.0,-112.3005195,33.408668
6160.0,-112.335114,33.486124
6165.0,-112.33232,33.488343
6166.0,-112.3383559,33.493162
6169.0,-112.3407036,33.4897984
6171.0,-112.340593,33.484797
