zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-77.05076815167243,38.90348927208389,"POLYGON ((-77.05336 38.90299,-77.05336 38.9061,-77.05024999999999 38.9061,-77.05024999999999 38.90299,-77.05336 38.90299))",POINT (-77.05076815167243 38.90348927208389),33,74.257419232896,112.77613718275839
2,A2,-77.048938184649,38.903642550967575,"POLYGON ((-77.05024999999999 38.90299,-77.05024999999999 38.9061,-77.04713999999998 38.9061,-77.04713999999998 38.90299,-77.05024999999999 38.90299))",POINT (-77.048938184649 38.903642550967575),28,356.5582563129984,422.5616830090561
3,A3,-77.04558837191725,38.90379476059757,"POLYGON ((-77.04713999999998 38.90299,-77.04713999999998 38.9061,-77.04402999999998 38.9061,-77.04402999999998 38.90299,-77.04713999999998 38.90299))",POINT (-77.04558837191725 38.90379476059757),17,343.44921275415044,452.1008347498369
4,A4,-77.0425056987466,38.903831521650595,"POLYGON ((-77.04402999999998 38.90299,-77.04402999999998 38.9061,-77.04091999999997 38.9061,-77.04091999999997 38.90299,-77.04402999999998 38.90299))",POINT (-77.0425056987466 38.903831521650595),17,296.30854875433596,325.97651221087347
5,A5,-77.03945641548005,38.90379483679861,"POLYGON ((-77.04091999999997 38.90299,-77.04091999999997 38.9061,-77.03780999999996 38.9061,-77.03780999999996 38.90299,-77.04091999999997 38.90299))",POINT (-77.03945641548005 38.90379483679861),15,327.758273063296,284.6569494275584
6,A6,-77.03653857127237,38.903871833788344,"POLYGON ((-77.03780999999996 38.90299,-77.03780999999996 38.9061,-77.03469999999996 38.9061,-77.03469999999996 38.90299,-77.03780999999996 38.90299))",POINT (-77.03653857127237 38.903871833788344),18,380.42401997969915,433.3245062541056
7,A7,-77.03331076595784,38.90380665514652,"POLYGON ((-77.03469999999996 38.90299,-77.03469999999996 38.9061,-77.03158999999995 38.9061,-77.03158999999995 38.90299,-77.03469999999996 38.90299))",POINT (-77.03331076595784 38.90380665514652),19,232.2206029696,232.2206029696
8,A8,-77.03013630828937,38.90389658928228,"POLYGON ((-77.03158999999995 38.90299,-77.03158999999995 38.9061,-77.02847999999994 38.9061,-77.02847999999994 38.90299,-77.03158999999995 38.90299))",POINT (-77.03013630828937 38.90389658928228),18,282.41190987152,282.41190987152
9,A9,-77.02701589926838,38.904015843680035,"POLYGON ((-77.02847999999994 38.90299,-77.02847999999994 38.9061,-77.02536999999994 38.9061,-77.02536999999994 38.90299,-77.02847999999994 38.90299))",POINT (-77.02701589926838 38.904015843680035),18,144.21314931353595,171.96339296538878
10,A10,-77.02423419810269,38.904210039226065,"POLYGON ((-77.02536999999994 38.90299,-77.02536999999994 38.9061,-77.02225999999993 38.9061,-77.02225999999993 38.90299,-77.02536999999994 38.90299))",POINT (-77.02423419810269 38.904210039226065),9,233.871356268544,233.871356268544
11,A11,-77.02061687931105,38.90396303785895,"POLYGON ((-77.02225999999993 38.90299,-77.02225999999993 38.9061,-77.01914999999993 38.9061,-77.01914999999993 38.90299,-77.02225999999993 38.90299))",POINT (-77.02061687931105 38.90396303785895),41,170.390656489024,303.9186764627776
12,A12,-77.0186183030645,38.90406879855337,"POLYGON ((-77.01914999999993 38.90299,-77.01914999999993 38.9061,-77.01603999999992 38.9061,-77.01603999999992 38.90299,-77.01914999999993 38.90299))",POINT (-77.0186183030645 38.90406879855337),8,132.36945724176002,132.36945724176002
13,B1,-77.05083329253452,38.90217872967378,"POLYGON ((-77.05336 38.89988,-77.05336 38.90299,-77.05024999999999 38.90299,-77.05024999999999 38.89988,-77.05336 38.89988))",POINT (-77.05083329253452 38.90217872967378),3,82.91325007278718,14.973352840128001
14,B2,-77.04893870972393,38.901886169781484,"POLYGON ((-77.05024999999999 38.89988,-77.05024999999999 38.90299,-77.04713999999998 38.90299,-77.04713999999998 38.89988,-77.05024999999999 38.89988))",POINT (-77.04893870972393 38.901886169781484),38,491.9630071206335,804.4028040846463
15,B3,-77.04551286794695,38.9017449062187,"POLYGON ((-77.04713999999998 38.89988,-77.04713999999998 38.90299,-77.04402999999998 38.90299,-77.04402999999998 38.89988,-77.04713999999998 38.89988))",POINT (-77.04551286794695 38.9017449062187),40,596.9975784850561,583.7347401744129
16,B4,-77.04249132341657,38.901692904986206,"POLYGON ((-77.04402999999998 38.89988,-77.04402999999998 38.90299,-77.04091999999997 38.90299,-77.04091999999997 38.89988,-77.04402999999998 38.89988))",POINT (-77.04249132341657 38.901692904986206),27,499.7637206266176,642.9050212703423
17,B5,-77.03938274085218,38.901430882987846,"POLYGON ((-77.04091999999997 38.89988,-77.04091999999997 38.90299,-77.03780999999996 38.90299,-77.03780999999996 38.89988,-77.04091999999997 38.89988))",POINT (-77.03938274085218 38.901430882987846),34,558.1911842658432,405.9972196975104
18,B6,-77.03638023411698,38.90170559979933,"POLYGON ((-77.03780999999996 38.89988,-77.03780999999996 38.90299,-77.03469999999996 38.90299,-77.03469999999996 38.89988,-77.03780999999996 38.89988))",POINT (-77.03638023411698 38.90170559979933),31,666.3521872254976,260.76695619854723
19,B7,-77.0330130085407,38.901715849099965,"POLYGON ((-77.03469999999996 38.89988,-77.03469999999996 38.90299,-77.03158999999995 38.90299,-77.03158999999995 38.89988,-77.03469999999996 38.89988))",POINT (-77.0330130085407 38.901715849099965),28,402.944940681024,402.944940681024
20,B8,-77.0297926309252,38.901334313551054,"POLYGON ((-77.03158999999995 38.89988,-77.03158999999995 38.90299,-77.02847999999994 38.90299,-77.02847999999994 38.89988,-77.03158999999995 38.89988))",POINT (-77.0297926309252 38.901334313551054),22,462.55509973935995,462.5766167962496
21,B9,-77.02700149476661,38.901566854250994,"POLYGON ((-77.02847999999994 38.89988,-77.02847999999994 38.90299,-77.02536999999994 38.90299,-77.02536999999994 38.89988,-77.02847999999994 38.89988))",POINT (-77.02700149476661 38.901566854250994),24,446.85318085989763,372.46403289152636
22,B10,-77.02366533163564,38.901058531529266,"POLYGON ((-77.02536999999994 38.89988,-77.02536999999994 38.90299,-77.02225999999993 38.90299,-77.02225999999993 38.89988,-77.02536999999994 38.89988))",POINT (-77.02366533163564 38.901058531529266),23,561.5552830027073,608.819635096928
23,B11,-77.02036977523406,38.900870539586286,"POLYGON ((-77.02225999999993 38.89988,-77.02225999999993 38.90299,-77.01914999999993 38.90299,-77.01914999999993 38.89988,-77.02225999999993 38.89988))",POINT (-77.02036977523406 38.900870539586286),79,590.5212888064193,330.632667696512
24,B12,-77.0185330231128,38.90146200919944,"POLYGON ((-77.01914999999993 38.89988,-77.01914999999993 38.90299,-77.01603999999992 38.90299,-77.01603999999992 38.89988,-77.01914999999993 38.89988))",POINT (-77.0185330231128 38.90146200919944),19,130.49395349366398,222.4571549856384
25,C1,-77.05072428965566,38.89817918787804,"POLYGON ((-77.05336 38.896770000000004,-77.05336 38.89988,-77.05024999999999 38.89988,-77.05024999999999 38.896770000000004,-77.05336 38.896770000000004))",POINT (-77.05072428965566 38.89817918787804),19,65.735362271456,145.72398254119037
26,C2,-77.04854427243522,38.89796511371558,"POLYGON ((-77.05024999999999 38.896770000000004,-77.05024999999999 38.89988,-77.04713999999998 38.89988,-77.04713999999998 38.896770000000004,-77.05024999999999 38.896770000000004))",POINT (-77.04854427243522 38.89796511371558),88,4271.5659076812735,580.8549635859969
27,C3,-77.04590889260675,38.89819748575913,"POLYGON ((-77.04713999999998 38.896770000000004,-77.04713999999998 38.89988,-77.04402999999998 38.89988,-77.04402999999998 38.896770000000004,-77.04713999999998 38.896770000000004))",POINT (-77.04590889260675 38.89819748575913),62,385.06036987020155,563.87336645472
28,C4,-77.04228267197698,38.898143571890905,"POLYGON ((-77.04402999999998 38.896770000000004,-77.04402999999998 38.89988,-77.04091999999997 38.89988,-77.04091999999997 38.896770000000004,-77.04402999999998 38.896770000000004))",POINT (-77.04228267197698 38.898143571890905),16,703.5466535705795,354.05410790581124
