name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,174,2860653270,signal,-111.936662,33.421991,0,secondary,,,
,176,5232231476,,-111.942718,33.435588,0,primary,,,
,177,8022891687,,-111.943021,33.429642,0,secondary,,,
,178,9916310648,,-111.942853,33.429384,0,secondary,,,
,179,2819230448,signal,-111.907173,33.414662,0,primary,,,
,180,1501648573,signal,-111.905054,33.414698,0,primary,,,
,181,11030780950,signal,-111.900075,33.414704,0,primary,,,
,182,4347774942,,-111.897169,33.414686,0,primary,,,
,183,330683979,signal,-111.901573,33.414687,0,primary,,,
,184,255814679,,-111.899972,33.435810,0,motorway,,,
,185,7890703228,,-111.909107,33.413684,0,secondary,,,
,186,8464164201,,-111.909111,33.412465,0,secondary,,,
,187,4347900900,,-111.926299,33.404044,2,primary,,187,
,188,4347900901,,-111.926286,33.406628,0,primary,,,
,189,10290583690,,-111.930762,33.422042,0,secondary,,,
,190,5261052497,,-111.933995,33.422012,0,secondary,,,
,191,2625359030,,-111.939968,33.429775,0,primary,,,
,192,3101265424,,-111.939980,33.430199,0,primary,,,
,193,3101286346,,-111.922009,33.414835,0,primary,,,
,194,3458373555,,-111.922063,33.414711,0,primary,,,
,195,3519323221,,-111.909025,33.421242,0,secondary,,,
,196,3523602073,,-111.909172,33.420861,0,secondary,,,
,197,4347900924,,-111.925684,33.407564,0,secondary,,,
,198,4084525376,signal,-111.926277,33.407507,0,primary,,,
,200,4347879979,,-111.926299,33.419543,0,primary,,,
,201,330691322,signal,-111.926305,33.419983,0,primary,,,
,202,3983274586,,-111.915449,33.407577,0,secondary,,,
,203,4084526282,,-111.915466,33.407442,0,secondary,,,
,204,3983274697,,-111.917703,33.407174,2,tertiary,,204,
,206,3983489070,,-111.939904,33.410608,0,secondary,,,
,207,3983483049,,-111.939897,33.408993,0,secondary,,,
,208,8813118513,,-111.939918,33.415272,0,secondary,,,
,210,3983483489,,-111.939807,33.411426,0,secondary,,,
,211,3983483490,,-111.939883,33.412595,0,secondary,,,
,212,3983483492,,-111.939789,33.410604,0,secondary,,,
,213,3983483037,,-111.939924,33.411432,0,secondary,,,
,214,3983483486,,-111.939779,33.408663,0,secondary,,,
,216,5245639320,,-111.906459,33.429225,0,secondary,,,
,217,3519311788,,-111.908220,33.421991,0,secondary,,,
,218,4347774953,,-111.901136,33.422099,0,secondary,,,
,220,5199796534,,-111.952374,33.430500,-1,tertiary,,220,
,221,318033603,signal,-111.909094,33.421982,0,secondary,,,
,222,2822050828,,-111.909097,33.421835,0,secondary,,,
,223,4347908523,,-111.909314,33.432504,0,secondary,,,
,226,2625358998,,-111.939835,33.417032,0,primary,,,
,227,4346581621,,-111.940079,33.424691,0,primary,,,
,228,41529740,signal,-111.940071,33.424345,0,primary,,,
,229,2941419941,,-111.939982,33.427575,0,primary,,,
,230,4346586755,,-111.939989,33.428186,0,primary,,,
,231,4347879984,,-111.909087,33.422857,0,secondary,,,
,233,2300216506,,-111.908935,33.407429,0,secondary,,,
,234,4347900902,,-111.909115,33.406852,0,secondary,,,
,235,41638544,,-111.909128,33.402985,2,secondary,,235,
,236,4084525373,,-111.923680,33.407443,0,secondary,,,
,237,4347900909,,-111.923073,33.407444,0,secondary,,,
,238,41502514,,-111.926193,33.437558,0,primary,,,
,239,7852227688,,-111.926230,33.439089,-1,primary,,239,
,240,4347908524,,-111.926156,33.435432,0,primary,,,
,241,7241600524,signal,-111.926162,33.435800,0,primary,,,
,242,4035993938,,-111.926161,33.435858,0,primary,,,
,243,4104818049,,-111.926357,33.434746,0,primary,,,
,244,9019202138,,-111.926357,33.434367,0,primary,,,
,245,2488372362,,-111.926356,33.435373,0,primary,,,
,246,255822028,,-111.926172,33.437092,0,primary,,,
,247,4107204027,,-111.926233,33.436125,0,motorway,,,
,248,4104818043,,-111.926150,33.436363,0,primary,,,
,249,4104818046,,-111.926160,33.435979,0,motorway,,,
,250,2488372365,,-111.926352,33.435859,0,primary,,,
,251,255821737,,-111.926283,33.436123,0,motorway,,,
,252,4104818044,,-111.926352,33.436245,0,motorway,,,
,253,4107204030,,-111.926254,33.436171,0,motorway,,,
,254,4107204029,,-111.926254,33.436080,0,motorway,,,
,255,7243234012,,-111.926371,33.438149,0,primary,,,
,256,4104818047,,-111.926172,33.437162,0,primary,,,
,257,330683929,signal,-111.901575,33.414901,0,primary,,,
,258,4347774945,,-111.904040,33.414862,0,primary,,,
,259,2819230452,signal,-111.909114,33.414622,0,secondary,,,
,260,4347879968,,-111.907599,33.414846,0,primary,,,
,261,3756578325,signal,-111.909113,33.414835,0,secondary,,,
,263,4346575412,,-111.936133,33.414744,0,primary,,,
,264,330683944,signal,-111.932805,33.414764,0,primary,,,
,265,4346575413,,-111.934217,33.414757,0,primary,,,
,268,3983483491,,-111.939808,33.406749,0,secondary,,,
,269,4347874709,,-111.939791,33.406808,0,secondary,,,
,270,2714318042,signal,-111.937493,33.430541,0,secondary,,,
,271,11808024913,signal,-111.938384,33.430091,0,secondary,,,
,272,2714318028,,-111.938828,33.429846,0,secondary,,,
,273,4346519527,,-111.943625,33.438119,1,primary,,273,
