name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction
,0,49717477,traffic_signals,0,1,,primary,0,-77.0466503,38.9024051,21,,,0,0
,1,49718849,,1,0,,primary,0,-77.0501283,38.8957332,,,,0,0
,2,49718886,,2,0,,motorway,0,-77.0487386,38.8958041,,,,0,0
,3,49722979,,3,0,,motorway,0,-77.046535,38.8956539,,,,0,0
,4,49722994,traffic_signals,4,1,,tertiary,0,-77.0449266,38.8954286,,,,0,0
,5,49729677,traffic_signals,5,1,,primary,0,-77.0494761,38.9027152,,,,0,0
,6,49729890,,6,0,,primary,0,-77.027546,38.8920871,,,,0,0
,7,49730319,,7,0,,secondary,0,-77.0486234,38.8962602,,,,0,0
,8,49732286,traffic_signals,8,1,,secondary,0,-77.0281418,38.8920893,,,,0,0
,9,49732346,,9,0,,primary,0,-77.0506012,38.9029136,,,,0,0
,10,49734104,traffic_signals,10,1,,primary,0,-77.0270245,38.9041663,,,,0,0
,11,49734107,,11,0,,primary,0,-77.0276415,38.9041698,,,,0,0
,12,49734172,,12,0,,motorway,0,-77.0487416,38.8958963,,,,0,0
,13,49737731,,13,0,,primary,0,-77.0507556,38.9023635,,,,0,0
,14,49738041,,14,0,,primary,0,-77.0501553,38.8924286,,,,0,0
,15,49738093,,15,0,,primary,0,-77.0497531,38.9020978,,,,0,0
,16,49741647,traffic_signals,16,1,,tertiary,0,-77.0466678,38.8920897,,,,0,0
,17,49741652,traffic_signals,17,1,,tertiary,0,-77.0466778,38.8935166,,,,0,0
,18,49741663,traffic_signals,18,1,,tertiary,0,-77.0466637,38.8952383,33,,,0,0
,19,49741673,traffic_signals,19,1,,primary,0,-77.0466663,38.8960156,,,,0,0
,20,49741695,traffic_signals,20,1,,residential,0,-77.0466574,38.8995741,,,,0,0
,21,49741703,,21,0,,tertiary,0,-77.0466546,38.9006944,,,,0,0
,22,49741709,traffic_signals,22,1,,primary,0,-77.04665,38.9025305,21,,,0,0
,23,49741710,traffic_signals,23,1,,tertiary,0,-77.046647,38.9037424,,,,0,0
,24,49745618,,24,0,,secondary,0,-77.0319535,38.8946517,,,,0,0
,25,49745628,traffic_signals,25,1,,secondary,0,-77.03195,38.8973504,,,,0,0
,26,49745629,traffic_signals,26,1,,secondary,0,-77.0319506,38.8983201,,,,0,0
,27,49745631,traffic_signals,27,1,,secondary,0,-77.0319504,38.8994359,23,,,0,0
,28,49745632,traffic_signals,28,1,,secondary,0,-77.0319505,38.900209,,,,0,0
,29,49745636,traffic_signals,29,1,,secondary,0,-77.0319507,38.9013356,,,,0,0
,30,49745640,traffic_signals,30,1,,secondary,0,-77.0319544,38.9025199,22,,,0,0
,31,49745644,traffic_signals,31,1,,secondary,0,-77.0319511,38.9037373,,,,0,0
,32,49748690,traffic_signals,32,1,,primary,0,-77.0185253,38.892458,19,,,0,0
,33,49748694,,33,0,,primary,0,-77.0191525,38.8920874,,,,0,0
,34,49748716,traffic_signals,34,1,,primary,0,-77.019911,38.892076,,,,0,0
,35,49748720,traffic_signals,35,1,,secondary,0,-77.0219312,38.8920786,,,,0,0
,36,49748725,traffic_signals,36,1,,primary,0,-77.0239597,38.8920785,,,,0,0
,37,49748733,traffic_signals,37,1,,primary,0,-77.0260226,38.8920862,,,,0,0
,38,49748775,,38,0,,primary,0,-77.0406979,38.8921004,,,,0,0
,39,49748779,traffic_signals,39,1,,primary,0,-77.0434835,38.8920951,,,,0,0
,40,49748781,traffic_signals,40,1,,tertiary,0,-77.0449316,38.8920926,,,,0,0
,41,49748784,traffic_signals,41,1,,secondary,0,-77.047972,38.8920875,,,,0,0
,42,49748788,traffic_signals,42,1,,tertiary,0,-77.0488495,38.892102,,,,0,0
,43,49749106,traffic_signals,43,1,,secondary,0,-77.0379693,38.9002001,,,,0,0
,44,49750819,,44,0,,primary,0,-77.0394724,38.8935512,,,,0,0
,45,49750826,traffic_signals,45,1,,secondary,0,-77.0417542,38.8935281,,,,0,0
,46,49750830,traffic_signals,46,1,,secondary,0,-77.0434792,38.8935385,,,,0,0
,47,49750843,,47,0,,tertiary,0,-77.0449284,38.893516,,,,0,0
,48,49750861,traffic_signals,48,1,,primary,0,-77.050135,38.8935253,,,,0,0
,49,49756474,,49,0,,residential,0,-77.0308026,38.8946435,,,,0,0
,50,49762191,traffic_signals,50,1,,tertiary,0,-77.021923,38.8984651,,,,0,0
,51,49762202,traffic_signals,51,1,,secondary,0,-77.0270432,38.8983237,,,,0,0
,52,49762207,traffic_signals,52,1,,tertiary,0,-77.0280844,38.8983206,,,,0,0
,53,49762210,traffic_signals,53,1,,secondary,0,-77.0296175,38.898313,,,,0,0
,54,49762221,traffic_signals,54,1,,primary,0,-77.0336563,38.8983139,,,,0,0
,55,49762225,,55,0,,primary,0,-77.0394698,38.89831,,,,0,0
,56,49762238,traffic_signals,56,1,,residential,0,-77.0417152,38.8983143,,,,0,0
,57,49762243,traffic_signals,57,1,,residential,0,-77.0434712,38.8983204,,,,0,0
,58,49762251,traffic_signals,58,1,,residential,0,-77.044908,38.898322,,,,0,0
,59,49762264,traffic_signals,59,1,,residential,0,-77.048847,38.8983243,,,,0,0
,60,49762286,traffic_signals,60,1,,residential,0,-77.0501281,38.8983294,,,,0,0
,61,49762379,traffic_signals,61,1,,tertiary,0,-77.018931,38.898314,,,,0,0
,62,49762383,traffic_signals,62,1,,primary,0,-77.019906,38.89831,,,,0,0
,63,49764249,traffic_signals,63,1,,primary,0,-77.0336215,38.8964046,,,,0,0
,64,49764251,traffic_signals,64,1,,primary,0,-77.0336373,38.8973451,,,,0,0
,65,49764271,traffic_signals,65,1,,primary,0,-77.0336382,38.9002069,,,,0,0
,66,49764289,traffic_signals,66,1,,primary,0,-77.033624,38.9025318,11,,,0,0
,67,49764296,traffic_signals,67,1,,secondary,0,-77.034593,38.9013349,,,,0,0
,68,49764303,traffic_signals,68,1,,secondary,0,-77.0345781,38.902523,29,,,0,0
,69,49764309,traffic_signals,69,1,,secondary,0,-77.034577,38.903737,,,,0,0
,70,49765145,traffic_signals,70,1,,secondary,0,-77.0488147,38.9037389,6,,,0,0
,71,49767076,,71,0,,motorway,0,-77.047406,38.8956318,,,,0,0
,72,49767123,,72,0,,residential,0,-77.0394724,38.894339,,,,0,0
,73,49767131,,73,0,,residential,0,-77.0417163,38.8943293,,,,0,0
,74,49767189,traffic_signals,74,1,,tertiary,0,-77.019905,38.894794,,,,0,0
,75,49767194,stop,75,0,,tertiary,0,-77.0229671,38.8947999,,,,0,0
,76,49767196,traffic_signals,76,1,,tertiary,0,-77.0239913,38.8947972,,,,0,0
,77,49770640,traffic_signals,77,1,,secondary,0,-77.038522,38.9013337,,,,0,0
,78,49770646,traffic_signals,78,1,,secondary,0,-77.0385188,38.9025232,,,,0,0
,79,49770648,traffic_signals,79,1,,secondary,0,-77.0385154,38.903742,,,,0,0
,80,49770755,traffic_signals,80,1,,primary,0,-77.039473,38.8964077,,,,0,0
,81,49770764,traffic_signals,81,1,,primary,0,-77.0394711,38.8973546,,,,0,0
,82,49770782,traffic_signals,82,1,,primary,0,-77.0394557,38.900204,,,,0,0
,83,49770789,traffic_signals,83,1,,primary,0,-77.0394456,38.9013334,,,,0,0
,84,49770799,traffic_signals,84,1,,primary,0,-77.039386,38.9025233,5,,,0,0
,85,49772964,traffic_signals,85,1,,tertiary,0,-77.0219289,38.8961285,,,,0,0
,86,49772987,traffic_signals,86,1,,secondary,0,-77.0219179,38.899812,,,,0,0
,87,49773008,traffic_signals,87,1,,primary,0,-77.0219394,38.9025237,,,,0,0
,88,49773012,traffic_signals,88,1,,primary,0,-77.0219434,38.9029509,,,,0,0
,89,49773526,traffic_signals,89,1,,secondary,0,-77.0270523,38.89613,,,,0,0
,90,49773532,traffic_signals,90,1,,secondary,0,-77.027037,38.899816,,,,0,0
,91,49773535,traffic_signals,91,1,,secondary,0,-77.0270324,38.9011669,12,,,0,0
,92,49773537,crossing,92,0,,secondary,0,-77.0270322,38.9013528,,,,0,0
,93,49773539,traffic_signals,93,1,,tertiary,0,-77.0270313,38.9025234,,,,0,0
,94,49773543,traffic_signals,94,1,,primary,0,-77.0270399,38.9037357,,,,0,0
,95,49773544,traffic_signals,95,1,,primary,0,-77.027032,38.9039612,,,,0,0
