node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry,_zone_id
34966,-112.2957159,33.4480949,0.22356,0.22356,0,,,23953.0,poi,POINT (-112.2957159 33.4480949),-1.0
34967,-112.2956144,33.4480023,0.22562999999999997,0.22562999999999997,0,,,23954.0,poi,POINT (-112.2956144 33.4480023),-1.0
34968,-112.2951946,33.4480892,0.30337000000000003,0.30337000000000003,0,,,23955.0,poi,POINT (-112.2951946 33.4480892),-1.0
34969,-112.2952836,33.4482043,0.282325,0.282325,0,,,23956.0,poi,POINT (-112.2952836 33.4482043),-1.0
34970,-112.2953981,33.4483704,0.29716,0.29716,0,,,23957.0,poi,POINT (-112.2953981 33.4483704),-1.0
34971,-112.2943525,33.4479956,0.308315,0.308315,0,,,23958.0,poi,POINT (-112.2943525 33.4479956),-1.0
34972,-112.2942378,33.4478624,0.36294,0.36294,0,,,23959.0,poi,POINT (-112.2942378 33.4478624),-1.0
34973,-112.2941484,33.4476957,0.266455,0.266455,0,,,23960.0,poi,POINT (-112.2941484 33.4476957),-1.0
34974,-112.2940181,33.4475698,0.33212,0.33212,0,,,23961.0,poi,POINT (-112.2940181 33.4475698),-1.0
34975,-112.2938989,33.4474254,0.21493500000000001,0.21493500000000001,0,,,23962.0,poi,POINT (-112.2938989 33.4474254),-1.0
34976,-112.2938066,33.4472647,0.32683,0.32683,0,,,23963.0,poi,POINT (-112.2938066 33.4472647),-1.0
34977,-112.2937762,33.4470916,0.28945499999999996,0.28945499999999996,0,,,23964.0,poi,POINT (-112.2937762 33.4470916),-1.0
34978,-112.2937731,33.4469004,0.34959999999999997,0.34959999999999997,0,,,23965.0,poi,POINT (-112.2937731 33.4469004),-1.0
34979,-112.2938458,33.4467291,0.39122999999999997,0.39122999999999997,0,,,23966.0,poi,POINT (-112.2938458 33.4467291),-1.0
34980,-112.294263,33.4470659,0.403765,0.403765,0,,,23967.0,poi,POINT (-112.294263 33.4470659),-1.0
34981,-112.2944477,33.4469939,0.33027999999999996,0.33027999999999996,0,,,23968.0,poi,POINT (-112.2944477 33.4469939),-1.0
34982,-112.2946296,33.4468517,0.305785,0.305785,0,,,23969.0,poi,POINT (-112.2946296 33.4468517),-1.0
34983,-112.29458,33.4466265,0.33487999999999996,0.33487999999999996,0,,,23970.0,poi,POINT (-112.29458 33.4466265),-1.0
34984,-112.2944638,33.4464521,0.26956,0.26956,0,,,23971.0,poi,POINT (-112.2944638 33.4464521),-1.0
34985,-112.2942693,33.4463375,0.31475499999999995,0.31475499999999995,0,,,23972.0,poi,POINT (-112.2942693 33.4463375),-1.0
34986,-112.294032,33.4464944,0.34315999999999997,0.34315999999999997,0,,,23973.0,poi,POINT (-112.294032 33.4464944),-1.0
34987,-112.2945921,33.4473349,0.285085,0.285085,0,,,23974.0,poi,POINT (-112.2945921 33.4473349),-1.0
34988,-112.2947678,33.447249,0.37696999999999997,0.37696999999999997,0,,,23975.0,poi,POINT (-112.2947678 33.447249),-1.0
34989,-112.2949328,33.44716,0.29531999999999997,0.29531999999999997,0,,,23976.0,poi,POINT (-112.2949328 33.44716),-1.0
34990,-112.2944272,33.4474105,0.33764,0.33764,0,,,23977.0,poi,POINT (-112.2944272 33.4474105),-1.0
34991,-112.294798,33.44775,0.36500999999999995,0.36500999999999995,0,,,23978.0,poi,POINT (-112.294798 33.44775),-1.0
34992,-112.294955,33.4476525,0.375015,0.375015,0,,,23979.0,poi,POINT (-112.294955 33.4476525),-1.0
34993,-112.2951041,33.4475676,0.29187,0.29187,0,,,23980.0,poi,POINT (-112.2951041 33.4475676),-1.0
34994,-112.2953014,33.4474632,0.33280999999999994,0.33280999999999994,0,,,23981.0,poi,POINT (-112.2953014 33.4474632),-1.0
34995,-112.2954605,33.4473562,0.3017599999999999,0.3017599999999999,0,,,23982.0,poi,POINT (-112.2954605 33.4473562),-1.0
34996,-112.2955638,33.4471971,0.33510999999999996,0.33510999999999996,0,,,23983.0,poi,POINT (-112.2955638 33.4471971),-1.0
34997,-112.2956428,33.4469956,0.309465,0.309465,0,,,23984.0,poi,POINT (-112.2956428 33.4469956),-1.0
34998,-112.2956126,33.4468285,0.33579999999999993,0.33579999999999993,0,,,23985.0,poi,POINT (-112.2956126 33.4468285),-1.0
34999,-112.2955691,33.4466435,0.331775,0.331775,0,,,23986.0,poi,POINT (-112.2955691 33.4466435),-1.0
35000,-112.2955043,33.4464886,0.35730499999999993,0.35730499999999993,0,,,23987.0,poi,POINT (-112.2955043 33.4464886),-1.0
35001,-112.2950306,33.4467084,0.33947999999999995,0.33947999999999995,0,,,23988.0,poi,POINT (-112.2950306 33.4467084),-1.0
35002,-112.295112,33.4468691,0.24000499999999997,0.24000499999999997,0,,,23989.0,poi,POINT (-112.295112 33.4468691),-1.0
35003,-112.2949918,33.4465594,0.29175499999999993,0.29175499999999993,0,,,23990.0,poi,POINT (-112.2949918 33.4465594),-1.0
35004,-112.2949022,33.4463949,0.35258999999999996,0.35258999999999996,0,,,23991.0,poi,POINT (-112.2949022 33.4463949),-1.0
35005,-112.2948384,33.4462566,0.4067549999999999,0.4067549999999999,0,,,23992.0,poi,POINT (-112.2948384 33.4462566),-1.0
35006,-112.2947429,33.4460709,0.36593,0.36593,0,,,23993.0,poi,POINT (-112.2947429 33.4460709),-1.0
35007,-112.2946631,33.4459299,0.33694999999999997,0.33694999999999997,0,,,23994.0,poi,POINT (-112.2946631 33.4459299),-1.0
35008,-112.294369,33.4458884,0.26875499999999997,0.26875499999999997,0,,,23995.0,poi,POINT (-112.294369 33.4458884),-1.0
35009,-112.2953314,33.4461153,0.3427,0.3427,0,,,23996.0,poi,POINT (-112.2953314 33.4461153),-1.0
35010,-112.2952471,33.4459738,0.3176299999999999,0.3176299999999999,0,,,23997.0,poi,POINT (-112.2952471 33.4459738),-1.0
35011,-112.2950483,33.4456661,0.26657,0.26657,0,,,23998.0,poi,POINT (-112.2950483 33.4456661),-1.0
35012,-112.2951785,33.4458027,0.38686,0.38686,0,,,23999.0,poi,POINT (-112.2951785 33.4458027),-1.0
35013,-112.2948976,33.4455175,0.32073499999999994,0.32073499999999994,0,,,24000.0,poi,POINT (-112.2948976 33.4455175),-1.0
35014,-112.2947556,33.4454184,0.323955,0.323955,0,,,24001.0,poi,POINT (-112.2947556 33.4454184),-1.0
35015,-112.2940783,33.4452038,0.27921999999999997,0.27921999999999997,0,,,24002.0,poi,POINT (-112.2940783 33.4452038),-1.0
35016,-112.2938876,33.4451883,0.32717499999999994,0.32717499999999994,0,,,24003.0,poi,POINT (-112.2938876 33.4451883),-1.0
35017,-112.2937068,33.4451975,0.30509499999999995,0.30509499999999995,0,,,24004.0,poi,POINT (-112.2937068 33.4451975),-1.0
35018,-112.2935254,33.4452359,0.312915,0.312915,0,,,24005.0,poi,POINT (-112.2935254 33.4452359),-1.0
35019,-112.2937664,33.4457132,0.32130999999999993,0.32130999999999993,0,,,24006.0,poi,POINT (-112.2937664 33.4457132),-1.0
35020,-112.2935994,33.445681,0.31809,0.31809,0,,,24007.0,poi,POINT (-112.2935994 33.445681),-1.0
35021,-112.2935968,33.4459429,0.32499,0.32499,0,,,24008.0,poi,POINT (-112.2935968 33.4459429),-1.0
35022,-112.2935409,33.4461362,0.319815,0.319815,0,,,24009.0,poi,POINT (-112.2935409 33.4461362),-1.0
35023,-112.2933322,33.4462334,0.33097,0.33097,0,,,24010.0,poi,POINT (-112.2933322 33.4462334),-1.0
35024,-112.2931207,33.4462332,0.31440999999999997,0.31440999999999997,0,,,24011.0,poi,POINT (-112.2931207 33.4462332),-1.0
35025,-112.2929224,33.4461881,0.30704999999999993,0.30704999999999993,0,,,24012.0,poi,POINT (-112.2929224 33.4461881),-1.0
35026,-112.2927162,33.4462531,0.28037,0.28037,0,,,24013.0,poi,POINT (-112.2927162 33.4462531),-1.0
35027,-112.2925646,33.4463563,0.30704999999999993,0.30704999999999993,0,,,24014.0,poi,POINT (-112.2925646 33.4463563),-1.0
35028,-112.2930634,33.4457883,0.33235,0.33235,0,,,24015.0,poi,POINT (-112.2930634 33.4457883),-1.0
35029,-112.2931211,33.445628,0.36662,0.36662,0,,,24016.0,poi,POINT (-112.2931211 33.445628),-1.0
35030,-112.2930461,33.4454091,0.30912,0.30912,0,,,24017.0,poi,POINT (-112.2930461 33.4454091),-1.0
35031,-112.292745,33.4457475,0.334765,0.334765,0,,,24018.0,poi,POINT (-112.292745 33.4457475),-1.0
35032,-112.2925559,33.4458299,0.32326499999999997,0.32326499999999997,0,,,24019.0,poi,POINT (-112.2925559 33.4458299),-1.0
35033,-112.2923816,33.4459137,0.30750999999999995,0.30750999999999995,0,,,24020.0,poi,POINT (-112.2923816 33.4459137),-1.0
35034,-112.2922372,33.4460226,0.317515,0.317515,0,,,24021.0,poi,POINT (-112.2922372 33.4460226),-1.0
35035,-112.2918826,33.4462569,0.31487,0.31487,0,,,24022.0,poi,POINT (-112.2918826 33.4462569),-1.0
35036,-112.2917106,33.4463454,0.3291299999999999,0.3291299999999999,0,,,24023.0,poi,POINT (-112.2917106 33.4463454),-1.0
35037,-112.2915352,33.4464116,0.31233999999999995,0.31233999999999995,0,,,24024.0,poi,POINT (-112.2915352 33.4464116),-1.0
35038,-112.2913717,33.4464787,0.31360499999999997,0.31360499999999997,0,,,24025.0,poi,POINT (-112.2913717 33.4464787),-1.0
35039,-112.2910067,33.4465777,0.30429,0.30429,0,,,24026.0,poi,POINT (-112.2910067 33.4465777),-1.0
35040,-112.2908256,33.4466032,0.3218849999999999,0.3218849999999999,0,,,24027.0,poi,POINT (-112.2908256 33.4466032),-1.0
35041,-112.2906535,33.4466378,0.302565,0.302565,0,,,24028.0,poi,POINT (-112.2906535 33.4466378),-1.0
35042,-112.2911733,33.4465216,0.31187999999999994,0.31187999999999994,0,,,24029.0,poi,POINT (-112.2911733 33.4465216),-1.0
