link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,
1082,30564,connector,43288,857,"LINESTRING (-111.067490 31.915514, -111.094498 31.915192)",2.558310,1.590000,6.360000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,4.0,4.0,9999.0,0.0,0.0004,6.4,0.0,0.0,4.0,4.0,9999.000,0.000,0.0004,6.360,0.000,0.000,
1083,30565,connector,874,43744,"LINESTRING (-111.093216 31.941171, -111.064346 31.943294)",2.735300,1.700000,6.800000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,18.0,18.0,9999.0,0.0,0.0018,6.8,0.0,0.0,18.0,18.0,9999.000,0.000,0.0018,6.800,0.000,0.000,
1084,30565,connector,43744,874,"LINESTRING (-111.064346 31.943302, -111.093216 31.941179)",2.735300,1.700000,6.800000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,2.0,2.0,9999.0,0.0,0.0002,6.8,0.0,0.0,2.0,2.0,9999.000,0.000,0.0002,6.800,0.000,0.000,
1085,30566,connector,872,43746,"LINESTRING (-111.130965 31.964552, -111.094344 31.971897)",3.555890,2.210000,8.840000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,30.0,30.0,9999.0,0.0,0.0030,8.8,0.0,0.0,30.0,30.0,9999.000,0.000,0.0030,8.840,0.000,0.000,
1086,30566,connector,43746,872,"LINESTRING (-111.094346 31.971905, -111.130967 31.964560)",3.555890,2.210000,8.840000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,10.0,10.0,9999.0,0.0,0.0010,8.8,0.0,0.0,10.0,10.0,9999.000,0.000,0.0010,8.840,0.000,0.000,
1087,30567,Major arterial,43286,43746,"LINESTRING (-111.084227 31.965003, -111.094343 31.971904)",1.271110,0.790000,0.790000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,19.0,19.0,1800.0,0.0,0.0106,0.8,0.0,0.0,19.0,19.0,1800.000,0.000,0.0106,0.790,0.000,0.000,
1088,30567,Major arterial,43746,43286,"LINESTRING (-111.094347 31.971898, -111.084231 31.964997)",1.271110,0.790000,0.790000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,37.0,37.0,1800.0,0.0,0.0206,0.8,0.0,0.0,37.0,37.0,1800.000,0.000,0.0206,0.790,0.000,0.000,
1089,30568,connector,873,43622,"LINESTRING (-111.104767 31.977482, -111.094467 31.977016)",0.981490,0.610000,2.440000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,79.0,79.0,9999.0,0.0,0.0079,2.4,0.0,0.0,79.0,79.0,9999.000,0.000,0.0079,2.440,0.000,0.000,
1090,30568,connector,43622,873,"LINESTRING (-111.094467 31.977024, -111.104767 31.977490)",0.981490,0.610000,2.440000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,22.0,22.0,9999.0,0.0,0.0022,2.4,0.0,0.0,22.0,22.0,9999.000,0.000,0.0022,2.440,0.000,0.000,
1091,30569,Major arterial,43622,43746,"LINESTRING (-111.094471 31.977020, -111.094349 31.971901)",0.595330,0.370000,0.370000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,39.0,39.0,1800.0,0.0,0.0217,0.4,0.0,0.0,39.0,39.0,1800.000,0.000,0.0217,0.370,0.000,0.000,
1092,30569,Major arterial,43746,43622,"LINESTRING (-111.094341 31.971901, -111.094463 31.977020)",0.595330,0.370000,0.370000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,41.0,41.0,1800.0,0.0,0.0228,0.4,0.0,0.0,41.0,41.0,1800.000,0.000,0.0228,0.370,0.000,0.000,
1093,30570,connector,642,43748,"LINESTRING (-111.045861 31.907961, -111.079988 31.903380)",3.266270,2.030000,8.120000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,0.0,0.0,9999.0,0.0,0.0000,8.1,0.0,0.0,0.0,0.0,9999.000,0.000,0.0000,8.120,0.000,0.000,
1094,30570,connector,43748,642,"LINESTRING (-111.079986 31.903372, -111.045859 31.907953)",3.266270,2.030000,8.120000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,0.0,0.0,9999.0,0.0,0.0000,8.1,0.0,0.0,0.0,0.0,9999.000,0.000,0.0000,8.120,0.000,0.000,
1095,30571,Major arterial,43676,43740,"LINESTRING (-111.043251 31.870526, -111.055946 31.870110)",1.206750,0.750000,0.750000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,237.0,237.0,1800.0,0.0,0.1317,0.8,0.0,0.0,237.0,237.0,1800.000,0.000,0.1317,0.750,0.000,0.000,
1096,30571,Major arterial,43740,43676,"LINESTRING (-111.055946 31.870102, -111.043251 31.870518)",1.206750,0.750000,0.750000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,67.0,67.0,1800.0,0.0,0.0372,0.8,0.0,0.0,67.0,67.0,1800.000,0.000,0.0372,0.750,0.000,0.000,
1097,30572,Major arterial,43740,43748,"LINESTRING (-111.055943 31.870108, -111.079984 31.903378)",4.633920,2.880000,2.880000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,7.0,7.0,1800.0,0.0,0.0039,2.9,0.0,0.0,7.0,7.0,1800.000,0.000,0.0039,2.880,0.000,0.000,
1098,30572,Major arterial,43748,43740,"LINESTRING (-111.079990 31.903374, -111.055949 31.870104)",4.633920,2.880000,2.880000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,22.0,22.0,1800.0,0.0,0.0122,2.9,0.0,0.0,22.0,22.0,1800.000,0.000,0.0122,2.880,0.000,0.000,
1099,30573,Major arterial,43748,43288,"LINESTRING (-111.079984 31.903373, -111.067487 31.915507)",1.914710,1.190000,1.190000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,7.0,7.0,1800.0,0.0,0.0039,1.2,0.0,0.0,7.0,7.0,1800.000,0.000,0.0039,1.190,0.000,0.000,
