node_id,x_coord,y_coord,production,attraction,boundary_flag,zone_id,poi_id,activity_type,activity_location_tab,geometry
0,-110.8577129,32.1145247,0,0,0,257,,motorway,,POINT (-110.8577129 32.1145247)
1,-110.8582601,32.1148621,0,0,0,257,,motorway,,POINT (-110.8582601 32.1148621)
2,-110.8651149,32.119139,0,0,0,280,,motorway,,POINT (-110.8651149 32.119139)
3,-110.8692821,32.1217572,0,0,0,311,,motorway,,POINT (-110.8692821 32.1217572)
4,-110.874917,32.1252939,0,0,0,311,,motorway,,POINT (-110.874917 32.1252939)
5,-110.8754767,32.1256317,0,0,0,311,,motorway,,POINT (-110.8754767 32.1256317)
6,-110.8801518,32.1285695,0,0,0,315,,motorway,,POINT (-110.8801518 32.1285695)
7,-110.8806874,32.1289003,0,0,0,315,,motorway,,POINT (-110.8806874 32.1289003)
8,-110.887284,32.1341622,0,0,0,981,,motorway,,POINT (-110.887284 32.1341622)
9,-110.8875262,32.1345304,0,0,0,981,,motorway,,POINT (-110.8875262 32.1345304)
10,-110.9096537,32.1575157,0,0,0,381,,motorway,,POINT (-110.9096537 32.1575157)
11,-110.9089884,32.1571314,0,0,0,381,,motorway,,POINT (-110.9089884 32.1571314)
12,-110.9158656,32.1609985,0,0,0,1029,,motorway,,POINT (-110.9158656 32.1609985)
13,-110.9179092,32.1621504,0,0,0,1030,,motorway,,POINT (-110.9179092 32.1621504)
14,-110.9174518,32.1618908,0,0,0,1030,,motorway,,POINT (-110.9174518 32.1618908)
15,-110.9173155,32.1618103,0,0,0,1030,,motorway,,POINT (-110.9173155 32.1618103)
16,-110.9204199,32.1635623,0,0,0,1030,,motorway,,POINT (-110.9204199 32.1635623)
17,-110.9201174,32.1633931,0,0,0,1030,,motorway,,POINT (-110.9201174 32.1633931)
18,-110.9265558,32.1670139,0,0,0,393,,motorway,,POINT (-110.9265558 32.1670139)
19,-110.9261301,32.1667749,0,0,0,393,,motorway,,POINT (-110.9261301 32.1667749)
20,-110.9617505,32.1853513,0,0,0,511,,motorway,,POINT (-110.9617505 32.1853513)
21,-110.9611676,32.1852037,0,0,0,511,,motorway,,POINT (-110.9611676 32.1852037)
22,-110.9791723,32.1993026,0,0,0,542,,motorway,,POINT (-110.9791723 32.1993026)
23,-110.9759721,32.1921308,0,0,0,522,,motorway,,POINT (-110.9759721 32.1921308)
24,-110.97927,32.1997193,0,0,0,542,,motorway,,POINT (-110.97927 32.1997193)
25,-111.2165499,32.3426218,0,0,0,891,,secondary,,POINT (-111.2165499 32.3426218)
26,-111.21815,32.3278201,0,0,0,891,,secondary,,POINT (-111.21815 32.3278201)
27,-111.2181432,32.3270823,0,0,0,891,,secondary,,POINT (-111.2181432 32.3270823)
28,-111.0242795,32.2882989,0,0,0,638,,motorway,,POINT (-111.0242795 32.2882989)
29,-111.0260342,32.2907378,0,0,0,1067,,motorway,,POINT (-111.0260342 32.2907378)
30,-110.9790012,32.2076163,0,0,0,27,,motorway,,POINT (-110.9790012 32.2076163)
31,-110.9792564,32.2106587,0,0,0,27,,motorway,,POINT (-110.9792564 32.2106587)
32,-110.986327,32.163295,0,0,0,572,,secondary,,POINT (-110.986327 32.163295)
33,-110.986324,32.1574759,0,0,0,572,,motorway,,POINT (-110.986324 32.1574759)
34,-111.1342844,32.4031924,0,0,0,778,,motorway,,POINT (-111.1342844 32.4031924)
35,-111.1313331,32.4006419,0,0,0,776,,secondary,,POINT (-111.1313331 32.4006419)
36,-111.1314142,32.4019069,0,0,1,776,,motorway,boundary,POINT (-111.1314142 32.4019069)
37,-111.1368782,32.405397,0,0,0,778,,motorway,,POINT (-111.1368782 32.405397)
38,-110.9446767,32.1769661,0,0,0,461,,motorway,,POINT (-110.9446767 32.1769661)
39,-110.945573,32.1775613,0,0,0,461,,motorway,,POINT (-110.945573 32.1775613)
40,-110.9859488,32.1330675,0,0,0,559,,motorway,,POINT (-110.9859488 32.1330675)
41,-110.9861721,32.1336857,0,0,0,559,,motorway,,POINT (-110.9861721 32.1336857)
42,-110.985499,32.1338879,0,0,0,559,,primary,,POINT (-110.985499 32.1338879)
43,-110.9681741,32.1865915,0,0,0,512,,secondary,,POINT (-110.9681741 32.1865915)
44,-110.9675815,32.186587,0,0,0,512,,secondary,,POINT (-110.9675815 32.186587)
45,-110.9859381,32.1577331,0,0,0,572,,motorway,,POINT (-110.9859381 32.1577331)
46,-110.9837209,32.162644,0,0,0,547,,motorway,,POINT (-110.9837209 32.162644)
47,-110.8705381,32.1227302,0,0,0,311,,secondary,,POINT (-110.8705381 32.1227302)
48,-110.9837868,32.2369398,0,0,0,556,,motorway,,POINT (-110.9837868 32.2369398)
49,-110.9844271,32.2386362,0,0,0,556,,motorway,,POINT (-110.9844271 32.2386362)
50,-110.9864127,32.2418006,0,0,0,556,,motorway,,POINT (-110.9864127 32.2418006)
51,-110.9850208,32.2377143,0,0,0,556,,motorway,,POINT (-110.9850208 32.2377143)
52,-110.904687,32.1901374,0,0,0,352,,trunk,,POINT (-110.904687 32.1901374)
53,-110.8994344,32.1942996,0,0,0,340,,trunk,,POINT (-110.8994344 32.1942996)
54,-110.871716,32.1227747,0,0,0,311,,secondary,,POINT (-110.871716 32.1227747)
55,-110.8689019,32.1211989,0,0,0,311,,motorway,,POINT (-110.8689019 32.1211989)
56,-111.0947176,32.3633703,0,0,0,774,,motorway,,POINT (-111.0947176 32.3633703)
57,-111.0916422,32.3599427,0,0,0,755,,secondary,,POINT (-111.0916422 32.3599427)
58,-110.8478942,32.1080197,0,0,0,257,,motorway,,POINT (-110.8478942 32.1080197)
59,-110.8441229,32.1038524,0,0,0,261,,secondary,,POINT (-110.8441229 32.1038524)
60,-111.0375108,32.3030534,0,0,0,1041,,motorway,,POINT (-111.0375108 32.3030534)
61,-111.039452,32.3063951,0,0,0,1041,,secondary,,POINT (-111.039452 32.3063951)
62,-110.8903372,32.139182,0,0,0,981,,motorway,,POINT (-110.8903372 32.139182)
63,-110.8888759,32.1344267,0,0,0,981,,primary,,POINT (-110.8888759 32.1344267)
64,-110.987057,32.1349304,0,0,0,559,,motorway,,POINT (-110.987057 32.1349304)
65,-110.9880854,32.1340988,0,0,0,559,,primary,,POINT (-110.9880854 32.1340988)
66,-111.0831004,32.3525903,0,0,0,748,,motorway,,POINT (-111.0831004 32.3525903)
67,-111.0875376,32.3578637,0,0,0,755,,secondary,,POINT (-111.0875376 32.3578637)
68,-110.9365815,32.1227709,0,0,0,495,,secondary,,POINT (-110.9365815 32.1227709)
69,-110.936798,32.1229355,0,0,0,495,,secondary,,POINT (-110.936798 32.1229355)
70,-110.9175572,32.1588247,0,0,0,1030,,secondary,,POINT (-110.9175572 32.1588247)
71,-110.9118013,32.1578235,0,0,0,381,,motorway,,POINT (-110.9118013 32.1578235)
72,-110.9854235,32.1718868,0,0,0,569,,motorway,,POINT (-110.9854235 32.1718868)
73,-110.9851936,32.1755048,0,0,0,569,,motorway,,POINT (-110.9851936 32.1755048)
74,-110.9849701,32.1841027,0,0,0,544,,motorway,,POINT (-110.9849701 32.1841027)
75,-110.9861418,32.1805257,0,0,0,544,,motorway,,POINT (-110.9861418 32.1805257)
76,-110.8619118,32.1173415,0,0,0,280,,secondary,,POINT (-110.8619118 32.1173415)
77,-110.8639682,32.1181062,0,0,0,280,,motorway,,POINT (-110.8639682 32.1181062)
78,-110.8627386,32.117143,0,0,0,280,,secondary,,POINT (-110.8627386 32.117143)
79,-110.8826718,32.1301513,0,0,0,315,,motorway,,POINT (-110.8826718 32.1301513)
80,-110.8840394,32.131225,0,0,0,315,,secondary,,POINT (-110.8840394 32.131225)
81,-110.8908469,32.1342907,0,0,0,981,,primary,,POINT (-110.8908469 32.1342907)
82,-110.8880098,32.1332686,0,0,0,981,,secondary,,POINT (-110.8880098 32.1332686)
83,-110.9170974,32.1616919,0,0,0,1030,,motorway,,POINT (-110.9170974 32.1616919)
84,-110.9175325,32.1615203,0,0,0,1030,,secondary,,POINT (-110.9175325 32.1615203)
85,-110.9611994,32.1856797,0,0,0,497,,secondary,,POINT (-110.9611994 32.1856797)
86,-110.961723,32.1858255,0,0,0,497,,secondary,,POINT (-110.961723 32.1858255)
87,-111.0069501,32.2655236,0,0,0,616,,motorway,,POINT (-111.0069501 32.2655236)
88,-111.0095583,32.2712343,0,0,0,616,,secondary,,POINT (-111.0095583 32.2712343)
89,-110.9446054,32.1815835,0,0,0,454,,motorway,,POINT (-110.9446054 32.1815835)
90,-110.9509193,32.1810479,0,0,0,474,,motorway,,POINT (-110.9509193 32.1810479)
91,-110.9439164,32.1737097,0,0,0,461,,motorway,,POINT (-110.9439164 32.1737097)
92,-110.9409261,32.1749889,0,0,0,461,,motorway,,POINT (-110.9409261 32.1749889)
93,-110.9386896,32.1741894,0,0,0,453,,motorway,,POINT (-110.9386896 32.1741894)
94,-110.9402271,32.1751233,0,0,0,461,,motorway,,POINT (-110.9402271 32.1751233)
95,-111.068215,32.3398619,0,0,0,744,,secondary,,POINT (-111.068215 32.3398619)
96,-111.0713416,32.3423722,0,0,0,747,,motorway,,POINT (-111.0713416 32.3423722)
97,-110.9074262,32.1897094,0,0,0,352,,trunk,,POINT (-110.9074262 32.1897094)
98,-110.9075796,32.1838007,0,0,0,382,,trunk,,POINT (-110.9075796 32.1838007)
99,-110.9380727,32.2069429,0,0,0,431,,primary,,POINT (-110.9380727 32.2069429)
100,-110.9393073,32.2070152,0,0,0,431,,primary,,POINT (-110.9393073 32.2070152)
101,-110.8220455,32.2549886,0,0,0,209,,primary,,POINT (-110.8220455 32.2549886)
102,-110.8232615,32.2542185,0,0,0,209,,secondary,,POINT (-110.8232615 32.2542185)
103,-110.8234324,32.2540335,0,0,0,209,,secondary,,POINT (-110.8234324 32.2540335)
104,-110.8235045,32.2539567,0,0,0,209,,secondary,,POINT (-110.8235045 32.2539567)
105,-110.9474249,32.2068479,0,0,0,33,,primary,,POINT (-110.9474249 32.2068479)
106,-110.9456517,32.2067574,0,0,-1,33,,primary,,POINT (-110.9456517 32.2067574)
107,-111.0710818,32.3417419,0,0,0,747,,motorway,,POINT (-111.0710818 32.3417419)
108,-111.068627,32.3388684,0,0,0,744,,secondary,,POINT (-111.068627 32.3388684)
109,-110.9176872,32.1651248,0,0,0,1030,,secondary,,POINT (-110.9176872 32.1651248)
110,-110.9218406,32.1647165,0,0,0,1030,,motorway,,POINT (-110.9218406 32.1647165)
111,-110.9201485,32.1633942,0,0,0,1030,,motorway,,POINT (-110.9201485 32.1633942)
112,-111.0089029,32.2689853,0,0,0,616,,motorway,,POINT (-111.0089029 32.2689853)
113,-111.0071867,32.2654531,0,0,0,616,,motorway,,POINT (-111.0071867 32.2654531)
114,-110.9176837,32.1618575,0,0,0,1030,,secondary,,POINT (-110.9176837 32.1618575)
115,-110.9179103,32.1621007,0,0,0,1030,,motorway,,POINT (-110.9179103 32.1621007)
116,-110.9916519,32.1123099,0,0,0,567,,motorway,,POINT (-110.9916519 32.1123099)
