name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,10,561643727,,carport,,,,"POLYGON ((-111.9227119 33.4347307, -111.9224049 33.4347323, -111.9224041 33.4346205, -111.9227111 33.434619, -111.9227119 33.4347307))","POINT (-111.9225579771076 33.43467562513729)",,1
,11,588272021,,apartments,,,,"POLYGON ((-111.91168 33.4213273, -111.9116738 33.4210085, -111.9118547 33.4210061, -111.9118609 33.4213249, -111.91168 33.4213273))","POINT (-111.91176734999999 33.4211667)",,1
,12,588582598,,,parking,,,"POLYGON ((-111.9188995 33.4215681, -111.9189024 33.4213253, -111.9188404 33.4213248, -111.918842 33.4211896, -111.9181871 33.4211842, -111.9181851 33.4213542, -111.9187687 33.4213591, -111.9187662 33.421567, -111.9188995 33.4215681))","POINT (-111.91858194155992 33.4213106129827)",,1
,13,591991383,,carport,,,,"POLYGON ((-111.9117299 33.4193539, -111.911729 33.4193022, -111.911491 33.4193051, -111.9114919 33.4193567, -111.9117299 33.4193539))","POINT (-111.91161048839093 33.419329474508764)",,1
,14,594099774,,roof,,,,"POLYGON ((-111.925984 33.4170243, -111.9260118 33.4170012, -111.9259847 33.4169784, -111.9259569 33.4170015, -111.925984 33.4170243))","POINT (-111.92598435000001 33.41700135)",,1
,15,699851045,,yes,,,,"POLYGON ((-111.9199471 33.4088639, -111.9197983 33.4088649, -111.9197941 33.4084361, -111.919943 33.4084351, -111.9199471 33.4088639))","POINT (-111.91987062474826 33.40864997599542)",,1
Tempe Transportation Center,16,721923976,,,bus_station,,,"POLYGON ((-111.9350765 33.4253967, -111.9349998 33.4255772, -111.935029 33.425661, -111.9351494 33.4257515, -111.935232 33.4258067, -111.9351577 33.4259127, -111.9352368 33.4259498, -111.935318 33.4259844, -111.9364017 33.4263694, -111.9363948 33.4263846, -111.9366195 33.4264648, -111.936723 33.4262308, -111.9369885 33.4256984, -111.9369684 33.4256354, -111.9368101 33.4256271, -111.9367937 33.425403, -111.9365815 33.4253801, -111.9365455 33.4254018, -111.9354082 33.4254065, -111.9352115 33.4254071, -111.9350765 33.4253967))","POINT (-111.93606533495505 33.42580643963316)",,1
,17,795139477,,yes,,,,"POLYGON ((-111.9059226 33.4247225, -111.9054944 33.4247217, -111.905495 33.4245037, -111.9059232 33.4245045, -111.9059226 33.4247225))","POINT (-111.90570880000001 33.424613099999995)",,1
,18,807599319,,apartments,,,,"POLYGON ((-111.9382662 33.4062999, -111.9385823 33.4062975, -111.9385833 33.4062248, -111.9382643 33.406228, -111.9382662 33.4062999))","POINT (-111.93842430809 33.406262492386546)",,1
,19,808193754,,carport,,,,"POLYGON ((-111.92757 33.4064845, -111.9275171 33.4064844, -111.927518 33.406138, -111.927571 33.4061381, -111.92757 33.4064845))","POINT (-111.9275440251519 33.40631119548345)",,1
,20,865813229,,warehouse,,,,"POLYGON ((-111.9036168 33.4140304, -111.9037145 33.41403, -111.9037157 33.4142222, -111.903618 33.4142227, -111.9036168 33.4140304))","POINT (-111.9036662457658 33.414126325121856)",,1
Alphacore Inc,21,872128650,,yes,,,,"POLYGON ((-111.8972521 33.427492, -111.897765 33.4274933, -111.8977657 33.4272946, -111.8972483 33.4272932, -111.8972482 33.4273256, -111.897222 33.4273256, -111.8972217 33.4273808, -111.8972525 33.4273809, -111.8972521 33.427492))","POINT (-111.89750407438713 33.42739250503525)",,1
,22,888720705,,yes,,,,"POLYGON ((-111.9015975 33.4332865, -111.9016006 33.4332675, -111.9016001 33.4332646, -111.9015801 33.4332619, -111.9014272 33.4332123, -111.9013816 33.4331874, -111.9013811 33.4332858, -111.9015975 33.4332865))","POINT (-111.90146549174538 33.43325450359492)",,1
,23,895311560,,yes,,,,"POLYGON ((-111.902955 33.406077, -111.903047 33.406127, -111.903143 33.406004, -111.902986 33.405919, -111.902916 33.406009, -111.90298 33.406044, -111.902955 33.406077))","POINT (-111.90302664699017 33.40602051029211)",,1
,24,895311802,,yes,,,,"POLYGON ((-111.903441 33.406722, -111.903441 33.406804, -111.903616 33.406804, -111.903615 33.406722, -111.903441 33.406722))","POINT (-111.90352825023878 33.4067630391595)",,1
Ferguson Plumbing Supply,25,895314121,,yes,,,,"POLYGON ((-111.905226 33.409885, -111.905226 33.40963, -111.904617 33.40963, -111.904617 33.409782, -111.904743 33.409782, -111.904743 33.409885, -111.905226 33.409885))","POINT (-111.90494352257636 33.40975056949978)",,1
,26,895314334,,yes,,,,"POLYGON ((-111.904646 33.416747, -111.90434 33.416747, -111.90434 33.416866, -111.904646 33.416866, -111.904646 33.416747))","POINT (-111.90449299999999 33.4168065)",,1
,27,895332516,,yes,,,,"POLYGON ((-111.898729 33.41569, -111.898887 33.41569, -111.898887 33.415596, -111.898729 33.415596, -111.898729 33.41569))","POINT (-111.898808 33.415642999999996)",,1
,28,895332863,,yes,,,,"POLYGON ((-111.898525 33.41702, -111.898568 33.41702, -111.898568 33.416933, -111.898525 33.416933, -111.898525 33.41702))","POINT (-111.89854650000001 33.4169765)",,1
Tesla Tempe,29,895336381,,yes,,,,"POLYGON ((-111.8976575 33.421454, -111.8967363 33.4214484, -111.8967333 33.4217841, -111.8971071 33.4217864, -111.8971971 33.4217869, -111.8971973 33.4217736, -111.8979406 33.4217783, -111.8979429 33.4215316, -111.8976568 33.4215298, -111.8976575 33.421454))","POINT (-111.89730556829163 33.42162301929808)",,1
,30,895338023,,yes,,,,"POLYGON ((-111.905999 33.425239, -111.9059992 33.4254779, -111.9060763 33.4255399, -111.9062712 33.425538, -111.9063474 33.4254727, -111.906342 33.42524, -111.905999 33.425239))","POINT (-111.90617164268036 33.42538332572982)",,1
,31,895339876,,yes,,,,"POLYGON ((-111.905583 33.4226, -111.90558 33.422268, -111.905344 33.422269, -111.905347 33.422602, -111.905583 33.4226))","POINT (-111.90546344086508 33.422434751435176)",,1
,32,895718425,,yes,,,,"POLYGON ((-111.9104 33.408776, -111.91021 33.408774, -111.91021 33.408776, -111.91002 33.408775, -111.910017 33.408987, -111.910398 33.408991, -111.9104 33.408776))","POINT (-111.9102093428574 33.408882175994)",,1
,33,895729018,,yes,dentist,,,"POLYGON ((-111.918409 33.406083, -111.918409 33.405848, -111.918044 33.405848, -111.918044 33.406083, -111.918409 33.406083))","POINT (-111.9182265 33.4059655)",,1
,34,938172575,,yes,,,,"POLYGON ((-111.947722 33.410391, -111.947553 33.410391, -111.947553 33.410516, -111.947722 33.410516, -111.947722 33.410391))","POINT (-111.9476375 33.4104535)",,1
,35,938172821,,yes,,,,"POLYGON ((-111.947283 33.413335, -111.947092 33.413335, -111.947092 33.41342, -111.947283 33.41342, -111.947283 33.413335))","POINT (-111.9471875 33.413377499999996)",,1
,36,938173040,,yes,,,,"POLYGON ((-111.944641 33.414038, -111.944426 33.414038, -111.944426 33.414132, -111.944641 33.414132, -111.944641 33.414038))","POINT (-111.9445335 33.41408500000001)",,1
,37,938173316,,yes,,,,"POLYGON ((-111.944048 33.411472, -111.944048 33.411625, -111.94415 33.411625, -111.94415 33.411472, -111.944048 33.411472))","POINT (-111.944099 33.41154850000001)",,1
,38,938174541,,yes,,,,"POLYGON ((-111.953259 33.420998, -111.953436 33.420998, -111.953436 33.420873, -111.953304 33.420873, -111.953304 33.420907, -111.953259 33.420907, -111.953259 33.420998))","POINT (-111.95335240313187 33.420938880189375)",,1
,39,938174937,,yes,,,,"POLYGON ((-111.951451 33.420607, -111.95163 33.420607, -111.95163 33.420506, -111.951451 33.420506, -111.951451 33.420607))","POINT (-111.9515405 33.4205565)",,1
,40,938174967,,yes,,,,"POLYGON ((-111.9503 33.419447, -111.950485 33.419447, -111.950485 33.419349, -111.9503 33.419349, -111.9503 33.419447))","POINT (-111.9503925 33.419397999999994)",,1
,41,938175033,,yes,,,,"POLYGON ((-111.951142 33.41754, -111.951373 33.41754, -111.951373 33.417443, -111.951322 33.417443, -111.951322 33.417401, -111.951142 33.417401, -111.951142 33.41754))","POINT (-111.9512510669236 33.41747396671338)",,1
,42,938175863,,yes,,,,"POLYGON ((-111.949342 33.41719, -111.949503 33.41719, -111.949503 33.417022, -111.949342 33.417022, -111.949342 33.41719))","POINT (-111.9494225 33.417106000000004)",,1
,43,938175903,,yes,,,,"POLYGON ((-111.949501 33.418164, -111.949501 33.418077, -111.949321 33.418077, -111.949321 33.418164, -111.949501 33.418164))","POINT (-111.949411 33.4181205)",,1
,44,938176121,,yes,,,,"POLYGON ((-111.942605 33.41876, -111.942605 33.418847, -111.942688 33.418847, -111.942688 33.41876, -111.942605 33.41876))","POINT (-111.9426465 33.418803499999996)",,1
,45,938176151,,yes,,,,"POLYGON ((-111.942666 33.4155, -111.942666 33.415596, -111.942868 33.415596, -111.942868 33.4155, -111.942666 33.4155))","POINT (-111.94276700000002 33.415548)",,1
,46,938176430,,yes,,,,"POLYGON ((-111.941596 33.418751, -111.941596 33.418643, -111.941419 33.418643, -111.941419 33.418751, -111.941596 33.418751))","POINT (-111.9415075 33.41869700000001)",,1
,47,938176649,,yes,,,,"POLYGON ((-111.94033 33.41974, -111.940185 33.41974, -111.940185 33.419837, -111.94033 33.419837, -111.94033 33.41974))","POINT (-111.94025750000003 33.419788499999996)",,1
,48,938176679,,yes,,,,"POLYGON ((-111.942189 33.419494, -111.942232 33.419494, -111.942232 33.419431, -111.942092 33.419431, -111.942092 33.419472, -111.942033 33.419472, -111.942033 33.419537, -111.942189 33.419537, -111.942189 33.419494))","POINT (-111.94213399221442 33.41948521086413)",,1
,49,938177448,,yes,,,,"POLYGON ((-111.942205 33.41415, -111.942205 33.414056, -111.942055 33.414056, -111.942055 33.41415, -111.942205 33.41415))","POINT (-111.94213 33.414103)",,1
,50,938177579,,yes,,,,"POLYGON ((-111.945477 33.41621, -111.945477 33.41631, -111.945628 33.41631, -111.945628 33.41621, -111.945477 33.41621))","POINT (-111.94555249999999 33.41626)",,1
,51,938177609,,yes,,,,"POLYGON ((-111.946242 33.415146, -111.94596 33.415146, -111.94596 33.415276, -111.946242 33.415276, -111.946242 33.415146))","POINT (-111.94610099999998 33.415211)",,1
,52,938178064,,yes,,,,"POLYGON ((-111.94592 33.416693, -111.946027 33.416693, -111.946027 33.416548, -111.94592 33.416548, -111.94592 33.416693))","POINT (-111.94597350000001 33.4166205)",,1
,53,938178216,,yes,,,,"POLYGON ((-111.949965 33.414616, -111.949965 33.414696, -111.950115 33.414696, -111.950115 33.414616, -111.949965 33.414616))","POINT (-111.95004 33.414656)",,1
,54,938178868,,yes,,,,"POLYGON ((-111.94676 33.41698, -111.946644 33.41698, -111.946644 33.417096, -111.94676 33.417096, -111.94676 33.41698))","POINT (-111.94670200000002 33.417038000000005)",,1
,55,938179572,,yes,,,,"POLYGON ((-111.953454 33.415876, -111.953269 33.415876, -111.953269 33.416002, -111.953454 33.416002, -111.953454 33.415876))","POINT (-111.95336150000001 33.415938999999995)",,1
,56,938215432,,yes,,,,"POLYGON ((-111.952416 33.408759, -111.952416 33.408859, -111.952373 33.408859, -111.952373 33.40892, -111.952521 33.40892, -111.952521 33.408759, -111.952416 33.408759))","POINT (-111.95245856032365 33.408846215997535)",,1
,57,938216000,,yes,,,,"POLYGON ((-111.950912 33.412169, -111.950912 33.412289, -111.951091 33.412289, -111.951091 33.412169, -111.950912 33.412169))","POINT (-111.9510015 33.412228999999996)",,1
,58,938216059,,yes,,,,"POLYGON ((-111.9512406 33.410379, -111.9514046 33.4104976, -111.9515164 33.41039, -111.9513524 33.4102714, -111.9512406 33.410379))","POINT (-111.95137849999999 33.41038449999999)",,1
,59,938216150,,yes,,,,"POLYGON ((-111.952009 33.408584, -111.952009 33.40845, -111.951832 33.40845, -111.951832 33.408584, -111.952009 33.408584))","POINT (-111.9519205 33.408517)",,1
,60,938426933,,yes,,,,"POLYGON ((-111.946153 33.425167, -111.946009 33.425167, -111.946009 33.42529, -111.946153 33.42529, -111.946153 33.425167))","POINT (-111.94608099999998 33.4252285)",,1
,61,938427240,,yes,,,,"POLYGON ((-111.947791 33.427683, -111.947972 33.427682, -111.947971 33.427367, -111.947792 33.427367, -111.947793 33.427445, -111.947881 33.427444, -111.947881 33.427479, -111.94779 33.427479, -111.947791 33.427683))","POINT (-111.94788381926716 33.42752882792423)",,1
,62,938427694,,yes,,,,"POLYGON ((-111.945966 33.427844, -111.945966 33.428063, -111.946074 33.428063, -111.946074 33.427844, -111.945966 33.427844))","POINT (-111.94602000000002 33.42795350000001)",,1
,63,938429154,,yes,,,,"POLYGON ((-111.952538 33.427193, -111.952714 33.42719, -111.952711 33.4271, -111.952536 33.427102, -111.952538 33.427193))","POINT (-111.95262459198187 33.42714629641052)",,1
,64,938435823,,yes,,,,"POLYGON ((-111.952467 33.423902, -111.952467 33.424027, -111.952963 33.424027, -111.952963 33.423902, -111.952467 33.423902))","POINT (-111.95271499999998 33.4239645)",,1
,65,938436459,,yes,,,,"POLYGON ((-111.946464 33.422917, -111.94658 33.422917, -111.94658 33.422639, -111.946464 33.422639, -111.946464 33.422917))","POINT (-111.94652199999999 33.422778)",,1
,66,938436492,,yes,,,,"POLYGON ((-111.946342 33.42412, -111.946165 33.424119, -111.946165 33.424187, -111.9461104 33.424187, -111.94606 33.424187, -111.946064 33.423773, -111.945906 33.423771, -111.945902 33.424196, -111.945953 33.424196, -111.945952 33.424244, -111.9461086 33.4242452, -111.946341 33.424247, -111.946342 33.42412))","POINT (-111.94605211955947 33.424054503179015)",,1
,67,958939200,,yes,,,,"POLYGON ((-111.916078 33.417519, -111.916265 33.417519, -111.916265 33.41743, -111.91622 33.41743, -111.91622 33.417396, -111.916078 33.417396, -111.916078 33.417519))","POINT (-111.91616644061757 33.417460671021374)",,1
,68,958939717,,yes,,,,"POLYGON ((-111.916528 33.418151, -111.916528 33.418254, -111.916721 33.418254, -111.916721 33.418151, -111.916528 33.418151))","POINT (-111.91662449999998 33.4182025)",,1
,69,958940062,,yes,,,,"POLYGON ((-111.911529 33.417289, -111.911639 33.417289, -111.911639 33.41715, -111.911438 33.41715, -111.911438 33.417235, -111.911529 33.417235, -111.911529 33.417289))","POINT (-111.91155023811073 33.41721042964169)",,1
,70,958940102,,yes,,,,"POLYGON ((-111.910965 33.416288, -111.910826 33.416288, -111.910826 33.416463, -111.910928 33.416463, -111.910928 33.416434, -111.910965 33.416434, -111.910965 33.416288))","POINT (-111.91089314652501 33.41637213130052)",,1
,71,958940632,,yes,,,,"POLYGON ((-111.916295 33.413942, -111.916295 33.414011, -111.916351 33.414011, -111.916351 33.413942, -111.916295 33.413942))","POINT (-111.91632300000002 33.4139765)",,1
,72,958941029,,yes,,,,"POLYGON ((-111.913964 33.411483, -111.913964 33.411387, -111.913779 33.411387, -111.913779 33.411483, -111.913964 33.411483))","POINT (-111.9138715 33.411435)",,1
,73,958941344,,yes,,,,"POLYGON ((-111.913414 33.413281, -111.913269 33.413281, -111.913269 33.4134, -111.913414 33.4134, -111.913414 33.413281))","POINT (-111.9133415 33.4133405)",,1
,74,958941384,,yes,,,,"POLYGON ((-111.913039 33.413839, -111.913149 33.413839, -111.913149 33.413792, -111.91321 33.413792, -111.91321 33.413698, -111.913039 33.413698, -111.913039 33.413839))","POINT (-111.91311707743364 33.413762157079645)",,1
,75,958941812,,yes,,,,"POLYGON ((-111.919001 33.411336, -111.919001 33.411154, -111.918886 33.411154, -111.918886 33.411336, -111.919001 33.411336))","POINT (-111.9189435 33.411244999999994)",,1
,76,958942417,,yes,,,,"POLYGON ((-111.922467 33.412258, -111.922467 33.412063, -111.9224 33.412063, -111.9224 33.412104, -111.922346 33.412104, -111.922346 33.412258, -111.922467 33.412258))","POINT (-111.92240996892099 33.41216847334081)",,1
,77,958944565,,yes,,,,"POLYGON ((-111.915852 33.417186, -111.915968 33.417186, -111.915968 33.417152, -111.916027 33.417152, -111.916027 33.417067, -111.915852 33.417067, -111.915852 33.417186))","POINT (-111.91593331752485 33.417121969738034)",,1
,78,958944874,,yes,,,,"POLYGON ((-111.920308 33.416848, -111.92005 33.416848, -111.92005 33.416953, -111.920308 33.416953, -111.920308 33.416848))","POINT (-111.920179 33.416900500000004)",,1
,79,958947854,,yes,,,,"POLYGON ((-111.907516 33.413837, -111.907594 33.413837, -111.907594 33.413635, -111.907516 33.413635, -111.907516 33.413837))","POINT (-111.90755500000002 33.413736)",,1
,80,958947895,,yes,,,,"POLYGON ((-111.939681 33.413644, -111.93952 33.413644, -111.93952 33.413721, -111.939579 33.413721, -111.939579 33.413763, -111.939681 33.413763, -111.939681 33.413644))","POINT (-111.93960807616449 33.41369778073856)",,1
,81,958948619,,yes,,,,"POLYGON ((-111.937441 33.411605, -111.937443 33.4118, -111.937504 33.411799, -111.937504 33.411757, -111.937635 33.411756, -111.937634 33.411559, -111.937567 33.411559, -111.937567 33.411604, -111.937441 33.411605))","POINT (-111.93753874953693 33.41167917391699)",,1
,82,958948842,,yes,,,,"POLYGON ((-111.93712 33.409786, -111.937026 33.409786, -111.937026 33.40988, -111.93712 33.40988, -111.93712 33.409786))","POINT (-111.93707299999998 33.409833)",,1
,83,958950933,,yes,,,,"POLYGON ((-111.936741 33.408747, -111.93691 33.408747, -111.93691 33.408638, -111.936741 33.408638, -111.936741 33.408747))","POINT (-111.9368255 33.40869250000001)",,1
,84,958962035,,yes,,,,"POLYGON ((-111.908018 33.417616, -111.907849 33.417616, -111.907849 33.417734, -111.908018 33.417734, -111.908018 33.417616))","POINT (-111.9079335 33.417674999999996)",,1
,85,958962065,,yes,,,,"POLYGON ((-111.905931 33.41876, -111.905931 33.418894, -111.906044 33.418894, -111.906044 33.418863, -111.906103 33.418863, -111.906103 33.41876, -111.905931 33.41876))","POINT (-111.90601212990715 33.41882256088883)",,1
,86,958962322,,yes,,,,"POLYGON ((-111.903363 33.419443, -111.903357 33.419155, -111.903241 33.419157, -111.903247 33.419445, -111.903363 33.419443))","POINT (-111.90330199999998 33.4193)",,1
,87,958963052,,yes,,,,"POLYGON ((-111.899223 33.417369, -111.899351 33.417369, -111.899351 33.417269, -111.899298 33.417269, -111.899298 33.417231, -111.899223 33.417231, -111.899223 33.417369))","POINT (-111.89928217412141 33.417306434504795)",,1
,88,958965788,,yes,,,,"POLYGON ((-111.928549 33.409347, -111.928662 33.409346, -111.928659 33.409173, -111.928547 33.409174, -111.928549 33.409347))","POINT (-111.92860425233324 33.409260128127414)",,1
,89,958965828,,yes,,,,"POLYGON ((-111.930838 33.408678, -111.930937 33.408678, -111.930937 33.408609, -111.931002 33.408609, -111.931002 33.408553, -111.930723 33.408553, -111.930723 33.408611, -111.930838 33.408611, -111.930838 33.408678))","POINT (-111.9308691967159 33.408600114282564)",,1
,90,958969296,,yes,,,,"POLYGON ((-111.914594 33.408806, -111.914415 33.408806, -111.914417 33.409247, -111.914595 33.409247, -111.914594 33.408806))","POINT (-111.91450524929971 33.409026294117645)",,1
,91,958970092,,yes,,,,"POLYGON ((-111.918138 33.409359, -111.918545 33.409359, -111.918545 33.409238, -111.918138 33.409238, -111.918138 33.409359))","POINT (-111.91834150000001 33.4092985)",,1
,92,959932248,,yes,,,,"POLYGON ((-111.9354977 33.4137869, -111.9354974 33.4137035, -111.9353483 33.413704, -111.9353513 33.4137874, -111.9354977 33.4137869))","POINT (-111.93542367113865 33.41374532300799)",,1
,93,975882808,,yes,,,,"POLYGON ((-111.9277599 33.4343732, -111.9277591 33.4343156, -111.9277194 33.4343156, -111.9277194 33.4342631, -111.9277195 33.4340881, -111.9277341 33.4340885, -111.9277352 33.434006, -111.9275523 33.4340069, -111.9275541 33.4340204, -111.9273528 33.4340173, -111.9272916 33.4340175, -111.9272775 33.4340183, -111.9272769 33.434005, -111.9272593 33.4340042, -111.9271812 33.4340039, -111.9271342 33.4340133, -111.927077 33.4340287, -111.9270625 33.4340321, -111.9270045 33.43405, -111.9269907 33.4340537, -111.9269275 33.434071, -111.9269133 33.4340759, -111.9268616 33.434096, -111.9268512 33.4341001, -111.9268018 33.4341208, -111.9267804 33.4341295, -111.92678 33.4341553, -111.9266067 33.4341553, -111.9266057 33.4343692, -111.9269685 33.4343713, -111.927179 33.4343725, -111.9271799 33.4343579, -111.9276953 33.4343607, -111.927695 33.434373, -111.9277599 33.4343732))","POINT (-111.9272121566729 33.434204272101596)",,1
,94,983727168,,carport,,,,"POLYGON ((-111.9139358 33.4085201, -111.9139923 33.4085213, -111.9139967 33.4083713, -111.9139402 33.4083701, -111.9139358 33.4085201))","POINT (-111.91396625 33.4084457)",,1
,95,983727188,,carport,,,,"POLYGON ((-111.9140499 33.4104961, -111.9137574 33.4104973, -111.9137576 33.4105453, -111.9140501 33.4105441, -111.9140499 33.4104961))","POINT (-111.91390374999999 33.410520700000006)",,1
,96,983727208,,carport,,,,"POLYGON ((-111.9148442 33.4090879, -111.9151702 33.4090911, -111.9151708 33.4090441, -111.9148448 33.4090409, -111.9148442 33.4090879))","POINT (-111.91500749999999 33.409065999999996)",,1
,97,983727680,,carport,,,,"POLYGON ((-111.9111941 33.410146, -111.9112713 33.4103225, -111.9113184 33.4103081, -111.9112412 33.4101317, -111.9111941 33.410146))","POINT (-111.91125625331031 33.41022708765033)",,1
,98,983728285,,carport,,,,"POLYGON ((-111.9169691 33.4087033, -111.9169633 33.4089007, -111.9170146 33.4089017, -111.9170203 33.4087043, -111.9169691 33.4087033))","POINT (-111.91699182402337 33.408802532078504)",,1
,99,983728906,,carport,,,,"POLYGON ((-111.9161139 33.410095, -111.9161122 33.4101436, -111.9162251 33.4101463, -111.9162268 33.4100977, -111.9161139 33.410095))","POINT (-111.9161695 33.410120649999996)",,1
,100,983795971,,carport,,,,"POLYGON ((-111.9001601 33.408997, -111.900245 33.4090626, -111.9002789 33.409032, -111.900194 33.4089664, -111.9001601 33.408997))","POINT (-111.90021949999999 33.40901449999999)",,1
,101,991005774,,carport,,,,"POLYGON ((-111.9206633 33.4202723, -111.9211218 33.4203636, -111.921135 33.4203175, -111.9206764 33.4202262, -111.9206633 33.4202723))","POINT (-111.92089914084315 33.42029490231668)",,1
