name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Interdisciplinary Sci. & Tech. 1,0,28866562,,university,,,,"POLYGON ((-111.9316499 33.4192556, -111.9316482 33.4190775, -111.9316038 33.4190797, -111.9316052 33.4190443, -111.9316486 33.419044, -111.9316465 33.4185236, -111.9316032 33.4185245, -111.931603 33.4185325, -111.9315923 33.4185326, -111.9315909 33.4184628, -111.9314229 33.4184636, -111.9314252 33.4191027, -111.9313451 33.4191034, -111.9313384 33.4190772, -111.93136 33.4190713, -111.9312621 33.4187021, -111.9311495 33.4188817, -111.931183 33.4190086, -111.9311624 33.419152, -111.9312124 33.4192712, -111.9312669 33.4192569, -111.9312595 33.4192354, -111.9313244 33.419212, -111.9313247 33.4192582, -111.9316499 33.4192556))","POINT (-111.93144530283806 33.41892470887313)",,1
Mitchell Park,1,28902909,,,,park,,"POLYGON ((-111.949903 33.4206839, -111.9484098 33.4206768, -111.948407 33.4198685, -111.9480321 33.4198672, -111.9480319 33.4190792, -111.9483662 33.4190792, -111.9498861 33.4190792, -111.949903 33.4206839))","POINT (-111.94904868136659 33.41983600082275)",,1
Best Hall B,2,30407905,,residential,,,,"POLYGON ((-111.9364341 33.4153712, -111.9358247 33.4153712, -111.9358247 33.4154858, -111.9364341 33.4154858, -111.9364341 33.4154189, -111.9364341 33.4153712))","POINT (-111.9361294 33.4154285)",,1
Verde Dickey Dome,3,30421119,,yes,,pitch,,"POLYGON ((-111.9242608 33.4247416, -111.9257679 33.424737, -111.9257665 33.4253629, -111.9246155 33.4253629, -111.9242815 33.4253629, -111.9242608 33.4247416))","POINT (-111.92502007590575 33.425050328478605)",,1
Child's Play,4,34609813,,yes,,,,"POLYGON ((-111.9494499 33.4207027, -111.9494498 33.4207611, -111.9496986 33.4207616, -111.9496983 33.4208955, -111.9484909 33.4208936, -111.948491 33.4208399, -111.9483952 33.4208397, -111.9483949 33.4209653, -111.9482289 33.420965, -111.9482293 33.4207695, -111.9481411 33.4207693, -111.9481414 33.4206581, -111.9481686 33.4206582, -111.9481704 33.419889, -111.9483995 33.4198894, -111.9483976 33.420701, -111.9494499 33.4207027))","POINT (-111.94865188321677 33.42060181277293)",,1
United Dairymen of Arizona- Administration Office,5,223862375,,yes,,,,"POLYGON ((-111.9442991 33.408009, -111.9441978 33.408009, -111.9441978 33.4080334, -111.9441343 33.4080334, -111.9441343 33.408009, -111.9441062 33.408009, -111.9441062 33.4079815, -111.9440757 33.4079815, -111.9440757 33.4076767, -111.9440825 33.4076482, -111.9440956 33.4076248, -111.9441309 33.4076035, -111.9441655 33.4075898, -111.9441954 33.4075898, -111.9442397 33.4075985, -111.9442749 33.4076212, -111.9442991 33.4076766, -111.9442991 33.408009))","POINT (-111.94418778378035 33.407810870388666)",,1
Vista Del Sol G,6,256986551,,residential,,,,"POLYGON ((-111.9304675 33.4138817, -111.9304285 33.4138818, -111.9304285 33.4139011, -111.9302345 33.4139013, -111.9302345 33.413856, -111.9302025 33.4138561, -111.9302035 33.4138962, -111.9300925 33.4138963, -111.9300925 33.4138451, -111.9300375 33.4138451, -111.9300375 33.4138889, -111.9299245 33.4138891, -111.9299245 33.4138508, -111.9299035 33.4138473, -111.9299025 33.4137451, -111.9299255 33.4137449, -111.9299255 33.4137043, -111.9300405 33.4137035, -111.9300415 33.413745, -111.9300735 33.4137448, -111.9300735 33.4136973, -111.9301995 33.4136964, -111.9301995 33.4137467, -111.9302435 33.4137464, -111.9302425 33.4137026, -111.9303175 33.413702, -111.9303165 33.4135795, -111.9302555 33.4135799, -111.9302545 33.4135382, -111.9301885 33.4135387, -111.9301885 33.4135808, -111.9301055 33.4135813, -111.9301055 33.4135328, -111.9300225 33.4135334, -111.9300225 33.4135839, -111.9299235 33.4135846, -111.9299235 33.4135479, -111.9298925 33.4135481, -111.9298915 33.4134461, -111.9299245 33.4134391, -111.9299245 33.4133988, -111.9300365 33.4133986, -111.9300365 33.4134529, -111.9300865 33.4134529, -111.9300865 33.4134093, -111.9301885 33.4134092, -111.9301885 33.4134527, -111.9302525 33.4134527, -111.9302525 33.4134091, -111.9304625 33.4134088, -111.9304625 33.4135389, -111.9304315 33.413539, -111.9304315 33.4135896, -111.9304895 33.4135895, -111.9304895 33.4137032, -111.9304375 33.4137032, -111.9304375 33.4137399, -111.9304845 33.4137399, -111.9304845 33.4138643, -111.9304675 33.4138643, -111.9304675 33.4138817))","POINT (-111.93021226155822 33.41365769502677)",,1
,7,327757094,,,,swimming_pool,,"POLYGON ((-111.9240144 33.4097354, -111.9239713 33.4097089, -111.9238672 33.4097096, -111.9238702 33.4097549, -111.9239373 33.4097553, -111.9239786 33.4097754, -111.9240144 33.4097354))","POINT (-111.92393762255941 33.409735616154656)",,1
,8,504282769,,yes,,,,"POLYGON ((-111.9394494 33.4306507, -111.9394069 33.4306064, -111.9393467 33.4306271, -111.9392936 33.4305237, -111.9392724 33.4303435, -111.9393078 33.4301899, -111.9393821 33.430057, -111.9395768 33.4298857, -111.9396549 33.4298582, -111.9397007 33.4299093, -111.9397679 33.4301515, -111.9397325 33.4302933, -111.9396688 33.4304469, -111.9395697 33.430568, -111.9394494 33.4306507))","POINT (-111.9395178760481 33.43026197318009)",,1
,9,553868139,,roof,,,,"POLYGON ((-111.9426651 33.4370699, -111.942603 33.4371145, -111.9425805 33.4370926, -111.9426427 33.4370481, -111.9426651 33.4370699))","POINT (-111.94262280161304 33.43708129184458)",,1
