link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,free_speed_raw,lanes,capacity,allowed_uses,toll,notes
0,North Scottsdale Road,5589756,0,1,1,"LINESTRING (-111.9262877 33.4312176, -111.9262831 33.4326057, -111.9262763 33.43289, -111.926271 33.4335911)",1,263.93,primary,3,35,35 mph,3,5400,walk,,
1,North Scottsdale Road,5589756,1,0,1,"LINESTRING (-111.926271 33.4335911, -111.9262763 33.43289, -111.9262831 33.4326057, -111.9262877 33.4312176)",1,263.93,primary,3,35,35 mph,3,5400,walk,,
2,South Farmer Avenue,5590090,2,3,1,"LINESTRING (-111.944268 33.4307934, -111.9442601 33.4299032, -111.9442568 33.4295279, -111.9442567 33.4295155)",1,142.10,residential,6,25,25 mph,,1000,walk,,
3,West 6th Street,5591085,4,962,1,"LINESTRING (-111.9412691 33.4243385, -111.9412073 33.4243388, -111.941075 33.4243393, -111.9407083 33.4243409, -111.940149 33.4243445, -111.940071 33.424345)",1,111.19,residential,6,25,25 mph,2,2000,walk,,
4,South Smith Road,5599903,6,7,1,"LINESTRING (-111.9004951 33.4216959, -111.9004943 33.4215186, -111.9004913 33.4210282, -111.9004902 33.4208483, -111.9004907 33.4208032, -111.9004897 33.4207526, -111.9004883 33.4205423, -111.9004865 33.4202571, -111.9004837 33.4198006, -111.9004816 33.4195796, -111.9004798 33.4192002, -111.9004796 33.4191461)",1,283.53,tertiary,5,25,25 mph,,2400,walk,,
5,South Smith Road,5599903,7,8,1,"LINESTRING (-111.9004796 33.4191461, -111.9004788 33.4190812, -111.9004753 33.4187869, -111.9004711 33.4184369)",1,78.86,tertiary,5,25,25 mph,,2400,walk,,
6,South Smith Road,5599903,8,9,1,"LINESTRING (-111.9004711 33.4184369, -111.9004838 33.4182161, -111.9004894 33.4179912, -111.9004856 33.417612, -111.900485 33.4175497)",1,98.69,tertiary,5,25,25 mph,,2400,walk,,
7,South Smith Road,5599903,10,11,1,"LINESTRING (-111.9004902 33.4166086, -111.9004921 33.4162021, -111.9004939 33.415812)",1,88.58,tertiary,5,25,25 mph,,2400,walk,,
8,South Smith Road,5599903,11,12,1,"LINESTRING (-111.9004939 33.415812, -111.9004961 33.4153682, -111.900493 33.4149861, -111.9004929 33.4149754, -111.9004939 33.414903)",1,101.08,tertiary,5,25,25 mph,,2400,walk,,
9,South Smith Road,5599903,9,10,1,"LINESTRING (-111.900485 33.4175497, -111.9004855 33.4174879, -111.9004887 33.4170903, -111.9004902 33.4166086)",1,104.65,tertiary,5,25,25 mph,,2400,walk,,
10,West 1st Street,5600217,13,14,1,"LINESTRING (-111.9523333 33.4291008, -111.9524278 33.4290996, -111.9528039 33.429095, -111.9529586 33.4290942, -111.9533982 33.429092, -111.9537595 33.4290902, -111.9540622 33.4290887, -111.9545952 33.429086, -111.9552301 33.4290828, -111.9561145 33.4290784, -111.956397 33.429077, -111.9567212 33.4290713, -111.9570116 33.4290737, -111.9573257 33.4290717, -111.9578862 33.4290681, -111.9581342 33.4290665, -111.95878 33.4290624, -111.9588831 33.4290708)",1,607.89,tertiary,5,40,,1,1200,walk,,
