node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry
7549,-96.7230823,43.5496782,10,10,0,,,,residential,POINT (-96.7230823 43.5496782)
7550,-96.7213094,43.5496809,10,10,2,,,,residential,POINT (-96.7213094 43.5496809)
7551,-96.7138161,43.5348286,50,50,0,,,,tertiary,POINT (-96.7138161 43.5348286)
7552,-96.7138299,43.5344316,10,10,2,,,,residential,POINT (-96.7138299 43.5344316)
7553,-96.7117217,43.5330746,10,10,0,,,,residential,POINT (-96.7117217 43.5330746)
7554,-96.7125749,43.533731,10,10,0,,,,residential,POINT (-96.7125749 43.533731)
7555,-96.7138337,43.5337078,10,10,0,,,,residential,POINT (-96.7138337 43.5337078)
7556,-96.7125782,43.533656,10,10,0,,,,residential,POINT (-96.7125782 43.533656)
7557,-96.7147366,43.5337167,10,10,0,,,,residential,POINT (-96.7147366 43.5337167)
7558,-96.7138129,43.5330623,10,10,0,,,,residential,POINT (-96.7138129 43.5330623)
7559,-96.7162965,43.5330552,50,50,0,,,,tertiary,POINT (-96.7162965 43.5330552)
7560,-96.6869877,43.5584952,10,10,2,,,,residential,POINT (-96.6869877 43.5584952)
7561,-96.7408246,43.5928593,50,50,0,,,,unclassified,POINT (-96.7408246 43.5928593)
7562,-96.7399232,43.5915032,50,50,2,,,,unclassified,POINT (-96.7399232 43.5915032)
7563,-96.7392906,43.5941543,50,50,0,,,,unclassified,POINT (-96.7392906 43.5941543)
7564,-96.7385419,43.5938555,50,50,2,,,,unclassified,POINT (-96.7385419 43.5938555)
7565,-96.7152029,43.4866107,10,10,2,,,,residential,POINT (-96.7152029 43.4866107)
7566,-96.7163788,43.4866241,10,10,2,,,,residential,POINT (-96.7163788 43.4866241)
7567,-96.7223875,43.47678,10,10,0,,,,residential,POINT (-96.7223875 43.47678)
7568,-96.7224002,43.4775381,10,10,0,,,,residential,POINT (-96.7224002 43.4775381)
7569,-96.7207974,43.4775208,10,10,0,,,,residential,POINT (-96.7207974 43.4775208)
7570,-96.7207987,43.4772954,10,10,2,,,,residential,POINT (-96.7207987 43.4772954)
7571,-96.7212553,43.4767105,10,10,2,,,,residential,POINT (-96.7212553 43.4767105)
7572,-96.8286474,43.5244703,10,10,0,,,,residential,POINT (-96.8286474 43.5244703)
7573,-96.8286476,43.525291,10,10,0,,,,residential,POINT (-96.8286476 43.525291)
7574,-96.8286711,43.5214869,10,10,0,,,,residential,POINT (-96.8286711 43.5214869)
7575,-96.6894176,43.5184435,50,50,2,,,,unclassified,POINT (-96.6894176 43.5184435)
7576,-96.76387,43.5912551,50,50,2,,,,unclassified,POINT (-96.76387 43.5912551)
7577,-96.7583591,43.5910606,50,50,0,,,,unclassified,POINT (-96.7583591 43.5910606)
7578,-96.7563598,43.5915786,50,50,0,,,,unclassified,POINT (-96.7563598 43.5915786)
7579,-96.7559021,43.5909509,50,50,0,,,,unclassified,POINT (-96.7559021 43.5909509)
7580,-96.7492445,43.5909295,50,50,2,,,,unclassified,POINT (-96.7492445 43.5909295)
7581,-96.7612363,43.5641869,50,50,0,signal,,,secondary,POINT (-96.7612363 43.5641869)
7582,-96.7283874,43.5585235,50,50,0,,,,tertiary,POINT (-96.7283874 43.5585235)
7583,-96.7283882,43.560317,50,50,0,,,,tertiary,POINT (-96.7283882 43.560317)
7584,-96.6328557,43.5273187,10,10,2,,,,residential,POINT (-96.6328557 43.5273187)
7585,-96.6350757,43.5271519,10,10,2,,,,residential,POINT (-96.6350757 43.5271519)
7586,-96.635303,43.523089,10,10,0,,,,residential,POINT (-96.635303 43.523089)
7587,-96.6353039,43.5239638,10,10,0,,,,residential,POINT (-96.6353039 43.5239638)
7588,-96.6353047,43.5248177,10,10,0,,,,residential,POINT (-96.6353047 43.5248177)
7589,-96.6362593,43.5180308,10,10,0,,,,residential,POINT (-96.6362593 43.5180308)
7590,-96.6362567,43.5171856,10,10,0,,,,residential,POINT (-96.6362567 43.5171856)
7591,-96.6362622,43.5163175,10,10,0,,,,residential,POINT (-96.6362622 43.5163175)
7592,-96.6380035,43.5163327,10,10,0,,,,residential,POINT (-96.6380035 43.5163327)
7593,-96.6380111,43.517189,10,10,0,,,,residential,POINT (-96.6380111 43.517189)
7594,-96.6380195,43.5180289,10,10,0,,,,residential,POINT (-96.6380195 43.5180289)
7595,-96.6541077,43.5163275,10,10,2,,,,residential,POINT (-96.6541077 43.5163275)
7596,-96.654405,43.5171942,10,10,2,,,,residential,POINT (-96.654405 43.5171942)
7597,-96.7451988,43.4745325,10,10,2,,,,residential,POINT (-96.7451988 43.4745325)
7598,-96.8269004,43.5216895,10,10,0,,,,residential,POINT (-96.8269004 43.5216895)
7599,-96.8266922,43.5188478,10,10,0,,,,residential,POINT (-96.8266922 43.5188478)
7600,-96.6654608,43.4965096,10,10,0,,,,residential,POINT (-96.6654608 43.4965096)
7601,-96.6654644,43.4974696,10,10,0,,,,residential,POINT (-96.6654644 43.4974696)
7602,-96.6656219,43.4982799,10,10,0,,,,residential,POINT (-96.6656219 43.4982799)
7603,-96.6661033,43.498893,10,10,0,,,,residential,POINT (-96.6661033 43.498893)
7604,-96.667955,43.4966235,10,10,0,,,,residential,POINT (-96.667955 43.4966235)
7605,-96.6677315,43.4955924,10,10,0,,,,residential,POINT (-96.6677315 43.4955924)
7606,-96.667735,43.4947852,10,10,0,,,,residential,POINT (-96.667735 43.4947852)
7607,-96.6679287,43.4939639,10,10,0,,,,residential,POINT (-96.6679287 43.4939639)
7608,-96.667927,43.4937769,10,10,2,,,,residential,POINT (-96.667927 43.4937769)
7609,-96.6647641,43.4984327,10,10,2,,,,residential,POINT (-96.6647641 43.4984327)
7610,-96.6597597,43.4964388,10,10,0,,,,residential,POINT (-96.6597597 43.4964388)
7611,-96.6621574,43.4964595,10,10,0,,,,residential,POINT (-96.6621574 43.4964595)
